link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjVbN75mxnYYXOlluQQTpspOy8o2GgiIfAOpx52E13vhRxjTUktO=w43-h43-p-rp-mo-br100,Josh Eberley,a month ago,"The nursing staff was excellent. Kind and informative. They even went back to ask the Doctors questions I didn’t know to ask in my post-care. The wait times, were way longer than advertised but they seemed insanely busy and everyone was …"
https://lh3.googleusercontent.com/a-/ALV-UjVYOHjU6t_ouyI4uth7jOmyvu2J-upe6KqQPKr_wDCa1HhIwSa1=w43-h43-p-rp-mo-br100,Benish Muneer,a month ago,"I’m incredibly disappointed with the lack of urgency and care at Airdrie Community Centre. We came in because my brother was repeatedly vomiting, and despite his obvious distress, we ended up waiting for an agonizing 7 hours. Staff seemed …"
https://lh3.googleusercontent.com/a-/ALV-UjVSuzFIft95-G7PK6_xjLYm8TGYf_gKXxWShsrJWL3WjsGqYmnd=w43-h43-p-rp-mo-br100,Derek Henson,a month ago,"Anyone complaining about having to wait hours while in urgent care for a non-life threatening ailment must never have been in urgent care before. The staff were kind and understanding, and respectful. I am glad it is open 24 hours now, to save the drive into Calgary"
https://lh3.googleusercontent.com/a-/ALV-UjWUio9A0gm4J3VcVqAYJ15KqzCYJHVTX662yatdbScBY1oLyw3x=w43-h43-p-rp-mo-br100,Madison Schmidt,3 months ago,Every single staff member I encountered was very friendly and helpful. Even the security guard had offered another patient in the waiting room a blanket. Was the quickest wait time I’ve had in any emergency room. Thanks for the great care!
https://lh3.googleusercontent.com/a-/ALV-UjXbnMPzBgiCMQPdSwdf9wicrC6cm6EI52uzcm_-pE3WeGXVuBqw=w43-h43-p-rp-mo-br100,IB,3 weeks ago,"811 direxted to urgent care... Average waiting time was showing 1.5 hours when we arrive.  Waited 1 hour for registration and triage,  3.5 hours for the nurse, and  2 hours for the doctor at the room. Wife is pregnant,  and was exhausted, …"
https://lh3.googleusercontent.com/a-/ALV-UjV7cR66P-elA2Rb1B2WV040jfRKLUdds7tiAk4XekWWL7MTZuGQ=w43-h43-p-rp-mo-ba3-br100,Abbey BM,3 months ago,"Not urgent. Unprofessional. On their phones. Gossip central. Being taken to a room means nothing in terms of being seen. Dirty “rooms”
Will not come back to this clinic"
https://lh3.googleusercontent.com/a-/ALV-UjUo8qZYY-32LLEOjcDl-BmZsvLsSk8lgWwyBoQnCGl9xinKg0hB=w43-h43-p-rp-mo-br100,brenda viala,2 months ago,"I had to go to urgent care today for my first time.
While sitting in waiting room I read the reviews and my anxiety increased. …"
https://lh3.googleusercontent.com/a/ACg8ocL60IKPrk82mXQBM_jz9JwdPrD8kvoSKJ5A9FFD1gsR3Yr-4g=w43-h43-p-rp-mo-br100,Darren Allchin,a month ago,"Most horrible long waited visit,  I've ever experienced. Wait time was 45 minutes when i checked in. Im now at 5.5 hours waiting and still havent seen a doctor. Priority system seems to be messed up. People that checked in after me with a …"
https://lh3.googleusercontent.com/a-/ALV-UjXGPh6NqrE8HQ3-2Cm6FeZSLX3Llf4Y2EG4QigAN1ADMtNNZMM=w43-h43-p-rp-mo-br100,Sara Mirshahi,2 months ago,Absolutely horrible. I came in 9 hours ago still waiting and there isn’t even 5 people here. When we tried to talk to the nurses and ask why no one was being called in they laughed at us and made fun of us and said that “this is not a …
https://lh3.googleusercontent.com/a/ACg8ocIug4azrI5ZimLxRerV5Rlw2zW40YmGtocKI2S27bbFMvxnGA=w43-h43-p-rp-mo-br100,Sierra,4 months ago,"I went in for what I thought might have been kidney stones, I was in a bed quickly and received pain management as soon as I seen a doctor,  I ended up going for X-rays and although I was there for 6 hours they were constantly checking to …"
