link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjUtOsdNo5wSIVVHn-jQNpY49rmr6V4ofFLIxC-pYkv_sVMj9_dZ=w43-h43-p-rp-mo-ba6-br100,Anna Kr,5 months ago,"Overall we had a good experience here.
The hospital is huge but we were directed to the right place by very polite staff. …"
https://lh3.googleusercontent.com/a/ACg8ocL7uIW3M9qJimbfFoHrybAFs29fx7B8hGR4x5xLPoyRpWZq9Q=w43-h43-p-rp-mo-br100,Anna Roszell,3 months ago,My son was only 3 days old when he suddenly stopped breathing. He was hospitalized here for 2 weeks on supplemental oxygen therapy. Both the day and night nurses were exceptionally caring of my son throughout our stay. Dr. Christopher Lever …
https://lh3.googleusercontent.com/a-/ALV-UjV9HDzFp4GKMIwvTeg1RqwRTTGNOmxNBxPOqXQqXkTGYdxmM3TP=w43-h43-p-rp-mo-br100,Ezzatullah Ahmadzai,5 months ago,"I want to express my heartfelt gratitude for the exceptional care you provided to my daughter at Alberta Children’s Hospital. Your dedication, kindness, and expertise have made a significant difference in our lives. …"
https://lh3.googleusercontent.com/a/ACg8ocLq0Yeh7bMtoILG1I-DEqA46Z1cqOxejL5uZwn2W6W1FxDo0g=w43-h43-p-rp-mo-ba2-br100,Beauty Bless,6 months ago,They don't care  just doing there shifts only. They have job that's all who's die with pain with fever bleeding they don't care till 2 to 4 hrs after last thing   Take Tylenol  Advil only doctor  degrees  teach you in 4 yrs that's  it Wow …
https://lh3.googleusercontent.com/a-/ALV-UjXvU59969U-GQhlHXxNmapgsQCU0APYCPv2CP7TlBxykwsFdmk=w43-h43-p-rp-mo-ba2-br100,Shabeer Sheryar,2 weeks ago,"We admit our daughter to the emergency she had croup, they kept her 3 days at emergency and than shifted her to the main building for another 3 days, the doctors, Nurse and everyone working there were exceptional. Best experience ever i had in a hospital in Canada."
https://lh3.googleusercontent.com/a-/ALV-UjW24UlFMdMWCCT0IiioJVgt-b7GAkpuhZuW4u8lQHZVRM-andU=w43-h43-p-rp-mo-br100,Mekedea Tedila,a month ago,"I arrived Children Hospital Emergency at 9:10pm.

If the score is below zero, I wish to give them. My daughter has dry stools and …"
https://lh3.googleusercontent.com/a-/ALV-UjU6p-Az9EZikHJvMWErToxTs8ff_jRfdWqjWBISi5qSqqm-y2GU=w43-h43-p-rp-mo-ba4-br100,Autumn Schmidt,3 months ago,"My toddler fell and cut her nose pretty badly, we rushed to the Children's Hospital and were only in the waiting area for about 15 minutes before going to a room. The staff were wonderful, she got a popsicle and was comforted in the room. …"
https://lh3.googleusercontent.com/a-/ALV-UjWsB8DV0EHnIPHE9tTV_34lc9DXxa3ZbqTRQ5ocSZHadAbY1AOdPw=w43-h43-p-rp-mo-ba7-br100,R B,a year ago,My daughter went in for a tonsillectomy. It's a common procedure and they took care of some other things. We stayed overnight and went home. Soon it was apparent that the swelling was too much.  I took her back to the er and she was being …
https://lh3.googleusercontent.com/a-/ALV-UjXlrCpjCH3wlWSutUBCSyWvPW_CcO4KlXkzEx5VHjZJSHbAcXU=w43-h43-p-rp-mo-ba4-br100,Hakuna Channy,10 months ago,"What an absolute disgusting, disastrous facility. Had to rush my daughter in to emergency late one night and what a nightmare of an experience from beginning to finish. We came in with time to be seen at 2hrs and 55 minutes we didn't see a …"
https://lh3.googleusercontent.com/a-/ALV-UjXiSx5xioiYCBDTJ7xgSWP7oCwpbbm92Nzm4zaapgox38h2yeKa=w43-h43-p-rp-mo-ba3-br100,Asmaa Abutaha,2 years ago,"I am new to Canada and I went to Calgary Children Hospital with my kid to have MRI , I would rate the service after entering the hospital with 5 stars , The decoration is very touching and every corner has a story. The staff are friendly …"
https://lh3.googleusercontent.com/a/ACg8ocJSydDTY6Ssjp_322AITQP_v2DYOnTTI0KEjjuJVl74Brcq1Q=w43-h43-p-rp-mo-br100,Nathan Reddy,a month ago,Emergency room is an absolute 3rd world joke. Next time I’m driving my daughter to Montana and getting some GOOD PRIVATE health care. Nothing but incompetence and no productivity whatsoever. With the exorbitant amount of taxes I have to pay …
https://lh3.googleusercontent.com/a/ACg8ocIbQLuAracPlJMiO54XibglDjrm0w97g0Q64m1sk4FA0hkWiw=w43-h43-p-rp-mo-br100,Al Alhemyari,3 months ago,"Absolutely a graveyard.

My 10 months baby girl …"
https://lh3.googleusercontent.com/a/ACg8ocKslZRkS6D372KzbgC-ZgCxecOAaFtVq_8iLQ0aTF292sieM40=w43-h43-p-rp-mo-ba2-br100,Sora Lee,4 weeks ago,My Son 4 years old had high fever over 40 degree for 5 days and additional symptom including difficult breathing so we stayed up last night and came to Emergency room. We were here very first and they sent all other kids to the room. I'm …
https://lh3.googleusercontent.com/a/ACg8ocI6kO4e-Bo9rIGVhS7SUgH94D2IHgSIr9n0bTnudXVFXkET7g=w43-h43-p-rp-mo-ba3-br100,Muhammad Khan,4 months ago,"Dr Philip should lose his license if he can't show compassion towards 4 year old patient. Doctor refused service and ask to make another appointment because accordingly to him, we were 10min late. But we were not. My son has cast on for 6 …"
https://lh3.googleusercontent.com/a-/ALV-UjXsFAlslMDd__Oc3oLezVBk2YurAoBGCLV91vWJ55nfb1nOKsIW=w43-h43-p-rp-mo-ba5-br100,Asif,6 years ago,"(never used the emergency room, following review doesn't apply to the emergency department) …"
https://lh3.googleusercontent.com/a-/ALV-UjVD1JI9_c2dtZd6fHlT8I0f7esqjtda456ttoYPgUIAZ20kBjey8g=w43-h43-p-rp-mo-ba6-br100,David Seney,a year ago,"My son had a very long procedure done in endocrinology, and the nurses there were awesome! They gave my son $15 Apple card for good behavior😄 …"
https://lh3.googleusercontent.com/a/ACg8ocI7Xz3czxFsHgr9FDhCQ8ErCFPfky6qixTvN3wzyC6EiE_wNA=w43-h43-p-rp-mo-br100,Smart,5 months ago,"Overall 1/5.

Doctors are very professional and sound. The only problem is the waiting time. …"
https://lh3.googleusercontent.com/a/ACg8ocJb6VaANVa0uBUDoj_Ev38lbIQzX7-jTSDodrt5phd2ptziZQ=w43-h43-p-rp-mo-ba3-br100,Ivan Samchuk,a month ago,"Staff, Nurses and doctors are absolutely careless, this hospital should be demolished it is a waste of land and government resources. They can't admit a sick child after 10hr of waiting.....as they say there is a higher priority. Maybe hire more staff? Such a shame"
https://lh3.googleusercontent.com/a-/ALV-UjWzQ90UaJgbr_Ak4_Ck7xJ0wyrdU1yDWVcK7iSgSJxk7YMEN94=w43-h43-p-rp-mo-br100,Jacalyne Iannarelli (J.),5 months ago,Nurse Sydney on unit 3 was amazing. She made our daughter’s very scary visit feel safe. When our daughter was inconsolable she brought toys and other fun things to help distract her. She was a true blessing. …
https://lh3.googleusercontent.com/a/ACg8ocJxw3iN7a63_PxMqtNIwDmT8pkGwpw-22JhbUNx2YyctMwPDA=w43-h43-p-rp-mo-br100,S Thomas,4 months ago,"We had been to the Alberta children’s hospital for my son’s surgery. The staff are sooooo warm and friendly. A special shoutout to Kyla, Kelly, Carlene and Fallak from the day surgical ward, they put us at ease and we’re patiently answering …"
https://lh3.googleusercontent.com/a/ACg8ocKNVK3YwnlX3NbIyFS8OVspTFIz3wg4STZKaoigDs-3IHuxNYw=w43-h43-p-rp-mo-br100,kenbe Biskanga,4 months ago,I have had nothing but amazing experiences at the children's hospital. They seem to genuinely care about my child and are very responsive to inquiries. Specifically want to appreciate Kasia for being an amazing human!
