link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjUcO3I_15TESEtbgYarNLIy2GL_S3ced46fMvYO97QjPqoR_vvKPA=w43-h43-p-rp-mo-ba6-br100,Best of the best,a week ago,I have used the neurology clinic. It is on the 12th floor and you have to take an elevator to 11 then change to another elevator for the 12th floor. It's very hard to find parking and to get into the place one  hour before your appointment.
https://lh3.googleusercontent.com/a-/ALV-UjW5UXCu0rDYatULJc6PwdtqiHBpX-spuw_8Ey09kanWOk89SpNddg=w43-h43-p-rp-mo-ba4-br100,Rohullah Sajadi,7 months ago,"I have two experiences with this medical centre!
The equipments are absolutely perfect, they have well trained and experienced staff. The nurses are taking care of each patient very well and they act very …"
https://lh3.googleusercontent.com/a-/ALV-UjUH0VgVFugEFrzBfc9YBpraEsM2iTWNrkZp5TCd0iIDdd27g_523Q=w43-h43-p-rp-mo-ba5-br100,Richard Ha,6 months ago,This review is for the Foothills Labour & Delivery and Postpartum units on the 5th floor. Overall a pleasant experience in an older facility carried by awesome nurses who made us feel taken care of. …
https://lh3.googleusercontent.com/a-/ALV-UjXlsXBxgSPAZrz2Pi-kc_U2NpSvJ9FFDafLhgn3hmrQpAKmqQ8=w43-h43-p-rp-mo-br100,Valentina Coelho,a week ago,"PREGNANT WOMEN, DO NOT HAVE YOUR BABY HERE. Nothing short of hell on earth. Absolutely filthy place, the light in my shared room was on a long shoe lace. The nurses ignored me the majority of the time forgetting to check my blood pressure …"
https://lh3.googleusercontent.com/a/ACg8ocJX_jrZRUsXISnxYpnmcmFfWWRuRdsMtXN7IOCh11musS9_dLIc=w43-h43-p-rp-mo-br100,Mohammed Humaidan,a month ago,"The care and support my wife and I got during the labor and delivery and when our newborn was in NICU was absolutely perfect and we are truly grateful. However, her stay at the postpartum wasn't pleasant. The shoebox of a room she got wasn't welcoming at all"
https://lh3.googleusercontent.com/a/ACg8ocLHe0Kymh9B4G9ShlwNVBTwhJs4EhT7R2rl3t1cvV47uDY00g=w43-h43-p-rp-mo-br100,Jakob Nason,2 months ago,"Do not let the muckrakers lead you astray, the staff are caring and experienced. I would undeniably be dead without the nurses and psychiatrists on the ward. …"
https://lh3.googleusercontent.com/a-/ALV-UjU-M0SWxhT3mgZKqmdFAcCDSceTCUfNPwnMmUrW5j0WjPNZKz61Vg=w43-h43-p-rp-mo-ba4-br100,Zain Khalid,2 weeks ago,"We had a very tough visit but the nurses and doctors were very informative, post partum is difficult as rooms are small and shared. Would recommened fetting a small foldable mattress or sleeping bag if spending the night with tour loved …"
https://lh3.googleusercontent.com/a-/ALV-UjW9CFvc4VFbj8sgTgOTjfFBuNNZxGRhuO7CGJEt6jb-61iZErU9=w43-h43-p-rp-mo-br100,Shane Longman,3 months ago,This is the most incredible care centre I’ve ever experienced. The doctors and nurses go well beyond the call. The Doctors really care about people. The nurses really make sure everyone is comfortable and taken care of. …
https://lh3.googleusercontent.com/a-/ALV-UjXW9c9VtH3nKgo-N1cIRFv4vQZyHO3AV8D-OpL3vxnL81Q9nRg_=w43-h43-p-rp-mo-ba3-br100,Selena Houle,a year ago,I've been here for about four days now and I can honestly say it's been as positive an experience as it could be. …
https://lh3.googleusercontent.com/a-/ALV-UjU3ND4WIlJxTQS_lmcpfSKivHuBkOhM6lBeSNaCFiWaFPEqvjvG=w43-h43-p-rp-mo-br100,Silvy Datta Ray,2 months ago,"Sharing my experience with Foothills Labour & Delivery and Postpartum unit.
On September 1, 2024 I was booked for a scheduled induction. I opted for oral prostaglandin  but I was never informed that Foothills didn’t have that. They gave …"
https://lh3.googleusercontent.com/a/ACg8ocIydJ5kP4GlEXPfgjkEaSfezGZDhlazv_Xq6zWHLEc6TymkQA=w43-h43-p-rp-mo-br100,Sahar Mourad,5 months ago,"If I could give a 0 star I would. Excruciating long wait times, poked multiple times with no blood withdrawal (which has never ever been a problem my whole life, I have very very easy veins!! ) there was no care from the nurses. Then I was …"
https://lh3.googleusercontent.com/a/ACg8ocJnr4E8MegSvpLewZVJIjvev4di31vxGej1T6EQ57CclORQbg=w43-h43-p-rp-mo-br100,Faith Simmons,3 months ago,"Stay away !!! I Would never give birth here ! Any hospital is better than foothills labor and delivery.
I Was treated horribly at this hospital because they did not support my birth …"
https://lh3.googleusercontent.com/a-/ALV-UjVohYt2EUhH0Uu4oLwWywB7Z6yVvyoGUq8ybIwc3UVxkPuCpH0=w43-h43-p-rp-mo-ba4-br100,Steve MacIsaac,2 weeks ago,"Please under no circumstances use the Foothills Hospital for emergencies. I'm going on month 5 without a license for an epilepsy diagnosis. That Alberta Health Services has so far allowed, with a false history, negative tests and refusal to …"
https://lh3.googleusercontent.com/a/ACg8ocJlEaGo99LMtdiAjtayR-JF5YfAY3UpsoNTEvYV7eTHMgG81g=w43-h43-p-rp-mo-ba2-br100,Claudette Haars,4 months ago,"My thanks and gratitude goes out to all staff, care workers, emergency, surgical, EMS (multiple) porters, and nurses of unit 41b for the passion, care, and overall kindness to me during my long stay.
Emergency team, wow amazing. Thanks everyone, Claudette H"
https://lh3.googleusercontent.com/a/ACg8ocLIRkMS8Y1aUlYCIukkX_WchfZobl_ctr-dS6wA7JNTCbqw1A=w43-h43-p-rp-mo-ba3-br100,Jenny DeRaaf,4 months ago,"Had a motor bike accident, am here currently, day 2 now.  Everyone here has been very nice to deal with.  The nurses go above and beyond and even the janitor helped me move my table tray.  I would say highly recommend but prefer you do not need to be here of course 🤣 …"
https://lh3.googleusercontent.com/a-/ALV-UjWJF4_Ol9rL1DPAnBI0IsDOYtvWtw-bTGuxy5rwjk0w7ZXKqO8=w43-h43-p-rp-mo-br100,Arie Dekraker,3 months ago,"Some of the staff are very kind and courteous, but I've had too many instances where a nurse exhibits a power complex. As a visitor for a patient at the hospital it has left a really bad taste in my mouth. I would not recommend going here unless you had a severe medical emergency."
https://lh3.googleusercontent.com/a-/ALV-UjVMryJJuLbY0S0U_VfvfVg9_AoqsPQ_495AbIeMsXFSOi1ohrO9=w43-h43-p-rp-mo-br100,Kristy Haley,5 months ago,"I just want to say that even though we waited in emergency for hours, the staff there was fantastic and kind. The nurses and the physician we saw were excellent and the transporters to the x-ray technicians were sweet and made us feel as comfortable as possible. Thank you all that we encountered your kindness will not be forgotten."
https://lh3.googleusercontent.com/a/ACg8ocK_iug4VxQ_2TtYzVmv8-qQB2eZkSfqoU4dBVgvIW2E0Qj8yw=w43-h43-p-rp-mo-br100,Lori O'Connor,6 months ago,I just had surgery and foothills and the care I received from the doctors to the nurses to the nurse assistants and the administrative staff was first class. We are very lucky to have a hospital like foothills in Calgary. Everything ran so smoothly. Cannot say enough good things about the experience.
https://lh3.googleusercontent.com/a-/ALV-UjWR54q7mSEUKkknlDat2uFn-AE6o1dIysb0jzix3-gh9u98n5lU=w43-h43-p-rp-mo-ba4-br100,Jade M,5 months ago,My husband had surgery here.  When they took him they told us they were taking him to another facility.  We hadnt known this before and I was upset that I had no idea where my husband would be while I had to wait here.  I was crying a bit …
https://lh3.googleusercontent.com/a/ACg8ocLkE6horQibkQ3cRshxR-EosdVJIktrg94KQc0Ls_7HJPg2jg=w43-h43-p-rp-mo-br100,Myka,2 months ago,"Went with the intention of getting mental health help, ended up waiting for 6 hours before the doctor said unless you're hanging yourself off a bridge not to come visit. He also recommended running."
https://lh3.googleusercontent.com/a/ACg8ocIjlX8l4Mvx2HIAvy6UwNM6J_nu6CNnJ84SeaFg391x8lPWmPY=w43-h43-p-rp-mo-br100,Arman,4 months ago,Foothills Hospital feels like a third world country.  I have been here since 4am and it’s 12noon now  sitting on hard Chair no bed. dr came for 5mins asked to take Tylenol for my stomach extremely painful. I’m a diabetic didn’t offer me a …
https://lh3.googleusercontent.com/a-/ALV-UjV2lp9j1F2GxU8CjCmsctWi99yJ7rlIFANgOSapLuFCFDQ0C1D1=w43-h43-p-rp-mo-br100,Wendy U.,a month ago,These stars are for the volunteers at the hospital who assist people in finding the place they need to be in that giant confusing (to me anyway) complex. Special shout out to Aloosa ( I think that's how you spell it) who guided me and …
https://lh3.googleusercontent.com/a-/ALV-UjVR2P4LTOv7Wq-vQUvLGlCbhtbG4YMLC45bYDwKwrmIBN3lEgjP=w43-h43-p-rp-mo-br100,Shane Fox,2 years ago,"My spouse and I were blown away by the level of care we received during the unexpected early arrival of our baby boy. We dealt with so many different people, it would be difficult to name them all. We we scared, unsure, and well out of our …"
https://lh3.googleusercontent.com/a-/ALV-UjXlk095JmqEu4LDk3bI8aly62G1_ZENwtgtJRj6NALfKxoJBNsH=w43-h43-p-rp-mo-ba6-br100,Jun Yuan,2 years ago,"Foothills Medical Centre is located in City of Calgary in Alberta, and is one of the most famous health centres, and leading teaching and research hospitals in Canada. As a part of University of Calgary Medical Centre, it covers over 2 …"
https://lh3.googleusercontent.com/a-/ALV-UjXKGfNMkTJR8m8WRdycdXGNd-vVn6nAVS9wWNyqQ3oAPx79YObM=w43-h43-p-rp-mo-br100,Peggy Booker,5 months ago,I've never been so disappointed in this healthcare system. I'm 67 years old and I phoned the ambulance to come for me around 6 AM. June 6th 2024 cause I Had difficulty breathing. …
https://lh3.googleusercontent.com/a-/ALV-UjV8R7zC6DpgsIwM29mh3aZ-5DhALlb_LpZoe4FVq7L0tKWpzqE-=w43-h43-p-rp-mo-br100,JE M,3 months ago,94 yr old mother fell broke her wrist aug 17/24  8ish pm NW Calgary. The 2 paramedics that came to her condo were the best of the best. Similar to 2 that came to her aid Feb/24. Plus it helped they were just outside the building when they …
https://lh3.googleusercontent.com/a/ACg8ocIH9bWrstKG3RRoH0nfQZO1YM2qtl58yH_LtU6wDPn7GROcmQ=w43-h43-p-rp-mo-br100,Cindy Riad,4 months ago,"I was admitted with a seizure and within only 5 miraculous days I was homeward bound !  Hooray  !  What a heavenly team from start to the finish  , I'm  so thankful to have Foothills as my Hospital HOME  when I'm in medical care  !  Thank-you from the bottom of my heart ❤️"
https://lh3.googleusercontent.com/a/ACg8ocLtkR8Fi8XT3M9jjpZYd3wZfXZ4OtBtbE7vJY0eejW6O18Czg=w43-h43-p-rp-mo-br100,Juliet Headley,2 months ago,"Love the diversity at this hospital, took my husband to the emerg and the experience was great, the emerg registration team, the doctors, the nurses, the entire staff we encountered for the duration of our visit, there is this one nurse …"
https://lh3.googleusercontent.com/a/ACg8ocIw738XD4edc4dzzv_EVjZSHsUqIXnNfaF5aqpnJrBtx_LuJg=w43-h43-p-rp-mo-br100,Curtis Hopcraft,6 months ago,"Went in with a tooth infection that spead to her sinuses, major pain and swelling of the leftside  of her face. Doctors treatment was good at the emergency room, mind you it was a 6 hr wait. However the follow-up appointment was fast and …"
https://lh3.googleusercontent.com/a/ACg8ocJH-HSYa7iMNTrsP1OwFJtIxZKSeSesLuy3lUOdl4PiClbCkg=w43-h43-p-rp-mo-br100,Zoe Baclawski,6 months ago,"I birthed my son here on May 11th.  The labour and delivery team were absolutely amazing, my nurse Summiya especially was so helpful.  I cannot thank them enough for the great care they gave to my son and I. …"
https://lh3.googleusercontent.com/a-/ALV-UjUUNuBM02I5w-aqrBreNDbSvpXLHhRsaYdTv9y37AG8tvZLUsb1=w43-h43-p-rp-mo-ba5-br100,Enakshi Samanta,a year ago,I delivered my 1st baby this Friday after my water broke at 2 am that day. Nurses are really helpful as well as the Doctors. The building is a little old. I got a private room for delivery and a shared room for postpartum.
