link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjXFIKmrKoM9rtA-93th-eos-bkTaBPAGjlimKwmaY3cxFskttofXw=w43-h43-p-rp-mo-ba6-br100,Stacy Smith,4 months ago,"The waiting room of this hospital is the most disgusting, dirty, dangerous, money grabbing place I've been to in my life. I'd rather use a public washroom downtown Toronto.  There's dirt and blood on the floors, dirty tissues in front of …"
https://lh3.googleusercontent.com/a/ACg8ocLNYjm_29ujmby18iDgBofuWhe92wTvKqMu7uUlYhQP3XWMa_g=w43-h43-p-rp-mo-br100,Megan Osmond,a month ago,"Yes the er waiting room sucks, I will agree. But I got my appendix out last night and they were great, from ultrasound all the way up until I left this morning. The staff is wonderful. I ended up in pediatric and Sandy was my first nurse, …"
https://lh3.googleusercontent.com/a-/ALV-UjXZnHFXKIziU4-k5DGAn5SXz-uodoypYB1SvSpkV_681UQYen8=w43-h43-p-rp-mo-ba4-br100,BRITTANY GRAY,6 months ago,"Came here for mental health reasons and they were quick to get me in, the psych ward I stayed for about 3 to 4 weeks until I was able to get into a next treatment facility. Staff we're good, they had hospital menus for food so everyday you …"
https://lh3.googleusercontent.com/a-/ALV-UjUJ1-9uIsz_hZeQN8K134v1kE_X7IUV2Xoxy3KCng8c7dvguK3GaA=w43-h43-p-rp-mo-br100,Miranda Harsch,2 weeks ago,"I can understand to a degree that our healthcare system is understaffed and strained. But the lack of humanity, urgency and missed information between staff is appalling. I have been here with my very ill child for 15 hours and counting. …"
https://lh3.googleusercontent.com/a/ACg8ocL9VzyCntRkTEjS615Tjkop2divjZAYlZXnkCdg12bze_RYYA=w43-h43-p-rp-mo-br100,Jordy Hogan,a month ago,"I'll start with i know this is not the doctors or nurses fault at all. Under staffed, over run with minor issues, multiple incidents with security. …"
https://lh3.googleusercontent.com/a-/ALV-UjXbp530uCdb1Q7DQk5N89eg3zlbU2haLMKdiky_UzObOjBYoQ3O=w43-h43-p-rp-mo-br100,Creator700 X,a week ago,"Made my parents wait for a good 9 hours, my dad has chromes disease and he was having pains all day. Babies are constantly crying there in agony, for hours. They do not care about your well being at all.  Not even for the kids at all.  Hire new people who actually have morals and ethics."
https://lh3.googleusercontent.com/a/ACg8ocKFN7wQhN1Vx0NthCKeCTZy2tXXDTvx1QUyL5we_3Ic_HFZb7c=w43-h43-p-rp-mo-ba2-br100,Morris Ghadirian,3 months ago,"I went to the ER on Sept 3rd, around 8:00 PM, and it was about the shift switch time, so we waited there for about 15 minutes for the transition to happen, and the tools to be sanitized for the new shift. The reason for our visit was that …"
https://lh3.googleusercontent.com/a/ACg8ocLI2eOBrzfALCqAPEdUYUpE_PEvPXSbv9OcF4G0CA6cnihOeg=w43-h43-p-rp-mo-ba3-br100,Brittany Cherkowski,a month ago,"Rave to RD hospital!
I know it has a bad reputation, but we had a great experience this weekend.
My Aunty had some heart problems on Sunday, her heart rate hit 199bpm. There …"
https://lh3.googleusercontent.com/a-/ALV-UjX13O8y99Q39ZcyNyLQWvxDJc2THqyIj31L6hvurqrl2MxkcJpzUA=w43-h43-p-rp-mo-ba3-br100,Christina Oliver,5 days ago,I had hernia of the abdominal wall and pain with abnormal vaginal bleeding and was waiting for over 30 hrs in ER. It was very stressful and painful 😣 …
https://lh3.googleusercontent.com/a/ACg8ocL37oLAVX59lqpO2iMtLYbXK7z11mRj0sB4WnnEP2yAnq5_Mg=w43-h43-p-rp-mo-br100,rob richardson,a month ago,My sons appendix broke yesterday and the kept him at rocky mountain house hospital all night without doing anything about it to send us to Red Deer this morning. Got here at 10:30 am and stull waiting at 5:16 pm for them to take out his …
https://lh3.googleusercontent.com/a/ACg8ocIgmZNEAcXLH-XGFUVkYTWmW4p6j7GxxkxSryPDlR_OHE21pg=w43-h43-p-rp-mo-ba3-br100,J H,2 months ago,I was in the emergency room last night and received the best care from a gentleman nurse I believe his name was Marlow. The way he spoke and his ability to insert the IV on the first attempt was astounding. I’ve been in many hospitals many …
https://lh3.googleusercontent.com/a-/ALV-UjV5QYn2o7fCXfkLttcGdajD1qGffWi9XClZ4ULHlOXp1d4iHC1N=w43-h43-p-rp-mo-ba3-br100,Rituz Rituz,4 months ago,"I checked online the waiting time before going, it was 30 minutes at 10:00 am on a Friday morning. I got there in 15 minutes and waiting times has changed to 2 hours and 33 min. Fair enough but I ended up waiting a whooping 5 hours before …"
