link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocJKxP2zEcoNVb2r9BHVhkzbQTLU_8OwpMWVwp6nB833z8yp7w=w43-h43-p-rp-mo-br100,J P,a month ago,"I was here a couple of times over the weekend. Yes, the wait is excruciating but I totally understand that acute patients will be seen first, and I was definitely not on the verge of dying. If anything, I blame the provincial government for …"
https://lh3.googleusercontent.com/a/ACg8ocKzaDs2apOmueSVuPSJPrZZ6x1idG5Lu_hd6WUQsGgAvAWd3A=w43-h43-p-rp-mo-br100,Alyssa Phillips,4 days ago,"I came in with a partly broken foot, was in the room within an hour, x-ray and bandaged up within 2 hours and total 2.5 hours. Great service, thank you to Dr. M. Yarema. Very helpful, caring and knowledgeable. Also a big thank you to all the nurses and assisting staff, very helpful and comforting."
https://lh3.googleusercontent.com/a/ACg8ocL0i66hw0N4zBWGXosPuyowN999X5dRb78u0bccEIlhplUVuw=w43-h43-p-rp-mo-br100,Ismael G,2 months ago,I’ve been here a few times. I've been able to see the the nurses might be prejudice when prioritising patient intake. Not just my personal opinion seeing the difference of my intake when I’m near coming in on a stretcher or walking. By the …
https://lh3.googleusercontent.com/a/ACg8ocJCQmYFcSRSPQ1dKGnM4qy-lOzXEFYXxvuMQwLPKh3tGjhW5w=w43-h43-p-rp-mo-ba4-br100,Kathey Beatom,5 months ago,Totally advoid this place if you can . I arrived and there was only 4 people in line and a handful of people in the waiting room . I had execruting pain in my left arm and it was swelling up . I understand if they let people go first that …
https://lh3.googleusercontent.com/a/ACg8ocI5_LKUD5towI8qkrtakyH11T-z5WvAzcOJYEHlzXRGeUynYA=w43-h43-p-rp-mo-br100,Lindsay Kaltenback,2 months ago,"Visited this health center today and had a great experience. The wait is the wait, but for what I was there for was appropriate amount of time. It wasn't  911 but I couldn’t wait until Monday to see my family doctor.  Everyone was friendly, …"
https://lh3.googleusercontent.com/a-/ALV-UjWwHRd-AkrXN9t93X2Dog8iChA9LzNhHgkm7eb0ZQk9Ryo7ttu8=w43-h43-p-rp-mo-ba3-br100,Binu Sebastian,2 months ago,"Last Saturday, I went to the urgent care there. I had an amazing experience throughout. Right from the intake, frontline staff at the X-ray reception to the doctor - and everyone was so professional and courteous. At no point, I felt stressed or anxious. Kudos to whoever is managing that whole unit. Amazing job!"
https://lh3.googleusercontent.com/a/ACg8ocI18ivW4Ofn2yupsOsENbKLr2Ov6VbEtfx4IY7X1eGHayHHyw=w43-h43-p-rp-mo-br100,Trina Sleigh,a month ago,"Went to South Health urgent care with my daughter after being triaged by the Health Link nurse for her to be seen within 4 hrs. The nurses were great, but the doctor was not. This has been my experience with the doctors here, it’s not nice …"
https://lh3.googleusercontent.com/a/ACg8ocI6SLhI4vMo-JClfdxOdvYX5hGfOOEpb6_d5Ujnyx6m_reSag=w43-h43-p-rp-mo-br100,Jan Francis,a month ago,"Had an emergency Sunday evening...was sent into to see the nurse immediately...was very polite and thorough.
Wait time was as predicted, about 2 hours but I must say that Dr Higgin was one …"
https://lh3.googleusercontent.com/a/ACg8ocJoq9ak0Wv4Gits-9grKfYZz77bboNKgfaGZBgQ25PuZvzrAw=w43-h43-p-rp-mo-ba4-br100,Sheila Bean,2 months ago,"Today I had an MRI. Such calm, professional staff who made sure that I was as comfortable as possible.
A few weeks ago, I needed to see a doctor in the urgent care. I had to wait a …"
https://lh3.googleusercontent.com/a/ACg8ocLUsYCmFvZja52zXkEuoI-LS4dBf9lCyRV3yvG47b0R6EgFPg=w43-h43-p-rp-mo-br100,TheGroovygirls2,3 months ago,Can’t say enough about the team at urgent care ! From the triage nurse to doctors . I was seen quickly and checked out thoroughly. I felt safe and comfortable. The resident and the doctor were both friendly and knowledgeable. Thank you so much !
https://lh3.googleusercontent.com/a-/ALV-UjVPAdM01PpR5HB_IHP8KSVHhQ5hleFbBo_3T9S4JtEyA9sKk8XG=w43-h43-p-rp-mo-ba3-br100,Olha Zozulyak,4 months ago,"I ended up at urgent care and received a fantastic,  professional and fast care from Dr.Ersh and her team.
Dr.Ersh acted very  fast and was very knowledgeable, professional and showed …"
https://lh3.googleusercontent.com/a-/ALV-UjXWve_971ksd6l92zmDH4z7NMNKKEvQVyNlMDmrvXP7nuV1j3M=w43-h43-p-rp-mo-br100,Caitlynn Jules,5 months ago,Had an amazing experience coming here. Staff are incredibly nice and work hard and fast. I’ve never seen so many nurses with smiles on their faces when talking with patients. I was constantly updated on what was going on and felt that the …
https://lh3.googleusercontent.com/a/ACg8ocJUOwG8H7SbGlkzq8LMfytKhJVILTFuk7BIKZ5egcXt4yuaGw=w43-h43-p-rp-mo-br100,P L,3 months ago,"Worst urgent care ever. When I walked in, the estimated waiting time was 2 hours. However waited for almost 5 hours and still not see a doctor.
I’m okay with waiting for a reasonable longer time (one or two hours) and let …"
