link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocJm4Ztul3DShRo4LugLypcG8TW1OdjkSO3ZLH7taqs0w0tr8g=w43-h43-p-rp-mo-br100,Jade,a week ago,"This place is horrible. I waited 10+ hours to get checked by a doctor in the emergency room, and there's nothing. No one. Even some of the nurses are rude, like refusing to give us any type of snack or food even though we've been there for …"
https://lh3.googleusercontent.com/a-/ALV-UjUPeZNVJmrdeRsBA03txNPhHAL7OO2SLMJAp4effgS-iTwTP16zFg=w43-h43-p-rp-mo-br100,Jacquie Hore,a month ago,"The nurses, doctors and staff of the PCICU have been incredibly responsive, attentive, compassionate and kind to my 13 year old son. They’ve helped make my son’s stay as smooth as possible. Special shout out to our nurses Tony, Kelsey and …"
https://lh3.googleusercontent.com/a-/ALV-UjWHd1gHRp4rCFeZ36zraF57IuqJSM4Ha1AEWqnuLPuIHozL53wT=w43-h43-p-rp-mo-ba3-br100,Hector Cruces,2 weeks ago,"Our experience at the Stollery was a complete waste of time. We spent 10 hours waiting to see a doctor and ended up leaving.
I followed up with triage several times and they continued to reassure us that …"
https://lh3.googleusercontent.com/a/ACg8ocLQFV0CAT-wLBLsKR4QXwV7C429TF1VFRSQwmnvsHnu_CFxj8Q_=w43-h43-p-rp-mo-ba4-br100,Jon and Rachel Huizing,4 months ago,I had a traumatic experience with one of my children recently. We were brought to this hospital for treatment and recovery. All the staff were helpful and very comforting. …
https://lh3.googleusercontent.com/a-/ALV-UjX4ScW6D6nNGJ8fISBI8bvfYBr-GCEke-yIOQEwcgEDf0bfC5P0=w43-h43-p-rp-mo-br100,Ashley Reijeris,a month ago,"Waiting over 7 hours for my kid to get looked at by a nurse, is there even a doctor on? Wouldn't bother coming to this hospital with your child for stitches if your kid cracks their chin open. Cant imagine if it were any less serious, you
could be waiting days. Highly recommend going somewhere else."
https://lh3.googleusercontent.com/a/ACg8ocL3ygTulg5UTlYD66qLXyVZ6T6SWm_D4axT-Z4TlKzFpKE14w=w43-h43-p-rp-mo-br100,Praise Antony,3 months ago,"We had a great experience at Stollery Children’s Hospital. The staff and social worker were so kind and supportive, which made a tough time much easier. The hospital was very clean, and the family room was well-stocked with food. We also …"
https://lh3.googleusercontent.com/a-/ALV-UjUmwZny5hNKQ9BMGhHdDcpaIXdG59hiivOaUDeGctlsOSB3GLs=w43-h43-p-rp-mo-br100,Ashlyne,2 months ago,"Went for day surgery with my son, couple days ago. Everyone was so nice. Each R.N, is so kind, the hospital has improved so much these last few years!
Was spotless clean hospital. …"
https://lh3.googleusercontent.com/a-/ALV-UjUI3dQCsCk8aC4TNUOfViJFJb5j5pX4_T_lLw4jp_0OhGZhXc_R=w43-h43-p-rp-mo-br100,Max,2 months ago,"While in the emergency room (and after having been spoken to incredibly rudely by the triage nurse), my family watched a teenaged psych transfer manage to run out of the building. The staff were not paying attention to her at all, and the …"
https://lh3.googleusercontent.com/a/ACg8ocKp6gtRf8HlUdwhPGeycARf9uEv-ygSXERH5JlvtAPoz96JA14=w43-h43-p-rp-mo-br100,abdul waheed,3 months ago,"I've been dealing with a dental clinic that used to offer better service than it does now. I'm not sure what happened, but the quality of service has really declined. The scheduling process lacks transparency—I've been waiting for an urgent …"
https://lh3.googleusercontent.com/a/ACg8ocJElRo7cL8pu6yd-t80vJ4ZXhpqRaIPgWLEcSfn25IqdAQCPRE=w43-h43-p-rp-mo-br100,C R,3 weeks ago,"There needs to be accountability of all directors, board members and physicians down to triage. These people are sucking the tax dollars out of the taxpayer with zero oversight into their lack of time management and efficiency. There needs …"
