link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocJmP9V2BHelGXH8aEpwPccZM8NsLGxfhSzuNd79X5XbDlw4-w=w43-h43-p-rp-mo-br100,Harj Virk,4 days ago,The hospital staff were really nice and friendly and positive. I really appreciate jasmine from the cafeteria. Superb communicator and extremely helpful. I was on a carnivore diet. She helped me by out taking all the bread from all the …
https://lh3.googleusercontent.com/a/ACg8ocLiQcNPETdlBd_UNRyLYB1aqlOHKpzUGWVbSeaLqjNo9k6RtQ=w43-h43-p-rp-mo-br100,Heather Allery,a week ago,"The wait time was horrendous.  Was there for 9 hours.
HOWEVER..the care once in a room was amazing. The Dr's are honest, answer questions and treat you like a human being.  And smiling,  best ER visit with Dr's ever.."
https://lh3.googleusercontent.com/a-/ALV-UjUhwJfNEpm39tN_gxHk5ru45XltenHYuUKcB_nJV4XVfK-UZ3E=w43-h43-p-rp-mo-br100,Rebecca Krecsy-Chambers,4 months ago,"I’d like to give a massive shout out to the hard working medical staff in the Sturgeon ICU. I recently had an unexpected stay, but throughout my entire time spent there, I received nothing but compassion, professionalism, kindness & amazing …"
https://lh3.googleusercontent.com/a-/ALV-UjWmCZ3vH6xtm8J20iggaIP1-ZkXIWSRZa4uiBMAHO1qQQqTKPgX=w43-h43-p-rp-mo-br100,Tylor G,4 months ago,"Usually I don't review hospitals because there's quite of few nurses, employees, etc. changing, so it's hard to have a consistent atmosphere. Especially in the health care field, they can only do what is possible with the low funding. …"
https://lh3.googleusercontent.com/a-/ALV-UjWii5OilTe8_T7zDkxKH-FploSlMDaKU-u7bB6-1dDOD0qDHfFU=w43-h43-p-rp-mo-ba3-br100,B E,2 months ago,"My favorite hospital in the Edmonton area by far. If only there weren't so many other sick folks making the wait times crazy high! The ER waiting room can get packed during afternoon and evening periods, try to come in during early morning hours if you can."
https://lh3.googleusercontent.com/a-/ALV-UjUirIZUg2rnwD0Kol0q5AY672DQxWyazEOuX2eD0cXsaj8AQg__=w43-h43-p-rp-mo-br100,George Stevenson,2 months ago,Now the nurses were great. The tests were good but everything slow. After 12 hours I was released by the doctor giving me the okay to go home and come in only if my problem gets much worse which it is now. What to do I do not know. I do not want to go through this again another 12 hours.
https://lh3.googleusercontent.com/a/ACg8ocKHBlwccUw3kH7MH0JbHYu29lFWJS32QlGEVLFbU_PCRVjKqw=w43-h43-p-rp-mo-ba3-br100,Tim D,5 months ago,The nurses and doctors treated me so well after I was admitted for a life threatening issue. I have not seen the kind of compassion and kindness from any other medical facility before. I stayed there for weeks. They are so busy and have to …
https://lh3.googleusercontent.com/a-/ALV-UjVWWTLFQ830oasJBU8cAmsmabRT-5Ij0YE9AHz876EMH7X8r5Y3nA=w43-h43-p-rp-mo-ba8-br100,Kirk Dewhurst,4 years ago,The hospital is clean and well lit.  It’s been updated over the years.  As a general rule the staff is friendly and attentive.  We are here because my wife’s uncle is sick.  He was not receiving very good care. The nurses are good but his …
https://lh3.googleusercontent.com/a-/ALV-UjWbGJ7lDa34LdDlPj5d0YstPofxZ9bnQMIJ35CmaRm9AblcNyC9=w43-h43-p-rp-mo-br100,Marsha,5 months ago,"This is not a place you want to be but the times I have been admitted I have felt very well cared for. The hospital staff have all been very kind and incredibly helpful. The Doctors I have been appointed too were very kind and caring, it’s …"
https://lh3.googleusercontent.com/a/ACg8ocI7XY96-2C79DTgGZhbRWPIRhXSrpiTVwZ5Q4btX-VOUce16A=w43-h43-p-rp-mo-ba2-br100,Mary Coghlan-Tibbetts,2 months ago,"Hands-down, the worst hospital I have ever been to and I’ve been to a lot of hospitals. Went in today because my husband was having some health issues. The front and staff was great then we’re waiting in the waiting room and he gets called …"
