link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocLP5VABHVYUrvUjVF55PBnIXmVokZTx_53C2yAmMZVP39JKSA=w43-h43-p-rp-mo-br100,Lee,a week ago,The medical system is broken. This hospital emergency room is full of compassion less robots that treat people like animals. Every staff gaslights you saying you are fine.  God forbid any of them ever get sick and need to seek help. This place is so disgusting and absolutely traumatizing for everyone that walks in there. Something needs to change here. I doubt it ever will.
https://lh3.googleusercontent.com/a/ACg8ocJCh0qE9Z-Udr3Ke3qP6e85LIq16p5AcbrUzj7kzDic6UAwmQ=w43-h43-p-rp-mo-br100,Janna Strelka,4 months ago,"James nurse guy with beard, works at
Baker 3, room 313* , August 3.

Butcher, rude, unnecessary uses force, don’t listen you at all.
Butcher, rude, unnecessary uses force, don’t listen , rude asking you to shat up while you scream from pain this is a terribly unpleasant and unprofessional nurse, he twisted my hand so hard that I screamed from pain, my hand immediately turned blue and numb and just went limp and I couldn’t move it.  this is a terrible condition, since it is only an iv and the day before, the nurse inserted  IV without cruel metods of twisting my arms, she simply tied it with an elastic band and calmly placed the iv.   At the same time, he communicated very rude .  IV injected into the place, which now I can’t bend my arm since the needle is right on the bending part of wrist , I won’t be able to stand up usung ma hand or just use right hand until they take it off me.
Worsest part, he was laughing at me because he knew i can not do anything.
Nurse James, with beard, please be nice with people coming to you for help, don’t think you a God and you can do whatever you want.

it off iv."
https://lh3.googleusercontent.com/a-/ALV-UjWkOHfVpoCxPKz8bIeqIWMryF2AextqQfxb2v6V0DaflzQRcR9t=w43-h43-p-rp-mo-ba2-br100,Liz Zers,2 months ago,"As far as a hospital goes, its fine. And I know the rating on here wont get seen by the staff who went out of their way on multiple occasions but my experience there was always as efficient as it could be and staff seemed to be empowered to help as needed.

Specifically I went in there for a cancer treatment and was super freaked out and everyone who I interacted with from staff to surgeons were just so professional and kind. I cant say I recommend a hospital but the folks there must have to deal with a lot, but they do it with such a great level of care, youd never know.

Thank you staff folks - you were all so helpful."
https://lh3.googleusercontent.com/a-/ALV-UjVjrokZa2serC8CPKwvkm4VzAn0CjhrtWSDp5MqUYp7KKKO4iQm=w43-h43-p-rp-mo-ba2-br100,Angeline McElhinney,a month ago,"Cancer Ward - If you’re prepared for a lack of dignity in your final moments, this is the place to experience it – hallways lined with other cancer patients at various stages of decline.

While I’m certain the doctors and nurses were compassionate and hardworking, despite being overworked and short-staffed as all the hospitals in BC seem to be, the two weeks my uncle spent in that hallway were deeply disheartening. No patient should be in a position to deteriorate and pass away in a public space, deprived of any privacy throughout it all, nor should any family have to watch their loved one deteriorate and pass away in a public space, a hallway. This situation is not only distressing for the families themselves but also traumatic for other patients and visitors witnessing these moments.

Absolutely disgusting and our Provincial and Federal Governments should be ashamed of themselves!"
https://lh3.googleusercontent.com/a-/ALV-UjUJHLH1o530F1XYtCKfQ2LtdRJUn9ch5i6FfwXKY9oX6MpiqT1sVg=w43-h43-p-rp-mo-ba3-br100,Heather Kemp,a week ago,"ARH is the worst. The last two times I've brought my daughter here they have forgotten about her and action was taken only AFTER I complained. 10hrs for something to stop the vomiting and no IV for fluids after days of dehydration. By the time they offered an IV we didn't feel like waiting for another 4 hrs for that to happen. Something needs to change, urgently."
https://lh3.googleusercontent.com/a-/ALV-UjVLRDdmlEjq4Rzto9R6x1aWD7qNdyQdJrr-ZyhhfbSVvIDda0mx5A=w43-h43-p-rp-mo-br100,Lilli Etchingham,a month ago,"Emergency Ward: yesterday I arrived at 4am in serious pain and agony, I had to wait until 4pm to be examined. After I was issued an ultrasound which I did not get sent into until 7pm when I was told the wait would be 20 minutes. The bed I was in was not cleaned, it had hair and snot/crust on the sheet as well as pee and used napkins in the bathroom of my room. There was also a man screaming for help for over 5 hours, nonstop as his genitals were exposed and he needed water. Every.single.staff member was just walking by ignoring him. In my next waiting room I was clumped in a small room with four other people, one of them having viral pneumonia that was not even three feet away from me. They had us all out on recliner chairs rather than real hospital beds in order to cramp as many people into a room as possible. Finally, they sent me out at 9pm after finding nothing in the ultrasound and telling me to come back for another 16 hr wait if my pain continues. I do understand our healthcare system seems to be at an all time low. All in all I will never be back, the patients are grossly neglected, the place is extremely uncleanly, understaffed and the waiting time is outrageous. I’ve never had this kind of experience in any hospital I’ve ever been to. Is this due to a lack of funding, a lack of doctors? Whatever it is, someone needs to get their shit together. We are taxed too much to have our infrastructure be so shot."
https://lh3.googleusercontent.com/a-/ALV-UjXNTS3GyZQIATg1oqpVjXYc9jIO-EEWCp4LgJD9Vpv0qpNwiLMm=w43-h43-p-rp-mo-ba4-br100,J MacLeod,6 months ago,Great experience. Friendly staff. Waited just 15 minutes for a walk-in x-ray. Beautiful building. The only drawback was that the parking lot was completely full.
https://lh3.googleusercontent.com/a-/ALV-UjWp4ZO5BNap_UQgAtGAkWfOWPwAvvj9vKhgY1GWIz5G8uwzejl7=w43-h43-p-rp-mo-br100,KC Mabel,a month ago,"This place doesn’t care about children. Unless they see a bad physical injury they make you wait for a long time and by a long time means I waited there for 5 hours, my child has had a fever since Friday, it is Monday evening and he still …"
https://lh3.googleusercontent.com/a/ACg8ocLh4UG16AwTozaT7HCwcBqesa6zb24wbQI1EiNlxvHyl15KCA=w43-h43-p-rp-mo-br100,Jason Pollock,5 months ago,"Hospital is clean,friendly,and well organized.
Emergency was very busy, but they attended to all your needs.security were well dressed and professional. …"
https://lh3.googleusercontent.com/a/ACg8ocI_YOx66sp8UYdHkynNr5J1wH_r6hPQALhayv8r1STpEn3Mqg=w43-h43-p-rp-mo-br100,Sydney Wegleitner,3 months ago,"I got in to the hospital on Wednesday (August 14th) and have been treated with so much care and respect since then. So much support while in labour, and to pushing and how to be a mom. The nurses in the paediatric ward are amazing! Always …"
https://lh3.googleusercontent.com/a/ACg8ocJui-7S5gJZnn_LO1NfC6xhFURW_bsH2CRAYUBaz3cikmIm8g=w43-h43-p-rp-mo-br100,Brittany Hamilton,6 months ago,"I was very impressed with the whole experience at this hospital. We came from out of town for my young son’s surgery. The hospital itself was very easy to get to, the signage was great, not confusing at all and found a parking spot …"
