"link","writer","time","text"
"https://lh3.googleusercontent.com/a/ACg8ocK7h35ZtHaveCK9eq8-mDb7BmK8EeHfVN1usnvgcw8J_phkrw=w43-h43-p-rp-mo-ba5-br100","Colin Leung","a month ago","Visited Tuesday morning after long weekend.  No waiting time, we were the only patients.  Was in and out in an hour.  My 7 month old son had a high fever.  Doctor was very patient and everyone was super friendly.  Thank you!"
"https://lh3.googleusercontent.com/a-/ALV-UjVd6FN--mUAFgLP6t_JrFnNKPwE_MHwka0mb3MAGIoCgUoLolWI=w43-h43-p-rp-mo-br100","R T G D","4 weeks ago","I visited on Monday morning around 10.30. It was quite slow may be because of long weekend.  But once you get in,  Never let you out without your satisfaction until you are not happy with the treatment.  My both kids were admitted,  one is 6 and other is 9 months old. The staff were very helpful and , even doctor was so nice . Listent very nicely and give the good treatment to my both kids . I will say nurses and doctor are best then surrey hospital.  Wonderful experience with them😊. Thank you."
"https://lh3.googleusercontent.com/a/ACg8ocLXQmm1Sw6jKhcjIeH4V07o4ghY-azJBGYTqc4FjeYLVs3SqA=w43-h43-p-rp-mo-br100","Soma Abdulrahman","a week ago","BC Children’s Hospital provided the best care for my daughter. The staff was amazing, the nurses were incredibly helpful, and the doctors were kind and professional. I’m so grateful for the outstanding care we received!"
"https://lh3.googleusercontent.com/a-/ALV-UjXb7DfW_etE-F29E8nOdriOJ0XM8jPjxYG4eRgoI67GFmdv_4MH=w43-h43-p-rp-mo-ba2-br100","Rora","3 weeks ago","I had to wait for 3 hours with my sick child. During that time, I could do nothing but sit in the waiting room holding my baby. Vancouver's healthcare system is truly frustrating. An emergency room should prioritize seeing sick children quickly, but that wasn’t the case here. There were numerous nurses, but they were busy chatting and laughing instead of taking care of the sick kids. When I asked how much longer we had to wait, they said they couldn’t guarantee anything but told me to expect another 4 hours. Frustrated and upset, I decided to leave. This was a very disappointing experience!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjXlk095JmqEu4LDk3bI8aly62G1_ZENwtgtJRj6NALfKxoJBNsH=w43-h43-p-rp-mo-ba6-br100","Jun Yuan","2 years ago","BC Children’s Hospital is the most prestigious Children Hospital located in the beautiful City of Vancouver in British Columbia! It was initially established for crippled children by B.C. Women’s Institute in 1923 almost 100 years ago and in 1928, the first patient was admitted! Since then with over 800 millions invested, it has been developing, renovating, and expanding and now become one of the famously specialized children hospitals in Canada! The facility was built with sustainable design features include orientation toward solar exposure, maximization of natural ventilation and natural daylight, concourse ventilation, insulated north walls, reduction in electrical power consumption through daylighting, task lighting, and light and occupancy sensors. Walking into and through this hospital, you don’t feel it is a hospital! Instead it is more liked a colourful children play zone! Fabulously amazing experience! The physicians, nurses, technicians, staff, and volunteers.. everyone is so nice and friendly! As a parent, we are so grateful and thankful to have such wonderful children medical facility!"
"https://lh3.googleusercontent.com/a/ACg8ocIANzTsMVwHT6B9GwVrCTgopWgyI-CjbO4ANglqfChRzEbViVk=w43-h43-p-rp-mo-br100","Priyanka Joshi","4 weeks ago","I had very bad experience last week with this hospital. I took my 2 years old to emergency because she had fever almost over 3 days . She was coughing and had fever 102 . Doctors told us she can continue to take Advil and Tylenol for next 3 days she is absolutely okay . Sometimes fever stays for long . Fever and cough and chills got worst on 6th day and I took her to my GP and straightaway to paediatrician in emergency. She was diagnosed with pneumonia and now she is such bad shape and infection got worst. If it was diagnosed earlier it would be helpful . This hospital put me in a situation where me who is pregnant 17 weeks and suspecting pneumonia and sick in hospital and my two years old is on IVs. There is no-one to question these people who checked her and dint do their job right? worst hospital"
"https://lh3.googleusercontent.com/a/ACg8ocJbopw4OIJ2HlCXsUnM4TXtV9PJ_eKKk9vLY-US15QfmH5HWw=w43-h43-p-rp-mo-br100","shreyas rane","2 months ago","ONE OF THE WORST HOSPITAL EVER, I wish I could give ‘zero’ star rating.
I checked in at 09:15pm with my kid and mother-in-law as she was having severe stomach ache since the past 3 nights and could only sleep in bits and pieces. I waited until 3am in the night waiting to see the doctor. My kid dozed off at about 2am but the doctor never came to see us. Upon asking the nurse about when will we get to see the doctor, they all had the same script “we cannot really tell as we consider patients depending on the situations like respiratory illness, acute pain, etc etc” as if my situation wasn’t one requiring immediate care and didn’t hold any gravity. I want to ask the nurses/doctors there on what merits they decide the emergency of the situation?Thoroughly dissatisfied, frustrated as I decided to walk-out of the facility and NEVER EVER PLAN ON VISITING THIS FACILITY EVER."
"https://lh3.googleusercontent.com/a-/ALV-UjV7IXvliDMHa2VhGa3YQK2RlO562qe6IIHEECCaQxvT3e1kwzw7=w43-h43-p-rp-mo-br100","joie ulep","2 months ago","From doctor, to nurses and to housekeeping staff... they are all so nice, caring and sweet. My 1st  baby boy was born here in 2021 and I couldnt be more thankful to all the medical staff that were there to be with me during a 1hour labor and giving birth after 30 mins. My 2nd son was also born here by emergency csection at 34 weeks.. it was scary but all the staff were there to make me comfortable and make sure everything was going to be okay. My baby stayed at NICU for 10 days because his lungs werent fully developed at birth and was transferred at St. Pauls afterwards. His stay at NICU was one of the most scariest experience Ive had because I didnt know what could happen but the nurses and doctors were always to check on him and make sure he was gonna make out through the doors. The housekeeping staff are all always going around the rooms to make sure everything's clean and youre comfortable and always has smiles on their faces and congratulating me.

We go to the ER once in a while when my babies get sick and they never fail to take care of them! It's always a long wait but it's always worth it because we get the care and attention we need for our sick babies.

My babies are now almost 3 years old and 1 year old. Im thankful for the staff at Childrens! 💗"
"https://lh3.googleusercontent.com/a/ACg8ocI9o9Rt3KgUAKt1f9rKLEVP649Y0rdifbWv4j5lU1_RqplcpQ=w43-h43-p-rp-mo-ba2-br100","Kh Man","2 months ago","It’s better to Google yourself than to rely on nurses who won’t even ask a doctor to check you after three hours of waiting, using the same Google for a diagnosis. After going home and doing more research and covid test, we discovered our 6-year-old son has COVID. There’s apparently a new variant causing rashes all over his hands, feet, and body, which doctors initially misdiagnosed as hand, foot, and mouth disease. After three years of living here, I’ve learned that no matter the illness, they only want to see you if you have five consecutive days of fever over 39°C (below that isn’t considered a fever). Their only advice is to take painkillers like Advil and Tylenol. It feels like we’re living in a medical dark age; I’ve never seen doctors treat patients this way anywhere else in the world."
"https://lh3.googleusercontent.com/a-/ALV-UjU2sULX50ZRvPP7rMhDIrdTlAhkfSRFOFpBjCTSNYVo6EOjeRU=w43-h43-p-rp-mo-br100","pod plasm","2 weeks ago","8 hours wait time,went 10:30 pm to bc children hospital for my 8 month old baby,given room at 4:30 and doctor came at 7:00 am to see us,I mean this is how system works,for an 8 month old baby doctors will take 8 hours time to see them,we were having near about 2 patients ahead us when we reached,and 5 patients came later were attended before and left,as they were discriminating between surrey and Vancouver people,Shame on you guys,We live for our children,paying taxes for this kind of health system,Never felt so disappointed,Atleast hospitals should have some protocols."
