"link","writer","time","text"
"https://lh3.googleusercontent.com/a-/ALV-UjVG1FFo9GTnRGQNpjln74dhjBn3V4nGRQE_Yjur_OV6HYJsv04F_g=w43-h43-p-rp-mo-ba5-br100","G W","a week ago","in Emergency waiting room Nov28/24.  I can't believe how Filthy it is. Please take better care and not be so lazy!. Parking Sucks here. Really busy so be ready to tour around for parking.
Staff are Always Appreciated."
"https://lh3.googleusercontent.com/a/ACg8ocLTBRLzqAJ6KXUP6RxA97JyFdgE0Rfk40hLzgv4O-KXlTM4vg=w43-h43-p-rp-mo-ba2-br100","Siavash Erfanfar","a week ago","just can't believe what happened tonight 5 hours of waiting and an additional 3 hours of waiting after finally entering the correct zone. Had to sit and wait and wait and wait while having internal bleeding.

The doctor left me in the middle of the conversation to grab an oxygen sensor as she couldn't get it to work. It took her over an hour and then she disappeared after and never returned. about 90 min later the next shift came in and finally saw a doctor. Entered at 7 PM and left 4 AM just to get some medications. I appreciate the fact they take time to check everything but this amount of wait time is brutal."
"https://lh3.googleusercontent.com/a-/ALV-UjWsr6XlTHZrjz94XPyuJ8B3E7luW3WvAYpMmlcf8C0ZluUHmNwP=w43-h43-p-rp-mo-ba2-br100","Harry Beik","a month ago","I've taken my mother to Eagle Ridge Hospital many times, and each visit has shown us how incredible the staff are. They are patient, attentive, and exceptionally respectful, going above and beyond to make us feel cared for. Although the waiting time can be challenging, their kindness and dedication make all the difference. The compassion they show truly matters more than the wait."
"https://lh3.googleusercontent.com/a/ACg8ocLGvHqkgO_J4X466LXmhnw79Xu3hJ7UOPHSbdJMefrDDbyqwag3=w43-h43-p-rp-mo-ba2-br100","Sov","a week ago","Worst hospital in lower mainland. Wait time posted was 3.5 hrs. 6 hrs goes by but still can't see a doctor. They don't care whether you are struggling or having a hard time. They are taking their own sweet time and god knows what process they are running. They need a better management and efficient process of handling patients. Worst experience"
"https://lh3.googleusercontent.com/a/ACg8ocLPlkOVMJEfcwb-FTkmtwNE-Yg_5bWI-Fkh9JoDqcNcUxXXbQ=w43-h43-p-rp-mo-br100","niki k","3 months ago","I visited the emergency room after experiencing severe upper abdominal pain for four days, pain that worsened with breathing, walking, eating and a rash on my skin. I was concerned about a possible serious condition and sought urgent medical help.

The attending physician performed an ultrasound to check for gallbladder stones, which came back clear, and told me there was no infection because I didn’t have a fever or vomiting. He then prescribed me antacids, which did not alleviate my pain. Additionally, my blood test results were not reviewed with me until I followed up with my family doctor two days later. My family doctor informed me that my CRP levels were elevated, indicating inflammation and likely a viral infection, which the rash on my skin confirmed.

Had the emergency doctor properly reviewed my blood test and recognized the signs of inflammation and infection, I could have received appropriate treatment earlier. Instead, I was left to suffer for several more days unnecessarily. This oversight significantly impacted my well-being and recovery.

I am extremely disappointed with the lack of thoroughness in the care I received. Patients should not have to follow up with another doctor to get accurate information about their health. I hope this review serves as constructive feedback to improve communication and diagnostic accuracy for future patients."
"https://lh3.googleusercontent.com/a-/ALV-UjWJ1IiW7FDtYklr3kdfGjRz8V3h2k8tEzS7QEbvS3EOFCEXOdizwQ=w43-h43-p-rp-mo-ba3-br100","Ramtin Rahimi","6 days ago","I went to the emergency room at midnight during the summer because I had severe stomach pain. I waited until morning to see a doctor and undergo some tests. After a couple more hours, they finally told me at noon to visit my family doctor, as they would send the results there. I ended up being there for around 12 hours. It was definitely the worst experience, and I would never go back there again."
"https://lh3.googleusercontent.com/a-/ALV-UjXOA6IBMhvjwebqy27uHpvfkqmxTvUikFA9eyBAW5cB6_GMNaoi=w43-h43-p-rp-mo-br100","Cathie James","5 days ago","I can’t say enough about Eagle Ridge Hospital.  My husband was in their Emergency twice in the last month the last time being admitted.  He was given excellent care from all of the Nurses and Doctors who work so hard to make a difference in their patients lives.
Thank you to all of you."
"https://lh3.googleusercontent.com/a-/ALV-UjVsBazpar8noZjsc_VYOmEvUi0rBnUHlZ5osM6AgQqsOSaXYcun=w43-h43-p-rp-mo-br100","Von Daryl Belina","3 months ago","I don’t usually write reviews, but my experience at Eagle Ridge Hospital definitely deserves one. From the moment I arrived, I was met with such genuine care. Samantha, the nurse at check-in, was incredibly understanding about the pain I was in. It’s not often that you feel truly listened to in a busy hospital, but she made sure I felt supported.

Dr. Street was another standout. His calm and kind demeanor made me feel so much more at ease, almost like I wasn’t in an emergency room at all. His peaceful presence was just what I needed during a stressful time.

And I can’t forget to mention Ate Michelle. She was so warm and accommodating, and it was clear she genuinely cared. That special 'kabayan' connection she provided really made a difference in making me feel comfortable and at home.

I don’t often take the time to write reviews, but the kindness and professionalism I experienced at Eagle Ridge Hospital really stood out. They turned what could have been a difficult experience into one filled with compassion and care. Thank You!!!"
"https://lh3.googleusercontent.com/a/ACg8ocLkKd5cAGd5HlDhu8u0GnmJFd6-Lo4RWqdhrSgv25k5VFr3Gw=w43-h43-p-rp-mo-ba4-br100","M- Perrin","2 months ago","Our experience..The new Emergency is really nice.  The staff in Emergency took wonderful care of my elderly mom.  She was in the hospital for her birthday but food services gave her a birthday cupcake to cheer her up.
She says she is very grateful to the nurses and doctors there.  Thank you all."
"https://lh3.googleusercontent.com/a/ACg8ocJIlgxMXoEGkkKq6XupDZ4bWZOtn4rh_ARTcfr7EcCTPKE1F3h3=w43-h43-p-rp-mo-br100","Vanessa Y","2 months ago","5☆ for the doctor • 3☆ for the front desk nurse • 4☆ for nurses actually helping out

After reading several reviews, it seems that everyone's experience is truly dependent on the doctor assigned to them.

For us, we were fortunate with the doctor who came to help my dad - Dr. Josh K was great! He gave us my dad's diagnosis and clearly explained the next steps. He was also so kind, sympathetic, and very friendly. Thanks, Dr. Josh!

The nurses were ok. No one expects them to smile or be as polite as customer service professionals, but some of the nurses at the front desk can be quite rude even when the patient is being very clearly polite and friendly."
"https://lh3.googleusercontent.com/a/ACg8ocJbtnZIvD3nevT49SqyTBZtZ0B6ascDM3hwLaFOmzoCecMnfik=w43-h43-p-rp-mo-br100","Tanya T","3 weeks ago","My partner had an open fracture. We have waited for about 6 hours, before we went to the nurse and begged her for someone to take a look or at least provide basic first aid. Or at least materials for the first aid. I thought I had to sew him up myself in an emergency room, that's how powerless and helpless we felt. No first aid was provided for the severe bleeding for 6 hours. After asking them to do something because he might loose his hand function, he was taken in. They did an xray, but doctor said it's blurry and she can't read it. But ""it's okay, we will assume open fracture"". As she was working on his hand, she mentioned she and only one other doctor is on duty today for the whole hospital, for a nightshift. She also was complaining how lucky my husband is to have the privilege to sick days. She said she doesn't have any sick days, and shows up sick to work. She said ""one time I was working on a patient and then had to step out to throw up in sink and continue to work"". Is that OK? For a doctor to be sick, and working in that condition on someone?? How unhygienic is it to throw up and then work on someone. Why would she even share this personal information with us, being exhausted from pain, my husband was already passing out from blood loss. It was nightmare experience. Our healthcare system is falling apart."
"https://lh3.googleusercontent.com/a/ACg8ocK89p9lyw9hC4zwC4BlFvhdMHJusGtrOrDXDkrPvkvaUI7D2g=w43-h43-p-rp-mo-br100","H Omar","3 months ago","I spent 10 hours at the hospital and left without any clarity on my condition. Although I had a CT scan, no one took the time to explain the results to me. Instead, I was given a stack of papers, likely with the scan findings, but when I asked the nurse for an explanation from the doctor, I was told he had already left. I was simply instructed to go home.

They did send me home with pain medication, so it seems their focus was on pain management rather than providing answers. If you're looking for a thorough diagnosis and clear communication about your health, I would recommend seeking care elsewhere. While there was plenty of chatter among the nurses, I would have preferred more focus on patient care. I'll be trying a different hospital tomorrow."
"https://lh3.googleusercontent.com/a/ACg8ocJbYgBOOa88-xsYgfNWM6Peu8ZaihOrCmeZFkgb2hEg4L41Dg=w43-h43-p-rp-mo-ba2-br100","Amanpreet K Singh","2 months ago","WARNING!! ER wait times are extremely off from what is reported, additional 4-6 hours attached to each visit… at least!

Also, if you’re darker skinned, avoid this hospital! The priority system at this hospital is very skewed and not due to health crisis severity. Seems like this hospital caters to a select few and that’s it.

Front nurse and MOA - 0.5/10
Everyone else - 0/10"
"https://lh3.googleusercontent.com/a/ACg8ocJNCrZL6pW5WBZkHit3V0-xpRo6S8zhFlWi7DyKJ4L0tqloyw=w43-h43-p-rp-mo-br100","Brett Beaulieu","2 months ago","This hospital has never done anything for me in a timeful manner, I hope I never end up in this place when I have a medical emergency again. Waiting room full of people with colds while my face is swelling like a balloon and they have no sense of priority. Avoid. Waited 7 hours at first picture, second picture is on my way home and the third picture with my eye fully shut is what my face looked like as I walked out of the ER"
"https://lh3.googleusercontent.com/a-/ALV-UjXWq9cg0fjpkngwNGme387YM4kRUdnI6Pf_Z33gzbG1mkoqze49=w43-h43-p-rp-mo-ba6-br100","Ali Mehrizi","3 years ago","I was impressed by their timeliness. They did ask us to be there probably too soon but they did the rest of procedures very fast and within the minute of the scheduled time. Efficient and functional. Nurses and doctors we interacted with were very nice and professional. They kept asking the same questions (e.g., medications) 4-5 times but that was for cross checking I believe. Overall very good experience. They are located on a pretty parcel of land too and are close to The Village."
"https://lh3.googleusercontent.com/a/ACg8ocJ4-qDf09gJc7FnqQRV6WngTKp0mMFxVJzWxO3-AgVLkKmbVg=w43-h43-p-rp-mo-br100","Pegah S","3 months ago","My experience at this hospital was the worst ever. I had already waited almost 8 hours
(1pm-9:30pm) when a nurse came in and told all the patients we would need to wait another 6-7 hours due to staff shortages. When I asked her if I needed to wait longer since I had already been there for 7 hours, she rudely responded, I don’t know. If you wish, you can leave.Her attitude was horrible and completely unprofessional. It's shocking that healthcare workers who take an oath to help people can provide such poor service"
"https://lh3.googleusercontent.com/a-/ALV-UjVAD3JdDs163sEnYHS0vArx4UkanNP3Km-VUq9sVacMMmOID-_E=w43-h43-p-rp-mo-ba4-br100","Canada SOM","a month ago","Surgery Details:

- Date: November 8, 2024
- Arrival Time: 10:15 AM
- Surgery Start Time: 12:15 PM

I am thrilled to share our exceptional experience at this hospital! My wife recently underwent hemithyroid surgery with Dr. Oleksandr Butskiy, and it was truly seamless and pleasant.

From the moment we arrived, the registration/Intake team (Ms. Lee) to the registered nurses, anesthesiologists, and entire staff demonstrated exceptional care and professionalism. Everyone worked tirelessly to ensure a smooth and successful procedure.

We're grateful that the surgery will improve my wife's overall health eliminating the health issues caused by the removed disease.

Our heartfelt appreciation goes to Dr. Butskiy and the entire hospital team for their dedication and excellence. Your compassion, expertise, and commitment to patient care are truly commendable.

We wish the hospital continued success and extend our sincerest gratitude for making this experience unforgettable.🙏❤️"
"https://lh3.googleusercontent.com/a-/ALV-UjV9vWQ_Z44zr2y2Axw1PJrCvSjNgoFBEHJ_rrMAAvf0-82-kOK5=w43-h43-p-rp-mo-ba5-br100","G Az (Joey)","7 months ago","Had my septoplasty day surgery here last week and it was a remarkably simple and relatively pleasant experience. All thanks to the staff, from the front desk afternoon receptionist directing me, to inlet nurse who guided me along and answered my questions, all working with my surgeon Dr. S. Mah. The anesthesiologist was very professional and patient with my questions. Recovery ward nurses were attentive and pleasant asking me questions building a connection. Everyone was very nice. I learned that there is more seniority with nurses here which means better shifts and less burn out than other hospitals. In my experience it equates to better patient care. Although, almost gave it a 4 star as parking was a bit of a problem to find but staff helped with directing us to additional lots and street parking. Where parking was the bad experience, the staff redeemed the star. Thank you Eagle Ridge staff."
"https://lh3.googleusercontent.com/a/ACg8ocJz4y1K0k7Ua4-lbul07dQYvcPieFzTV99D1qBVZqhcOxUINA=w43-h43-p-rp-mo-br100","Rachel Csoka","2 weeks ago","This hospital is a mess and not worth going to I went because I’ve been having really harsh and violent headaches non stop everyday nausea, also leg and chest pains.. I can’t go a day without taking some sort of pain medication to help it’s been getting worse so I went to eagle ridge hospital. they make you wait hours I went at 7 and got brought into a room at 1 then had to wait another 20 minutes for someone to come in.. I had told the doctor what has been going on and all they did was touch my legs a bit put flash in my eyes and told me I was able to go and that I should see my family doctor instead they didn’t give me any clue to what I should do and didn’t do any examinations.. I asked him what I should do if it gets worse because I can’t keep taking Tylenol everyday and hope it goes away he didn’t give me any answer and left . Now I will go somewhere else and figure out a cause to my problems I do not recommend anyone to go to this hospital they don’t care about you or your wellbeing go somewhere else I recommend Surrey memorial hospital they will treat u and get u in quicker and ACTUALLY find a cause to ur problems"
"https://lh3.googleusercontent.com/a/ACg8ocKk7OuBwldAJ4bDuHKiY5ko27-TpZNMBT_FCTEuiHe4DOV52w=w43-h43-p-rp-mo-br100","Nick Johson","a month ago","A heavy, sharp object fell from above, splitting my scalp and causing severe bleeding, so I went to the ER. However, I had to wait six hours before I could see a doctor. The bleeding was so severe that by the time six hours had passed, the blood had already clotted over the wound, and my hair was completely covered in blood. Even if you're in pain, going to the hospital feels pointless. It was the worst experience ever."
"https://lh3.googleusercontent.com/a/ACg8ocL1qeqFDGiZvoZM2Uh9e-9QM7lnvnAZu7hG-5Lp95-_eq_eb4E=w43-h43-p-rp-mo-br100","Ali Iqbal","9 months ago","Worst hospital in Lower Mainland.

Ambulance brought my wife at 11 am after an accident on highway. It's 5:30 pm …"
"https://lh3.googleusercontent.com/a-/ALV-UjXNwu-9J4qIF4yGTT-YMHJ_MnJC65_F_zEmztooKp-701kXAZo=w43-h43-p-rp-mo-br100","Negar Sh","2 months ago","I recently visited Eagle Ridge Hospital with my dad, and I cannot praise the experience enough. Parisa, the healthcare assistant, was incredibly helpful and attentive throughout our visit. Her friendliness and positive energy made a significant difference in our experience. I highly recommend Eagle Ridge Hospital for anyone in need of care!"
