link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocL9enYJHBwj64ZJYlmNQQxUcoDArdePGeEQ8n8MEQDecyLEmw=w43-h43-p-rp-mo-br100,Geetanjali Sharma,2 months ago,"Absolutely terrible experience!!!!
My brother meet with an accident & was brought here by the ambulance . When we came in the receptionist was so racist, we asked her to open door n she would pretend she didn’t listen and would talk to her asian patients. I had to call security guy, who was next to her office to get in.
But the situation gets worst when my  brother was kept overnight and next morning too on the ambulance exit gate. The receptionist would come n say to move him but the hospital staff would keep him over there. Like where are the rules ? Not only my brother was in danger but also there were so many transfer happening from that door. The nurses and receptionist have 0 empathy & follow no rules , casually sitting using phone and ignoring patients. Can’t understand how can you leave someone overnight & for next day on this gate it self"
https://lh3.googleusercontent.com/a-/ALV-UjUHz2TMX2-43c2X0T5bh5naaK-HusgiVKsAJdmaVoyHDOJMtaxi=w43-h43-p-rp-mo-br100,lana aziz,2 weeks ago,"Went to the emergency room at 3am, every nurse who treated me was very nice (better experience than Burnaby urgent care). My male caucasian doctor seemed like he was in a rush and didn’t really seem like he cares but I got the prescription I needed fairly quickly from him so I can’t complain too much. Wait time was 3 hours total from 4am-7am"
https://lh3.googleusercontent.com/a-/ALV-UjVRoVbVJtBFu3R8vX1hoGfM6Aer4f4CxqG2AeDGjnaDywmAF54c=w43-h43-p-rp-mo-ba3-br100,Aryelah Chaya Simon,a month ago,"While the ER is horrific and the treatment I received there two years ago still traumatizes me to this day; the daycare surgical procedures and MRI/CT appointments are phenomenal. I received wonderful care for my MRI, CT and other procedures at Richmond hospital. I had a surgical daycare procedure 2 weeks ago at Richmond Hospital and it was hands down the best care, my nurse even stayed with me after her shift time to help me meet the post surgery criteria so I could go home. Every nurse, clerk, tech, doctor, intern, student anesthesiologist and anesthesiologist who took care of me was AMAZING. The anesthesia team I had was particularly INCREDIBLE! Caring, patient and medical trauma informed are just some of the attributes I encountered. Also, the facility was quiet, clean and comfortable despite being on the older side."
https://lh3.googleusercontent.com/a-/ALV-UjVqex2CRa8TBxVeWKtOTLQx2uFX2rbloTnAaWAF0RJ2r6HlNsY=w43-h43-p-rp-mo-br100,R.Sajeetha Begum,2 months ago,"I had a wonderful experience at Richmond Hospital. Every nurse, doctor, and staff member I encountered was highly experienced and professional. I received the best care throughout my time there, and I am incredibly grateful for their dedication.

I would like to give a special thanks to Medelene Kale and Teresa for their extraordinary support and care. Their kindness and expertise made a world of difference, and I felt truly supported during such an important time.

The birth experience at Richmond Birth Centre was exceptional, and I’m beyond thankful to have had such a positive experience."
https://lh3.googleusercontent.com/a-/ALV-UjVYD1mXoIGSo5gwSYcct-j5tjcA5MC9nPmTv7SvzeWdc8Ev4MGj=w43-h43-p-rp-mo-br100,farshad heydari,2 weeks ago,"During the night I spent there after the biopsy, the nursing care and attention were exemplary. Everything was done with precision, patience, and kindness. I am truly grateful for the excellent service provided. Your team’s compassion and professionalism made a difficult time much easier for me."
https://lh3.googleusercontent.com/a/ACg8ocL7hjmw48bcCjXf339U7Lp1oFyYRfNCc4SwnVc3oyaMQbO4IQ=w43-h43-p-rp-mo-br100,honmartin,a week ago,"Came here for colonoscopy.

The Admitting staff is very helpful, efficient and patient. There was another patient impatiently raised the voice to them, but they stayed cool and ran through my admission effectively.

The colonoscopy reception lady was friendly and calmed me down to face the coming procedure that I hate.

There were two round of colonoscopy nurses: the 1st one checked and explained the procedure to me very clearly, from patient perspective; the 2nd nurse help to dressed me up (IV, bp set up), she was kind and professional.

In the procedure room, the two nurses and Dr. Nam Nguyen formed a very efficient team. Dr. Nguyen is top notch, and yet still spent time to explain clearly the results and what to do next.

I have a very good experience 5 out of 5. Although I’m not exactly like to be a “repeated customer”."
https://lh3.googleusercontent.com/a-/ALV-UjUteyE1iQmYl28WutbKuQAGPmPAquwlhUhhZc-wTti3edLmTmc=w43-h43-p-rp-mo-ba3-br100,Cassandra Russell,5 days ago,Absolutely appalling phone conversation with the paediatric maternity ward. I was trying to reach another healthcare provider and when I dialled their phone number it directed me to the paediatric maternity ward at Richmond General …
https://lh3.googleusercontent.com/a-/ALV-UjXFlsqG7YqaBXQnD1FQzrbWGJNfT6ya9g0XCyZO-AjnRZzmH1Q=w43-h43-p-rp-mo-ba3-br100,The Truth,a month ago,"I wish I read the reviews about this hospital before coming here . I’ve been in the emergency for over 24 hours . They forgot to bring me my food, they also forgot to give me my pain meds in a timely manner . This is the worst experience at any hospital I’ve ever been too and I’ve been too dozens of hospitals . They’ve now moved me in a hallway after I was already admitted 24 hours ago."
https://lh3.googleusercontent.com/a/ACg8ocJZMy1-VnYCzn-olBjPKulF8Rqr3dR4GbUluUyBjIUt3kYpNw=w43-h43-p-rp-mo-br100,Mark Gee,2 months ago,"Never thought reviews were a good idea for a hospital until my father was admitted to Rmd Hospital.  3 weeks in the hospital and no communication from anyone other than nurses who advise that they can't offer information.  Doctor does not call and is not available.  Have left multiple messages for the doctor to call, but nothing.  Very stressful.  Not sure about my next move."
https://lh3.googleusercontent.com/a-/ALV-UjXHe24iFtacdLvSoohpsASJUBVhg5aXZ-Pdq2QLAwwYAGjcmsvS7A=w43-h43-p-rp-mo-ba4-br100,TK,3 weeks ago,"Dr Hung treated my wife on a Friday night. Excellent doctor. She said if her condition deteriorates, for us to return to the same ER. 5 days later, my wife was running fevers of 40C and developed severe chest pains and could barely walk. We came back and were ""treated"" by Dr Stitt. This guy scolded my wife for coming back and not seeing her GP first. My wife was crying in frustration and asked for xray and bloodwork. He kept huffing and puffing  about why we were there and said we should just go see our family doctor (which would be 17 days at the earlier) Xrays were finally taken and my wife has severe pneumonia.

To Dr Stitt - thank you for being a shining example of why people dread coming in for medical care at Richmond Hospital. Another example of David Eby's NDP healthcare awesomeness."
