link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocIRpPLlo6iOfrqXgHHu-SkocNYG5grgqgM9-VQusvZQsBPx40U=w43-h43-p-rp-mo-br100,Mahmood Anwari,2 weeks ago,"This was my first time going to an emergency hosptal in Canada. The experience was dehumanizing,there was no mercy. it felt like the name “emergency” was just for show.  In fact I have never seen such a lack of urgency in an emergency room . Emergency is doing a manual operation without waiting we came  to the emergency and waited 11 hours ‏But in reality,the emergency rule is not waiting.
What surprised me the most was the lack of differentiation between patients based on the severity of their conditions. Some of the patients were in serious condition, that they were told to wait Critical patients should not be made to wait, I even witnessed patients whose conditions had seemed life-threatening, and I had genuinely feared for their lives. It was mentally traumatic for me.I haven't forgotten this situation for a while. they should prioritize providing care to everyone efficiently. The hospital needs more personnel and should focus on improving the quality of care.
Hoping for a positive change!"
https://lh3.googleusercontent.com/a-/ALV-UjWBkK7tu6vIcBGv6y2y_hObgGau1ydUx_8p6rg21ylp8eCwjqk=w43-h43-p-rp-mo-br100,Aishwarya Narayanasami,4 weeks ago,"I cannot speak highly enough about the exceptional care and attention we received at Surrey memorial. From the moment we arrived for the delivery, the staff made us feel supported, safe, and well cared for. Our baby’s birth was smooth, and we were so grateful for the professional and compassionate team that ensured everything went perfectly.

However, what truly impressed us was the hospital’s response when after 2 months, our infant contracted COVID-19. The doctors and nurses acted swiftly, with incredible attention to detail, and provided urgent and thorough care to ensure our baby’s recovery. Their prompt action, combined with their unwavering dedication, made all the difference.

Throughout our stay, we felt that our baby’s well-being was their top priority. The entire team— from the pediatrician to the nursing staff— went above and beyond to support both our baby’s health and our peace of mind. I will forever be grateful for the love and care they provided during such a crucial time in our lives. Thank you to everyone at Surrey memorial for your incredible professionalism and kindness."
https://lh3.googleusercontent.com/a-/ALV-UjUiTXgXAKna0kx8mDrqZ41WtbWHEvpzA1eUM-KHY57t8aciXZ4=w43-h43-p-rp-mo-br100,Justine,3 months ago,"My experience is inhumane. If I could give this hospital negative stars, I would. We came  to the emergency and waited 10+ hours. When we asked the staff, how much longer, they can’t say how long and could only say “a few more hours” which probably means another 4 more hours. There were other people asking each other how long they’ve been waiting as they were also waiting a ridiculous amount of time. Some people had burn marks that needed attention. I know hospitals are busy but waiting this long and not being close to seeing the doctor is just unethical. Did they expect us to stay overnight without a proper bed?! We were still sitting in the lineup after 10+ hours. Hospitals should not operated this way. They were taking patients in so SLOWLY it was ridiculous. The staff did not even look busy. I don’t know what happened today, why the wait time was insane, but this needs to change. So many people were thinking of going home without seeing the doctor. We went home without seeing the doctor."
https://lh3.googleusercontent.com/a-/ALV-UjXUYrZY0qfESpY8KO4ToXDWyJjoOzePmVuHLAsMXLwf6Ct-N9Lu=w43-h43-p-rp-mo-br100,Inderjeet Singh,a week ago,"There’s no option to give zero stars—extremely poor service with no regard for time management. There’s no backup staff, and doctors take leave whenever they please. The staff lacks basic communication skills and shows no concern for the urgency of your situation. They simply dismiss you by saying, “You’ve only been here for 8 hours; others have been waiting for 10.” It’s disappointing and shameful behavior from both the staff and doctors at Surrey Memorial."
https://lh3.googleusercontent.com/a/ACg8ocJKXwHJh7B8P0DZJcmF7dG-ROfM4k02K_Xc5rcOlL5lGq_4wdQ=w43-h43-p-rp-mo-ba5-br100,K M,a week ago,Gave birth to my son at Surrey Memorial Hospital and had a great experience with the doctors and nurses. Surrey is a big city with lots of residents living here. The doctors and nurses do their best to take care of the patients and those in need.
https://lh3.googleusercontent.com/a-/ALV-UjUuJ5HXLwagBqSB6jp_-u0J_gkFc9YlOOb7ZQDbmvJ64PHlygLJrA=w43-h43-p-rp-mo-br100,esther melody,3 weeks ago,"I wouldn’t even recommend giving this hospital a single star. They only have one doctor—are you kidding me? I had to wait over 9 hours, and it seems no one cares about patients’ illnesses or emergencies. This hospital should shut down its emergency services entirely. People are waiting in long lines, and it’s heartbreaking to see how unproductive this place is. The government should seriously consider closing it down.

It’s absurd that critically ill patients have to wait such long hours just to see a doctor. After 8 hours, a nurse finally gave us a room, but when I left the wheelchair outside for a moment, another nurse or assistant came and took it. Even though I explained I still needed it after the doctor’s check-up, he insisted, saying other patients might need it and that I could get another wheelchair from the front desk. He just took the wheelchair and left.

After that, I stayed in the room for another hour, but the doctor still didn’t show up. This is the most ridiculous experience I’ve ever had in a hospital."
https://lh3.googleusercontent.com/a/ACg8ocK3bgjBT40nhvpsjJeKHB8U5zYlIYFl2wp5TPOlsB8YOuDgOg=w43-h43-p-rp-mo-br100,Ashmeet Kaur,2 months ago,"My recent experience at Surrey Memorial Hospital’s birthing unit was deeply disappointing. The level of care provided was far from what is expected in such a crucial department. The nurses were incredibly rude, and there seemed to be no sense of urgency or compassion for patients in severe pain. Shockingly, they did not even have sufficient beds for women in labor, leaving expectant mothers to suffer unnecessarily.

The lack of initiative from the nursing staff was alarming. Despite the obvious distress of patients, not a single nurse stepped up to offer the help and care that was desperately needed. To make matters worse, the receptionist seemed more interested in her phone than addressing the needs of patients.

It was hard to believe I was in a hospital, let alone one in a developed country. The attitude of the staff was unbearable, and they lacked both the skill and the empathy required to provide proper care. Nurses in my home country would be appalled at the lack of professionalism and humanity on display here.

In every aspect, Surrey Memorial Hospital fell short of what should be basic standards of healthcare. This is not a place I would trust for such an important and vulnerable moment as childbirth. They need to seriously rethink their approach and put patients first, rather than their attitudes!"
https://lh3.googleusercontent.com/a/ACg8ocJm3RK1kJu_WZ7yyR02va4fnDaW1B0q_03UsbrmUTKxAMgQug=w43-h43-p-rp-mo-br100,richard hickling,2 months ago,I know that a lot of people have written a lot of bad reviews about this Hospital. I have waited hours upon hours a few times in emergency waiting to see a doctor while others who just came in and who don't look in any worse shape than I do get looked after first. But I was just released yesterday early in the evening after have cancer bladder surgery. I got the surgery in record time and my medical and nurse team treated me with the utmost respect and empathy for my condition. They took extremely good care of me. Professional and Empathic all the way. This hospital is chronically short staffed and it is not because they want to be. We all know our provincial government needs to do more for our health care providers! They get 5 stars from me and I am very grateful to the doctors and nurses that worked on me. Thank you SMH!
https://lh3.googleusercontent.com/a-/ALV-UjWy0bIdyXNaHlVJPWEL3G2mS7dtobUMv-mYvFXD4eK9ZMXUFEoQ=w43-h43-p-rp-mo-br100,Kyle Loughran,a month ago,"I am 25 years old. All my life growing up, I have had 4 family members submitted here. My great grandmother at the age of 11, my great grandfather at the age of 17, my grandmother at 21, and currently my grandfather at 25. This hospital is a curse upon my family. Every time I heard that my family members were submitted into health care, my heart drops when I ask where they are, and find out it's here. Every time any of my family has been submitted there has ALWAYS been issues. Delays in exchanging them between rooms literally in hallways dying not in privacy, delays in getting the care they need, uncleanness, and miscommunication between staff. Taking an extremely long time for anything to get done. When my grandfather is suffering and we want him to be moved and not stuck in the hallway dying it doesn't seem like some staff are urgently taking action I could be wrong though. My grandfather requires a breathing mask and we were asked to bring it from home. We did and left to go get lunch. We came back, and pieces were taken off and missing and we asked where they went and they had no idea. Like, he literally can't breathe at night without it, you would THINK that it would be handled with more care. It's a 500$ mask for crying out loud it's nothing to scoff at. When he also fell and broke his hip he got surgery from here which was successful to their credit. However afterwards after a long recovery they were moving him and doing so that wasn't accommodating towards his hip injury. They had no idea he had a hip injury and treated him like he could handle it. To be fair there are some nice staff there not everyone is bad. I could only imagine how hard it is to be working in the medical field and places can get busy. Some of the managers I heard from genuinely care, not to mention there's literally a shortage of doctors and nurses in BC I don't envy their job at all and it takes a strong person to do what they do. However, If I could help it, I would never have my family members submitted here by choice. Maybe it's just bad luck for me and them, but they deserve better. No one should be suffering and dying publicly not just my family but others as well. Even if things do improve here, there's too much bad omens and memories have been inflicted upon me here to give them a chance intentionally."
https://lh3.googleusercontent.com/a/ACg8ocIeunhTULeM51qVIgQtJ2kVPJS0VNja8jeq0JwaZi9BUOJUkQ=w43-h43-p-rp-mo-br100,Ace Kitong,2 months ago,"This is on the emergency  department.  Terrible. Wait times are too long
I brought my son suffering from acute appendicitis. We waited 5hrs only to be informed that normal wait times are 10 to 11hrs. We went home and went to a walk in clinic the next day.  And today I brought my wife to the emergency. Shortness of breath and chest pain. Her blood pressure was high at 181/99. She just gave birth via c section
We waited for more than 2hrs but we have to go home because our 3weeks old baby needs to breast feed. The emergency ward is terrible."
https://lh3.googleusercontent.com/a/ACg8ocJlXbHZyhS6Bn-OzvTdQbQbO9QX92iX_l-FkvKfw4hEdnxGZSkA=w43-h43-p-rp-mo-ba3-br100,arun kumar,2 months ago,"I have a mixed experience at this hospital. Initially, the treatment I received was commendable; the staff was professional and attentive. However, the situation deteriorated significantly.

Once the initial issue was addressed. Despite being diagnosed and treated, they continued to hold me as if I were a test subject and refused to discharge me. There was no social worker available to discuss my concerns or help with the situation.

When nurses did eventually come by, their behavior was rude and dismissive. They refused to provide a prescription unless I committed to staying longer, and they were more focused on whether I was leaving rather than addressing my needs or concerns. Overall, the decline in care and professionalism after the initial treatment left much to be desired.

Okay new update next Day,   I was hold up in Hospital by Dr saying they need to check something for which i already know i have this problem. Now i came to know that Dr wouldn’t be on duty for next 1 week.

Now next day the new Dr. Hold be again for the same reason.

Is this a joke of the patient?"
https://lh3.googleusercontent.com/a-/ALV-UjW7vMdCJgryVqakywdf28v6fWG-z3CAcPDI4VLOwcGot1uqqeFq=w43-h43-p-rp-mo-br100,Kamal Dhinsa,a month ago,"My father was admitted in surrey memorial hospita by ambulance , right way he was taken care in Emergency , after one day he  got transferred in North 41 floor , he was taken care so well  by nurses and Dr’s . I must say girls on north 41 are too good . Dad was very ill but they gave him comfort  and always there for him . He was transfer to north 43  and same experience we had there . Dad passed away . We were satisfied wt their  care.  Thanks all the staff of. Surrey memorial hospital . Specially North 41&43🙏❤️"
