link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocJnoqAdFhGZ1keB5631ouYZB9i5U7yoHJLO1x8zQ_3PfgkSDg=w43-h43-p-rp-mo-br100,Peter Smith,a week ago,"I came into the ER concerned about a lump on the side of my neck. I have a past history of Lymphoma which is why i  became very concerned. I checked in, waited 10 hours to have a Blood Test and X Ray done and another 3hrs to get the result. The first day experience was alright other than the wait time for a couple of simple operations. I was requested to come back the next day for a Ultra Sound. The Ultra Sound was what found my Lymphoma years ago. Knowing this I was concerned ,but knew it was the last test that would confirm my Cancer didn't come back. After having the Ultra Sound I was told to wait in the ER waiting room for my results by the Ultra Scan technician. I waited for 9hrs before I went to the front desk to check on my status. Only to find out I wasn't checked in and I would have to check in all over again. Horrified after patiently waiting I pleaded that I shouldn't have to wait another 9hrs. Thankfully the front check in lady listened to my concerns and took the time to back track the information to see that infact I had been there since 10:20am as requested by the Ultra Sound Technician. She apologized and said she would get me in as soon as she could, of course as long as it didn't impeed a more critical patient, which was understandable. The ER check in Nurse got me in right away and I sat in room waiting for the results of the Ultra Sound to be explained by a Doctor. That's when a Nurse came in the room, the same one that asked me about my symptoms at the ER check in the day before. She asked about my symptoms like I had never been there, horrified again thinking I just wasted almost 25hrs in the last two days to be no further ahead. About 30 mins later the doctor came in and told me the results were good and I should get it looked at again in the 3 months. I am not a doctor ,but when it only took about 20 minutes from the time my situation of not being a patient in the system to being told my Ultra Sound results were good seems very quick to be 100% the result of the Ultra Scan. I left feeling releived and with doubt ,but also horrified with with lack of organization to keep track of patients. I remember reading the sign that said wait times are as follows based on the sign for 9 out of 10 people. I wondered what the 10th person wait time would be, I guess the 10th person is the person that is forgotten about..I now know. The 2 stars are for the ER check in Nurse that worked on Dec2@9:00pm that apologized and actually carried through for me, Thank You. The 3 missing stars are for the suffering of having to sit there for 9hrs pondering the results of a test that would determine the outcome of my future."
https://lh3.googleusercontent.com/a-/ALV-UjVjCSIZtaNdAJa20UUMVBvrGaYp0TLuKHR7DArxzqRt-E14H0Go=w43-h43-p-rp-mo-br100,Inna Benyuk,a week ago,"I want to express a huge gratitude to all medical personnel who took care of me while I was there: surgery daycare nurses - Ella and Gwen; transportation between departments - Jesse and Bob; radiology department - dr. Maria Koleva, nurse Michael and other nurses; after procedure nurse - Hayley.
Thank you so much for your amazing care! You all making such a huge difference!"
https://lh3.googleusercontent.com/a/ACg8ocJAg2xWMiHAIXREHwCIZ6Qhvodq4AHYm65G6nQN0ycX-4sQ7Q=w43-h43-p-rp-mo-br100,Melanie L,a month ago,"My husband went in with and infection, he waited patiently but when he went to the desk to report his changes (like the sign says to do) the ""person"" at the desk said it's not her job and to tell the nurses at their station. She was very rude to many people and not helpful or kind at all. The rest of the staff was wonderful. I wish we had this rude persons name so we could report her properly."
https://lh3.googleusercontent.com/a-/ALV-UjUOZLavPwqpE4UCUVCjX1C6jzhu8VIER4imv0Mr9zNvUt00lFE=w43-h43-p-rp-mo-br100,Robyn Holmes,2 months ago,"Thank you to nurses Alex, Alexa, Lauren Kyle(ER), Francis, and the trauma team. I appreciate the care you gave me.
My story:
I was brought in by ambulance 9am Friday.  I was first brought into the trauma room because my heart rate was so low.  The trauma team was AMAZING!
I stayed 5 days in the hospital.  They did a lot of tests.  I am very appreciative of that.
I, as a patient, heard a lot of things the staff was saying about my heart BUT no one communicated anything at all to me (heart failure, cardiac arrest, heart muscle death, cancer, tumor) I saw countless Drs and no one knew my medical history.  I was ignored dismissed and honestly terrified I was dying.  I asked for a shower numerous times but was told it was inconvenient.  Everything that was missed, or lost (like my signed consent form for surgery) was blamed on their “new system”
After all that on the fifth day I was literally told… there’s nothing wrong and I left the hospital feeling worse than I felt the first day. As I lay here right now my heart is tight"
https://lh3.googleusercontent.com/a-/ALV-UjVqngzGMylSw6omW4NQqPCt8T9MojQLOO_ttmcgMiBqqBig3q4rEA=w43-h43-p-rp-mo-ba3-br100,Jason Moffit,5 months ago,"I recently received care at Victoria General for the first time in nearly a decade, and I am incredibly grateful for the exceptional treatment I experienced. From the moment I arrived, the entire staff showed genuine warmth, compassion, and professionalism. They consistently went above and beyond to ensure my comfort and well-being.

Their dedication and attentiveness made an extremely difficult time much more manageable. I am truly thankful for the outstanding care and kindness I received from everyone at Victoria General, from the Emergency Room staff and testing staff to those on the 4th floor. Thank you for all that you do, sincerely."
https://lh3.googleusercontent.com/a-/ALV-UjVkWd2BGVZQpndWKlve2mvBVHMx3zOGqUTAi6RYdcKQA6pX9h_WBg=w43-h43-p-rp-mo-ba2-br100,Arianne Berteau,2 weeks ago,"I arrived at 7:40 to take an X-ray and they saw me immediately. If you need x-rays, it's just walk-in. I was very impressed and happy to be in and out in less than 20 minutes."
https://lh3.googleusercontent.com/a/ACg8ocKYGdydxAr944efrzoVzEcGvfpigJlCA5UDRlQjsKDc8rRFxQ=w43-h43-p-rp-mo-br100,Will NotSay,5 months ago,"They killed my partner of eight years with their incompetence.

First, the surgery was supposed to be an overnight stay in ICU. I would rather get a sewing needle and do it myself then to trust Dr. Fleetwood's competence. If only I took him to competent doctors that actually cared about their patients instead!

The ICU nurses do not care about your loved ones either. I visited every day and watched them stand around chit-chatting. Certainly not talking about the tasks at hand. One by one I watched the patients slowly pass away. Despite machines constantly going off, nurses rarely came in to check on  my partner. He pulled sensitive equipment out in an attempt to help himself in his confused state. He quickly went downhill, but nothing was really done to help. CT scans done over and over again with no real other steps taken to address his worsening condition.

He was only in his early forties and I'm now a widow in my late thirties. Honestly wish I never encouraged the surgery. He would have lived longer simply allowing nature to take its course. It's sickening Canadians even have to pay into this medical system. At least in the States you die because you can't afford treatment. In Canada, we die while getting taxed for inadequate care. This hospital convinced me not to bother with getting medical treatment in the future. It's too bad I can't opt out of the waste of money and keep it for loved ones to inherit.

Edit: I forgot to include the nurse who set up the appointment also contributed to his death by ignoring him when he mentioned he recently received medication for an infection. He ended up passing away from an infection. So pretty much everyone at this hospital doesn't care at all or do the barest minimum to improve survival. Again, you are better off letting nature take it's course as you will live longer."
https://lh3.googleusercontent.com/a/ACg8ocLupQLqeZworpHor1_4uXaXF9JHiOZQDYycu_-eaVntEhb9jg=w43-h43-p-rp-mo-br100,Mallory Davidson,3 months ago,"The child life specialists at VGH are absolute miracle workers and have made such an amazing difference in the life of my highly anxious child when receiving/needing medical care. We are so thankful for them! Make sure to ask for them if you have a child who needs extra support.
All the other experiences with staff we've had at vgh for either myself or my child in other departments have all also been positive."
https://lh3.googleusercontent.com/a-/ALV-UjUZDCJI66cvisxK6rWXpywq0xPfRg9citZJwuwly83FNz_OYmKYUg=w43-h43-p-rp-mo-ba5-br100,Chris Bunner,5 months ago,"We don't have many choices for hospitals and the people that work here generally are kind and good people but our healthcare system is being taken out at the knees and as a result all our hospitals are understaffed and overworked.
I pray that nobody in this world models their healthcare system after Canada's because it will be doomed to fail right out of the gate.
These people are doing the best work that they can with what they've got so just try to remember to be kind and cut them some slack and be prepared for long wait times.
I had multiple pneumothoresis and had tremendous difficulty breathing with a 70% collapse and I still was in the waiting room for 4 hours before they saw me, that's insane."
https://lh3.googleusercontent.com/a/ACg8ocJSnHvB4HT77PSEzwMLzTsjLgG1ItIBF2wydxgDKG7OpQ-E0A=w43-h43-p-rp-mo-br100,robert willman,2 months ago,Worst hospital I have ever been to . The doctors I dealt with were super rude . I went in because I have been having bad vertigo and super dizzy . Had sharp pain in my chest and troubles breathing . After running some tests they couldn’t figure it out . They refused to send me to a ent specialist and my symptoms are only getting worse. They told me not to come back and go to the urgent care .
