link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjXYTyNsgsL6hHL5AFDIMryx164xJKwK80o_fmi4N1LJ20dC4356gA=w43-h43-p-rp-mo-ba5-br100,Bill Dandie,3 months ago,"I recently had a visit to the William Osler Health System for an MRI, and I must say, it was a remarkably pleasing experience. My appointment was scheduled for 2:40 AM, a time that proved to be incredibly peaceful and quiet, which added to the overall positive experience. The staff was exceptionally helpful, guiding me through the process with care and professionalism. The MRI itself was straightforward and much easier than I anticipated. I left feeling well taken care of and grateful for the smooth experience at such an odd hour. Highly recommend!"
https://lh3.googleusercontent.com/a/ACg8ocJhvTB3ide1ZnxfiC_WCojze6ftpvqTPbW8TJ4s1JTBGbBcug=w43-h43-p-rp-mo-br100,Tim Tam,4 weeks ago,"The staff member in the diagnostic imaging registration area, an older Black woman, was so unprofessional. She was dismissive, condescending, and lacked basic customer service skills, making the experience unnecessarily hostile for patients. This kind of behavior is completely unacceptable in a healthcare setting and reflects poorly on the facility as a whole."
https://lh3.googleusercontent.com/a-/ALV-UjXy4CQdPutvShGsWd0ymLWbrf6kw7R0lqVZCSZnp0suBfqSspU=w43-h43-p-rp-mo-br100,Ros Feldman,3 weeks ago,I came in last Thursday. Was moved to the respirology dept on Saturday. Then spend three nights in a bed in the hallway. Have you ever tried sleeping in a hallway with movement all night. Bright lights etc?  The staff couldn’t have been nicer. But the hospital is too small for Brampton’s needs now that we have grown. They keep bringing people into Brampton but out services have not kept paced. I have a lot of kudos too. The food has definitely improved. The staff are terrific. The nurses caring. So all in all my 8 day staff could have been better in a room. But I can’t fault the staff who were kindness itself. Now mayor Brown it’s up to you. We need another hospital.
https://lh3.googleusercontent.com/a/ACg8ocLcnSdc4UvjVzW9EydjQE0qI5krboIt-ySv-2RZ4dQAyzExXg=w43-h43-p-rp-mo-br100,Geeta Sim,a month ago,"I had to visit the ER at Brampton Civic today due to sharp pain in my rib and difficulty breathing. The administration staff upon registration were wonderful.  I received a thorough checkup and the tests were done.  Yes my wait was long but the examination and follow up were thorough. The doctor listened to my concerns and ordered the appropriate tests. I thought I had a kidney stone
(initial diagnosis at urgent care a few days prior) and ended up having pneumonia. The hospital is also a beautiful facility and very clean from my observations. We may need additional facilities to keep up with the growing population but Brampton Civic is a great start.

Thank you to all the staff at Brampton Civic ER."
https://lh3.googleusercontent.com/a/ACg8ocK0uRi_WoZ4wzouful-gc5-IH64c1FS6DhBOXtm0iKJlWL0Pw=w43-h43-p-rp-mo-ba3-br100,Nav Dosanjh,a week ago,"Place is a joke ,wasted 3 hrs with a broken foot. Leaving with no cast or boot because I have insurance and a health card, but no money.  The hospital doesn't want to bill the insurance company. What's the point of having a hospital. They just want cash. They gave a prescription so I can buy a boot when I have the money. You see pics of my foot it's in pain. Thank you"
https://lh3.googleusercontent.com/a-/ALV-UjXKoK6lQQKruIpwS2QBDpwAj__9wnNd6RsyiWPI2xdMIy04VT-H=w43-h43-p-rp-mo-ba7-br100,Jaspal Singh,a year ago,"August 2023 5*

Personally I wish that no one need to visit hospital for any wrong reason. We visited the place for our ultrasound. It took us 3 weeks to find the slot.

The hospital is well maintained and clean. We took early morning appointment (7:30 am) so it was not busy. Staff at diagnostic centre was very helpful. The process was quick and smooth.

I think emergency section is stretch right now owing to high demand.

Parking is little expensive and it costed us around $9 for one hour."
https://lh3.googleusercontent.com/a-/ALV-UjWbD2UhT2u3qWDXDJk_Lwxz5rx5EdOvUWlpsk2xt_g2p4PM1Y4=w43-h43-p-rp-mo-br100,Alia,2 weeks ago,"Absolutely terrible. Grandfather who was admitted for more than 2 weeks because they kept delaying the biopsy. Doctor kept saying it will be In the next one to two days and it’s been a week. The nurses are extremely rude and slow. Everytime my grandpa need so to go to the washroom, we had to call the nurse to remove his iv bag. They took too long to come and my grandpa ended up peeing his pants and when they finally did showed up they blamed my grandpa for not being able to hold it. On top of that, when you ask the doctor for updates he doesn’t know anything just tries to run away. ( Dr. Kumar). I asked him multiple times to give us daily updates because my grandpa has a serious condition, but he never does and from the past two weeks, I’ve only seen him once, and when you try to talk to him, he gives you attitude and just walks away. Never coming here again"
https://lh3.googleusercontent.com/a-/ALV-UjUzz8JpNQeM0G2G_asZUNTu0mlFfy0h9d2ynq8MEMiFpAUjz_ADzg=w43-h43-p-rp-mo-br100,Tarandeep Singh,2 weeks ago,I am writing to express my deep concern regarding my recent experience at Brampton Civic Hospital. The behavior and attitude of the hospital staff were extremely unprofessional and rude. It was evident that the staff lacked the necessary knowledge and skills to provide adequate patient care. This situation is unacceptable and could potentially endanger lives. I urge the higher authorities to investigate this matter thoroughly and take appropriate action to ensure that such incidents do not occur in the future. It is vital that the hospital staff are held accountable for their actions and that measures are put in place to improve the quality of care provided.
https://lh3.googleusercontent.com/a/ACg8ocJrHlbrdMtv8uDWNrspDpl4vihCM0QJE4cqT_taGk8Da_RhEQ=w43-h43-p-rp-mo-br100,Jaspreet Kaur,3 months ago,"I rarely write reviews, but I feel compelled to share my exceptional experience with Chrystal at Brampton Civic Hospital’s postpartum unit. Admitted due to pregnancy-related complications, I spent three days in the unit, and Chrystal was a standout nurse throughout my stay. From the moment she began her shift, she was incredibly attentive and proactive, addressing all of my questions and concerns promptly and thoroughly. Her professionalism and compassionate care made a challenging time much easier to navigate. Chrystal truly went above and beyond, and I believe she deserves special recognition for her outstanding dedication."
https://lh3.googleusercontent.com/a/ACg8ocJ5-VlLiob3BV7J1jLraQkGlBEL4xJlLBmqSR4tYoLko2HX5w=w43-h43-p-rp-mo-ba2-br100,Pavanpreet Gill,2 weeks ago,"I had the best team at this hospital. Two nurses, Wanda and Trinh, in particular, in the labour unit, were amazing. They made me feel so comfortable and took care of me so well. Before my delivery, Wanda made sure I was okay and was very kind. After my delivery, Trinh was so caring and just an amazing person.
Thank you for having such a great team for a first time mom."
