link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocI-SbWQI77XvgEY9GuE81FxXhsNL7yWFbaFYM1GlXbnUfyjJw=w43-h43-p-rp-mo-br100,Hedieh Khajehei,2 weeks ago,"My recent visit to Mackenzie Health Hospital , on Nov 19th 2024, was deeply disappointing. Despite arriving with a severe and painful eye infection, I waited over three hours before seeing a doctor. The emergency department was severely understaffed, the entire night, leading to delays and inadequate care.

The staff’s behavior was rude and dismissive—when I asked a nurse for pain relief, I was ignored multiple times and even shouted at. The examination area was also unhygienic, with overflowing garbage touching medical equipment. I had to request cleaning before being examined.

When the doctor finally saw me, the consultation lasted less than two minutes, leaving me with unanswered questions and unresolved concerns. Overall, the experience highlighted serious issues with understaffing, professionalism, and hygiene that need immediate attention."
https://lh3.googleusercontent.com/a/ACg8ocIZsTjCDeBbcugJHjTAVJH2Xw07g4iBh0-4nkTtwCE7gwdWBg=w43-h43-p-rp-mo-br100,Liz Leonardo,2 weeks ago,Absolutely amazed at the care we received at this hospital.  We were in pre admission for a surgery that we have waited 2 plus years for. The whole hospital staff from allowing us to be able register so we don't have to come back as we live in another part of province to the doctors and nurses every single person we interact with was so professional and caring. I can't praise this hospital enough.
https://lh3.googleusercontent.com/a/ACg8ocKYqobbZLgNhxyfNte_xqVYWTao1YZgEWQpiLr-cjNWw6zCUg=w43-h43-p-rp-mo-ba3-br100,H W,a month ago,Nice clean hospital. I attended on a holiday when urgent care clinics are practically nonexistent in Ontario.  The triage process was fast. My minor urgent injury was addressed very quickly.  The doctor was pleasant and the nurse was friendly with a sense of humor. It was worth the drive to Richmond Hill from Midtown Toronto to avoid the hours long wait downtown.
https://lh3.googleusercontent.com/a-/ALV-UjVEA7ZCDckASyLi95uBrZp8cojirEeeF473MZuPdzLroShGwFvN7Q=w43-h43-p-rp-mo-ba5-br100,Anjani Duddukuru,5 months ago,"Walked into emergency, Smith service, responsive staff. Paid parking is very expensive. 5$ for 30 minutes. The process was fairly simple. Vitals were taken at the triage station, followed by registration who directed me to the minor treatment rooms. There is a library and vending machines for dispensing food."
https://lh3.googleusercontent.com/a-/ALV-UjXzdPSGm-6mS0XnsByMYZsZpDCa5mT9Qwt5vFzSFhkBpeRKjmE=w43-h43-p-rp-mo-br100,EBONY B COSMETICS,4 weeks ago,"HIGHLY recommend any person of colour to not attend this hospital unless they’re looking to be racially profiled. They have a doctor that works in the emergency wing by the name of DR. HA - who was EXTREMELY rude and unprofessional. My partner woke up this morning feeling extremely unwell and was vomiting nonstop. We came into emergency hoping to get some answers considering this isn’t the first time he randomly feels sick to the point of throwing up uncontrollably. The service/treatment we were receiving was great up until we were assigned to Dr. Ha. Upon approaching my helpless partner, he was extremely aggressive and didn’t have a sincere tone when asking the few questions he asked to gain insight. When I recommended my partner getting an ultrasound or perhaps a CT, he was very arrogant and quite belligerent in his response to me, as he felt that extent of testing was unnecessary. If you don’t have genuine care and compassion for ALL people, don’t become a doctor. It’s as simple as that! I will definitely NOT be back. This particular institution needs to do better in terms of training their staff to have empathy and compassion. The future of the healthcare system is quite frightening knowing there are doctors like Dr. Ha who are simply there for the cheque."
https://lh3.googleusercontent.com/a-/ALV-UjXmQ5O3mBX6O_eGYLQ5Q_Ve9sxa2oL87W-BAILINBUCw5zlNWNq=w43-h43-p-rp-mo-ba4-br100,Irene Lem,3 weeks ago,"The hospital seems nice and the nurses were nice. The palliative care area was peaceful. However, my dad was in the hospital for a month and no one, no nurses or doctors ordered an airbed for my dad as he could not move. Hence he got a painful bedsore to add to the pain and suffering of congestive heart failure. Neither did they teach my family to move him around so he won’t get bedsores. I would think this is a big concern for immobile patients. Through talking to a friend, I found out about airbeds and proceeded to ask for one. They said they don’t have one. Thankfully, my sister in law who works in the pharmacy department was visiting my dad and she asked for us. We finally got the airbed but lo and behold, I just realized they never turned it on! My dad passed away in February of this year. I just realized it because it didn’t make any sounds. But at the time, I didn’t know that as I assumed the people who provided the bed would turn it on! I’m writing this for those who are inexperienced with long hospital stays, please ask for an airbed, be sure it’s turned on  and move your loved ones around. Also make sure they are sleeping on the right end of the bed. God have mercy on us."
https://lh3.googleusercontent.com/a-/ALV-UjVgGVz1LDJWaJpbENww5s-TBCcD-i60_f2tD270cyHirZTEUiE=w43-h43-p-rp-mo-br100,Nastaran Nabavi,2 months ago,"I had a distressing experience at this hospital on Monday. Last week, l had a major surgery at Mount Sainai hospital- such a great place- and was in hospital for 5 days. After 3 days, on Monday, my leg was severely swollen. My surgeon asked me to go to the emergency to do an ultrasound. They worried about blood clots.
My visit turned into a nightmare!!! We arrived around 1:30 PM, but it took nearly 7 hours just to be seen by the doctor and hear the consultation. For me, with a painful abdomen and hip it was impossible to sit more than 10-15 minutes. There was nothing to lie down on, or a recliner. Chairs were uncomfortable, and I was in excruciating pain crying the entire 7 hours of wait. When I requested the nurse a bed to lie down, they let me to rest 10-15 minutes but asked me to leave soon after. The nurse dismissed my plea, stating everyone was in pain. I explained my recent surgery and showed my stitches,  but my pain was treated with indifference. They didn’t even offer anything to reduce the pain.
I was placed in a room filled with patients, which heightened my anxiety about catching another illness. To make matters worse, a nurse rudely scolded me for not being in the right spot.
This experience was not only frustrating but also deeply inhumane. I left feeling ignored and emotionally drained. I hope improvements are made for future patients.
All l can say is they just make sure to follow the protocols to be safe from being sued, but to work in the healthcare system, you need to be sympathetic too!!!"
https://lh3.googleusercontent.com/a/ACg8ocLzHq02GUChnXnV5mh0jxe8omM_sPuZx4bslwaBxx_iiS1rsA=w43-h43-p-rp-mo-br100,Paul Meyer,2 weeks ago,"I saw Dr Gundars Roze today for a preop review. I was very impressed by him. He answered all my questions to the best of his ability but very importantly to me, he wasn’t impatient and didn’t try to rush me out of his office. Everyone I met there today was pleasant and helpful. It’s a great hospital serviced by very nice people. Why not “5”? I had to wait a bit."
https://lh3.googleusercontent.com/a-/ALV-UjVZKfXcpCaDq4SSQGv90RjxQvAXzT5f9GrXEJSWjfdYjalFU4M=w43-h43-p-rp-mo-br100,Maral Mirhosseini,3 months ago,"Not only my biopsy result turned out non diagnostic but I felt dizzy after the test and although I told the technician, she did not help me, I fell down the bed and broke my nose, I was then transferred to the ER department, they said it is not broken without taking an X-Ray and sent me home. Two days later I took an x-ray in another health center and my nose is broken. I am thinking of class action law suit against this hospital, others who are interested contact me."
https://lh3.googleusercontent.com/a-/ALV-UjXANgQYnAyGl4LPMavfpcVo9SQlqLoutZZ8cezLNBfMbqUBgfk7GQ=w43-h43-p-rp-mo-ba3-br100,Parinaz Pourrezaei,2 months ago,"Awful Experience at Major Mackenzie Hospital Emergency Room

I had the worst experience ever in an emergency room at Major Mackenzie Hospital. There was only one doctor attending to everyone, which led to long waits and poor care. My patient was in no condition to sit, yet they didn’t even offer a bed, despite the obvious need.

When I politely asked the staff about our turn and the test results, the supervisor responded rudely, basically telling me to just wait. I had heard about the negative reputation of this hospital before, but seeing it firsthand was truly shocking.

I wouldn’t recommend this emergency room to anyone. I hope they make serious improvements in the future."
