link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjX8Nwlcv_3u-CGwC3jLT_Ci5oDRDJDpHlQ8nmqPAOxPkxwqJSwz=w43-h43-p-rp-mo-ba3-br100,Kato Charles,a week ago,"Indefinite wait times, very young doctors, in a fast paced medical services environment. NYGH Baruch Weisz Outpatient Care Clinic. For Gynaecology appointments, typically these are scheduled on a Friday.

When you enter the office on the lower level, present your health card to the front desk staff who will check you in.

Seats are available in the same room, and a mounted tv is there to help pass time as you wait.

This particular mid afternoon, I experienced a longer than usual wait time of over 2 hours. Even with an appointment, I had to wait and endure the super loud reception area until finally called. At the time of my visit the staff were training personnel, scheduling patients, and sharing back and forth office banter.  Since the space is open concept and enclosed by glass to the front, sound travels very, very well there.

Regrettably, the staff were unable to give an estimate on when I would be seen.

By the time I was called in, I was seen for a few minutes until the doctor was called away for another long time.  Finally they came back to finish my examination which took a few short minutes.

I felt like I was forgotten.  This routine appointment took longer than it should have for whatever reason.  While walking out, I saw the area lights were dimmed for closing, cleaners were sweeping the floors, all the front staff were gone.   As well, it’s daylight savings time now.  I went into the clinic with a bright sky, I came out with it being totally dark. Go figure. Sometimes, that's how it goes I guess."
https://lh3.googleusercontent.com/a/ACg8ocJ9ynC8XsxZiJR1KWgtMl6_uY-wKt7nWaHWI2fOx-Qofo5XAA=w43-h43-p-rp-mo-ba2-br100,Umit Karasu,a month ago,"I recently spent 3 nights at North York Hospital after undergoing surgery, and I couldn't be more grateful for the exceptional care I received. From the moment I arrived, my doctor and the entire surgery team were incredibly professional, meticulous, and caring. They took great pride in their work and ensured that every detail was attended to.

But what truly stood out was the compassion and kindness of the nursing staff, particularly Arlene, Andrea, Sarah, Dan, and the others who cared for me during my stay. These dedicated individuals went above and beyond to support me, always with a smile and a positive attitude. They took the time to answer my questions, addressed my concerns, and respected my wishes in every way.

The nurses were not only efficient but also empathetic, taking great care to ensure that I was comfortable and safe throughout my recovery. They checked on me frequently, administered my medications with kindness, and answered all my questions with patience and understanding.

What struck me most was the absence of frustration or negativity among the nursing staff. It's clear that they are passionate about their work and genuinely care for their patients. Their dedication to providing exceptional care is truly inspiring.

I want to extend my heartfelt thanks to everyone at North York Hospital, particularly my doctor, surgery team, and nursing staff. Your kindness, expertise, and compassion made all the difference in my experience, and I feel grateful to have received such exceptional care."
https://lh3.googleusercontent.com/a/ACg8ocJ0WDaxOdJ9UYYjii2lH6wMXHfJpiCuv-MtNkoQo3AXJeC6tA=w43-h43-p-rp-mo-br100,Katya Khamdan,3 weeks ago,"North York General Hospital is an exceptional healthcare facility! I visited the emergency room twice, of course there were a lot of people because it was a Saturday but the receptionist processes everything pretty quickly. When I had my blood tests and ultrasound done, I received some bad news. The doctor asked what my native language was, and called the translator back, he found the right words of support for which I am infinitely grateful. They gave me a referral for surgery on Friday, 11/15/2024. At 9:30 I was already at the hospital, quickly went through the receptionist. Around 12:00 I was already taken to the surgery. The doctors were very responsive and compassionate the whole time. Special thanks to Dr. Kate who performed this surgery on me. They never left me alone for a minute, they gave me water and juice. Of course, there may be different cases, but I wish you to have such a positive experience as I did. And finally at 2:00 PM they discharged me and even took me down to my car so I wouldn't have to walk alone, these are small things, but when you're in serious condition, such small things are priceless! I thank everyone for your concern!"
https://lh3.googleusercontent.com/a-/ALV-UjVXeN9-c3SJ7XZErfP3Xk7cQoH_wCZQlVdj46jGKC1Vqji_SxTAfw=w43-h43-p-rp-mo-br100,Mohammad Ikailan,2 weeks ago,"My mom had a knee replacement surgery, and she was incredibly fortunate to have Jeff Marukot as her nurse. From the moment he stepped into the room, his professionalism, empathy, and expertise were amazing.

Jeff went above and beyond to ensure my mother was comfortable. He explained each step of the recovery process clearly and addressed all her concerns with patience and kindness. He was always attentive to her needs, whether it was managing her pain, encouraging her during physical therapy, or simply brightening her evening with his positive attitude.

His dedication to his work and genuine care for his patients is unmatched. Thanks to Jeff, my mother’s recovery journey has been much smoother and less daunting. I can’t thank him enough for the exceptional care he provided."
https://lh3.googleusercontent.com/a-/ALV-UjUORvdo2STa_BqNTagVJdnaeuxq1Bt04y33rJWkBy-gnaJghgk=w43-h43-p-rp-mo-br100,Mirella Ardizzi,a week ago,I have come to this emergency department many times and was so impressed until last night when we were directed to the green section. Staff sitting around talking and laughing while patience are waiting to be seen. The doctors were actually sitting chatting it up and having laughs while patience were not being attendant to. I was disgusted actually. Someone should really look into this as it is completely unacceptable!!
https://lh3.googleusercontent.com/a-/ALV-UjV_LRoIkWe9JckLp7P2-pqJ517TKXbC6MC7KnnPoBSiKoQjZbo-=w43-h43-p-rp-mo-br100,PavveL,2 months ago,Went in for an ankle fracture as I had done some research about this hospital for this type of injury. Went in early 4am.  Did X Ray. The first doctor was quick just told me to wait for the osteo specialists clinic at 8am. They were very busy but told me they may be able to do my ankle surgery in the afternoon just to wait. They did a surgery just after lunch and everything went great. The aftercare and information sharing was terrific. All the staff were busy but very friendly along the way. All the staff were well organized and knew what they were doing in their particular position.  This hospital is in a busy spot so be patient but the staff is well experienced.
https://lh3.googleusercontent.com/a-/ALV-UjW5-AocXyv5Q34jZmVg6W8Cx0iJUCBw-ZQ-PU3eV96NgIoiOEeU=w43-h43-p-rp-mo-ba6-br100,OG,10 months ago,"I always choose NYGH because the triage is fast and they don’t have a waiting room as horrendous as Humber River Hospital.
The only downside of visiting here is that there may be only one doctor working during the night and that’s just a terrible inconvenience to have in an emergency room. That should be improved. There are many nurses but that’s not good enough. We need more doctors."
https://lh3.googleusercontent.com/a/ACg8ocJ_evRZIEajV5Q51rmpgh7W3FZNiYlzg8MPWuEVNBdVsNEfkw=w43-h43-p-rp-mo-br100,Muslimakhon Askarova,3 weeks ago,"We are forever grateful to Dr. Alexandra Nevin Lam for her remarkable care of my wife and our baby, Khadijah. From early pregnancy through delivery, she was incredibly professional, compassionate, and supportive. We felt in safe hands throughout the journey, and it was a joy to have her welcome our daughter into the world. Dr. Nevin Lam truly went above and beyond. We highly recommend her to anyone seeking outstanding obstetric care!"
https://lh3.googleusercontent.com/a/ACg8ocKPi2hMGbJEqypsKJLhRElGChQ4rIQlf0iukztO8225BLWmSA=w43-h43-p-rp-mo-br100,C S,a month ago,"The imaging team was a well oiled machine last night. I had my planned CT scan at my appointment time and was leaving the hospital 10 minutes later! Had to wait 4 months for the appointment, but these professionals are great at their job. Keep up the excellent work."
https://lh3.googleusercontent.com/a-/ALV-UjXhYkdvWBHM0pvWYCw845l9WcGLkv_97NDPCn_hXRXnAYuNrbWj=w43-h43-p-rp-mo-br100,Lalith Kumar Balasubrahmanyam,3 months ago,"I am overflowing with gratitude for the exceptional staff here. A few days ago, while accompanying my wife for a checkup, I lost my wallet, which held all my crucial documents—credit and debit cards, my driver’s license, health card, a few reward cards, and some cash. I realized midway through the day that it was missing, but despite my efforts, I couldn’t find it. I reported the loss to the hospital security team, provided my contact information, and returned home, troubled by the potential for identity theft. I promptly took steps to secure my accounts and scheduled appointments for replacing my documents.

To my great relief, five days later, I received a call from the hospital’s security department. Someone had found my wallet and turned it in. When I went to retrieve it, everything was exactly as I had left it, including the cash (though that was the least of my concerns). This act of kindness reflects the remarkable integrity of both the hospital staff and its visitors, and it has truly restored my faith in humanity. To the anonymous soul who found and returned my wallet, you are in my thoughts. Thank you from the bottom of my heart for your honesty and generosity. 😊"
