link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocK8SNod0tYoGyEkePF4n7IXmiwPiwx7EV_fKg6-3-Lc89au1w=w43-h43-p-rp-mo-br100,Jacqueline Tupps,2 weeks ago,"Upon checking in for some testing, I was registered by Charlotte, she was sweet, charming and it was a blessing to meet her. Thank you Charlotte for being a bright spot in my day!"
https://lh3.googleusercontent.com/a-/ALV-UjWDf8WeVW7_t9-tJp4otE0U-MwrIJEQ-Sm3sjPlWUbXlRAF2NS1=w43-h43-p-rp-mo-br100,L C,5 months ago,"Penny K was personable,professional and took the time to speak to me about life and gave me some gems of wisdom. Most of all she was nice and kind!"
https://lh3.googleusercontent.com/a/ACg8ocIh-sgg0uxV0x065I8LlaKUrpe7FUo7VsU_npOG0SDr5Bi0pw=w43-h43-p-rp-mo-br100,Chuck Bobby,a month ago,"Outstanding experience, couldn't have gone to a better place than here. Really felt like I was treated with care. Not to mention at the beginning of it all being greeted by receptionist Jess with a smile who answered all my questions that I had."
https://lh3.googleusercontent.com/a/ACg8ocJUUPi1D8YlhNwtXOpzQNh9RNZrrXimBOBNgKO9NweirStdNA=w43-h43-p-rp-mo-br100,David Brummett,3 weeks ago,I was seen at Avita WorkWell today for some testing I needed done. Taylor was my technician. She was pleasant and very professional. I am very happy with the work she did.
https://lh3.googleusercontent.com/a-/ALV-UjVqH0AUhDRq4wQqVYgI0OtP0Yw2F1CXue5OpzscU5hxMkeL4EN4=w43-h43-p-rp-mo-br100,giordan figueroa,a month ago,"PENNY K DESERVES A RAISE SHE IS THE BEST!!!!
Came in for a DOT physical and she was very thorough the last place I had went to just wanted my money and didn’t care about my health!"
https://lh3.googleusercontent.com/a/ACg8ocL0PTf2n7cc-DtPYY6Gjo-z4HTQP72aSL4LeAEAYjLvbfexuA=w43-h43-p-rp-mo-br100,Justin Hicks,a month ago,"I came for an employment drug screen, Penny did an awesome job. She was quick and friendly. I was in and out. Thank you Penny"
https://lh3.googleusercontent.com/a-/ALV-UjWOSU12eTYT7g97bToHCCXW_xlbqXTWcrqxu9iBJaAF1eVqabc=w43-h43-p-rp-mo-br100,Autumn Pfeiffer,4 months ago,"I had such a WONDERFUL experience at Avita Ontario Hospital when I delivered my baby. I cannot speak highly enough of Dr. Subit or the nurse Hillary. Hillary always had a smile on her face, knew what she was doing, and was very attentive & so kind. She was very good at explaining everything to me as it was my first baby and I was so nervous. I would highly recommend and will be delivering all of my future babies there hopefully."
https://lh3.googleusercontent.com/a-/ALV-UjXsyunK9cma9yHnF2FefwzDAyCVsWEqUQ4bXIPFJBQqACSlsHr_=w43-h43-p-rp-mo-br100,Soft Relaxing Sounds,4 months ago,"Penny K is such a sweet soul, was very calm, welcoming, and patient with me! If your doing a drug test, eye test, and hearing and end up with her your in good hands!"
https://lh3.googleusercontent.com/a/ACg8ocJvoF-gLHW1hoU4jLhWqWOyFqN8zr7wonGa2K7Jl8hdOkbqFw=w43-h43-p-rp-mo-br100,Katie Pollock,a week ago,Penny K. Was so nice and helpful! Highly recommended!
https://lh3.googleusercontent.com/a-/ALV-UjXwd6iJCB4HbKnsixJlXgjWDW_AmPemDVZ2B0qp4BrXvvW7rymB=w43-h43-p-rp-mo-br100,Paige cottrell,a month ago,Penny K was such a great MA did very well explaining all of the answers to my questions!
