link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjUm9BbvClFpSwMdkE_S_ewfLVvh7VIjkAXtPSIceQEiEdmtLpbR=w43-h43-p-rp-mo-ba6-br100,Destination Diaries with Matt,a year ago,"Visited the hospital for an emergency and experienced a 4-hour wait to see the doctor after my assessment by the triage nurse. While I didn't mind the wait because of my situation , I couldn't help but noticed that individuals with more …"
https://lh3.googleusercontent.com/a-/ALV-UjWZWjlSg1VXv5TGw7s-l2P6ugB6UrlOFTAUsU4G2zY0QnS0-NAV5g=w43-h43-p-rp-mo-br100,Polina Davydova,2 weeks ago,"20th of November My husband and I arrived in the morning. We were quickly accepted and everything necessary was done for him (all tests and examinations). Surgery was done on the same day. The staff was very friendly, kind and patient) …"
https://lh3.googleusercontent.com/a-/ALV-UjW7zJ1ypQzRJfXwCs3G9pAeWRsP4z6MdK79cAcI6ZHkh-CiU-jOhg=w43-h43-p-rp-mo-br100,Trevor Fast,2 months ago,I don’t mind 5 hours in the waiting room because it’s a busy day and the hospital is short staffed.  But there is absolutely no reason I should be brought into a bed in the back and have to lie there in pain for over 2.5 hours before being …
https://lh3.googleusercontent.com/a/ACg8ocL2ZHkeEessLik4JCVHOJbm5nM3msMXOD04A7GDhXLFKsL2OA=w43-h43-p-rp-mo-br100,kbutt butt,3 months ago,The beginning of my visit to Chinooks ER was quite ordinary. Triage nurse and registration were friendly even though my “not from this province”. The last time I experienced Alberta health system I’ve forgotten all about…due to that it was …
https://lh3.googleusercontent.com/a-/ALV-UjUAte6HokAlKfvtAf5OTHfDj5pyF7i1O9O5wp0SahXrrDj1PlU=w43-h43-p-rp-mo-ba3-br100,christina gillis,a month ago,"We have had to bring my husband here multiple times over the last 8 months, and most of the staff are friendly, make you feel comfortable. They also talk plainly so you can actually understand when they are explaining something to you. I've …"
https://lh3.googleusercontent.com/a-/ALV-UjUnTa3eXY5HJ5i0uDOlL3Zd9EO_TIlLMW7Z7HcKEjeqR1krcb9q=w43-h43-p-rp-mo-br100,Andrea,4 months ago,We had a great experience with Chinook Regional Hospital for delivery of our second child. The nurses were tentative and understanding. We felt supported and had a great time with the delivery nurses and the nurses in the baby ward. …
https://lh3.googleusercontent.com/a-/ALV-UjXJ5quAIZZ9ZWiJjUHGWHFWByZkzjQIvuqru31O_2mIeGJTG3vV=w43-h43-p-rp-mo-ba3-br100,kim fritz,6 months ago,Absolutely the best emergency ever! The staff was Amazing and so caring.  My son went to 3 other hospitals in 4 weeks for a injury.  He was told a different story at each one. The staff here took charge and addressed the problem.  He had 2 …
https://lh3.googleusercontent.com/a-/ALV-UjW6YQZwJP8lsIKgj92E5daMUrto-YV9Rby7VdPmij4X2wCjSDY=w43-h43-p-rp-mo-br100,Lee Dudas,3 months ago,2 years of waiting for surgery I ended up with a shattered hip and necrosis. I suffered needlessly just to wait for days in pre op for no surgery to even happen until days later. Nurses were great doctor was professional but management is a joke.
https://lh3.googleusercontent.com/a-/ALV-UjU2A1H8FobnKJ01Qvw0SIG5vCX29RPASzXvbrQoHMD4WaIapK8=w43-h43-p-rp-mo-br100,kayden clarke,5 months ago,"Elna is a disgusting human being. my friend overdosed last night and was taken to the hospital and was treated like garbage by her and the other nurse with her. they got him alive and breathing again and sent him off. no wellness check, …"
https://lh3.googleusercontent.com/a-/ALV-UjWK1-6yxSIgc-NE5dcmifwXG7KV2mR_PDeBXtDbvNmJM2Re8Afp=w43-h43-p-rp-mo-br100,sun _dawn,5 months ago,"Came here for chest and back pains. Was told I’ll be seen within the hour and I’ve waited 2 and a half hrs. In that time frame I’ve been crying, in complete discomfort. Hoping and praying I’ll be seen soon but nothing. Luckily the Tylenol …"
