link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjU1qWlo3IOnzFrYuZN56EGmOYMlFR95sH4yWpXEXBdEjxiwuIza=w43-h43-p-rp-mo-br100,Viv,a month ago,"The staff was fantastic as the surgeon is. The kitchen staff should be trained on making the food. Twice the soup was lukewarm,  the salad didn't have dressing. The sandwich had the filling however where was some margarine? It was really …"
https://lh3.googleusercontent.com/a-/ALV-UjWq-HLxtM7oUle0L9H8AXjvZbSZExRldU8rGvdCrIL02XSEOG0=w43-h43-p-rp-mo-ba2-br100,Tina Rodgers,a month ago,"I want to extend my sincere thanks to the emergency staff at Grey Nuns Hospital in Edmonton. From the LPN to the nurses to the doctor, everyone provided exceptional care and treated me like royalty during a very scary time. It was a full …"
https://lh3.googleusercontent.com/a-/ALV-UjX1kOLxHfmXrhrtt3eh0JxJjt93OKKzYXM9omtQOG2mNeXED3fX=w43-h43-p-rp-mo-br100,Jodi Baier,2 weeks ago,The horrifying experience I had while delivering my son at Grey Nuns will stay with me forever. …
https://lh3.googleusercontent.com/a-/ALV-UjWFgset6LQAQi0jd9Xba6pHrjyfoa3ME8pQEMJHA31Q9mJZXWZWQA=w43-h43-p-rp-mo-br100,Beaumy Lee,3 months ago,"My grandmother stayed at the Gray Nuns Palliative Unit for about 10 days, and our experience was great. Although the wait times were a bit long, the staff were nice. Dr. Jacky Tan was especially amazing. He was the kindest and most caring …"
https://lh3.googleusercontent.com/a-/ALV-UjUxPF7LQgiX1_jhA1bEa9juQoMInlKP15GbBRfB6Uv-99yuGyB22A=w43-h43-p-rp-mo-ba4-br100,Chastity Stamp,a year ago,"**ATTENTION FIRST NATIONS MOTHERS**
🤱💫❤️🩷🧡💛💚💙🩵💜🤎🖤🩶🤍💫🤰
November 2022 …"
https://lh3.googleusercontent.com/a-/ALV-UjVtCnbEPpJGGWkGFFel0pTKG1CLm30_or-q_EV7xKqLhL_lps8uOA=w43-h43-p-rp-mo-br100,Author Mandy H,a week ago,Negligence. That's what describes this hospital perfectly. My stepdad had to be there early November for a week. He has a serious condition. The surgeon was aware that he needed surgery. …
https://lh3.googleusercontent.com/a/ACg8ocIBJ7VCkbShQeCSQzVd_y0GcyH1BYsfxQxT1Mo1qoSkH_BsdQ=w43-h43-p-rp-mo-ba3-br100,Joyce Hayden,a week ago,I went to emergency and only waited 1.5 hours to be taken in. Nurses were fantastic. Dr Aneeta Mistry was a gem. She was my Dr while there and not a bad word to say about her!! I had a great experience there. Believe me if it would have been bad I would say so. Thanks so much for the great care!!
https://lh3.googleusercontent.com/a/ACg8ocKH3ERBQsdT7rm4l2Gc60KN6-BoTsx_HvpXvKPLeg2pM5-1Eg=w43-h43-p-rp-mo-ba5-br100,Out of Town,a week ago,Wait if an ambulance driver ever tells you they’re taking your loved one to the Gray nuns tell him to turn that thing around because this is in the hospital. It’s a mortuary. This staff is severely incapable. They have what’s called an …
https://lh3.googleusercontent.com/a/ACg8ocJ1_suTpTvSWyo7RY1ZLC8Kf0ODWd0V5pNCt6B7jj0Y9F8_xg=w43-h43-p-rp-mo-ba2-br100,Lynsey Wood,a week ago,Labour and postpartum team are always amazing I had my second baby a week ago. The nicu team is honestly so fantastic all the nurses and doctors have truly been amazing while my little is still in nicu. I honestly cant say enough good things about everyone. Truly fantastic
https://lh3.googleusercontent.com/a/ACg8ocJMR3KDYLxkz-ZFvS6XjeOxdUmp91ixZbjCL6nIdvoIEH8ieYQ=w43-h43-p-rp-mo-ba3-br100,Ashley Talarico Livingstone,3 weeks ago,"Dr.Sabourin, and her team are absolutely amazing. I really want to highlight that Nurse Jenna did an amazing job at helping to prepare me and support me for a procedure that was causing a massive amounts of anxiety. …"
