link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocIKjBkaIj4C-0VBMd5_a1g8XSwBVDDZFYtpAgAhOQJsx5WpKQ=w43-h43-p-rp-mo-br100,Jennifer Grant,a week ago,"My son is 20 and low income, he got the run around from many government programs. He needed a lot of work done on his teeth and some emergency dental done. He went in in extremely bad pain and they pulled 2 teeth for him and it cost $22. …"
https://lh3.googleusercontent.com/a-/ALV-UjVg522UTUqqoRh5DONmDj2uZlumsna_XZVU_I9Zv2RmFfTDzjiK=w43-h43-p-rp-mo-ba3-br100,Colette Pelletier,5 months ago,Only allowed to take a picture outside. I go here to see my Doctor. It's a family medicine teaching clinic run by University of Calgary. There are also Dieticians here and Social workers. Also if you need to get blood work done the lab is …
https://lh3.googleusercontent.com/a/ACg8ocI_YElq2plQZd_RMEfKE7xmNtbsHfnXbEICFAUSXNBmviemrA=w43-h43-p-rp-mo-br100,Angel’s Zoo. Fosters and More.,4 months ago,"Went to the dental clinic for an emergency wisdom tooth pull. Cannot stress enough how amazing the staff and doctor was. Doctor is a funny guy, distracted me with jokes and it was all over and done with so fast! Amazing work, amazing staff. …"
https://lh3.googleusercontent.com/a-/ALV-UjX33pnaMIeYo5QqIiiYGp7yXxIIkJzOuDIgfh5h43Y0nPlG6-Z7=w43-h43-p-rp-mo-ba2-br100,Jenna D,2 months ago,"Okay if you need to get blood work, and are terrified you go here. They are the BEST of the BEST!!!!!! I have the biggest fear or needles and they just took such great care. I believe our nurses name was Carla, what are beautiful human, …"
https://lh3.googleusercontent.com/a-/ALV-UjXaaGxNPsPdReFyxMnFsR_PLjv1m2uXEMhYi93rsDpLARf_npMo=w43-h43-p-rp-mo-br100,M P,a month ago,"I had a very good experience here.
Dr. Jepson and the nurses were so nice and professional. If you are able to time your visit to urgent care by watching the wait times via website, the waiting will be much more reasonable. There was a wait time of 1hr 15mins Sunday at around 6pm."
https://lh3.googleusercontent.com/a/ACg8ocIAQcX9HoahNVOwqLOGJQnhWO6LTONUjEaBevcvkZsfvTux=w43-h43-p-rp-mo-br100,Athena Taylor,a month ago,"I am extremely disappointed with the experience we had at this Hospital tonight, Friday, October 18th at 10pm. We came in with a serious anaphylactic allergy, and the nurse in the triage station closest to the door was incredibly rude and …"
https://lh3.googleusercontent.com/a-/ALV-UjXJgfi3IIAAg-NYGYX6rjgS5kXGYauVG1gmMxvByLucL2t9ii8=w43-h43-p-rp-mo-br100,DAXESH PATEL,a week ago,Worse healthcare services I have ever seen. Just sit in waiting area. Nurses are just doing their work in computer. Not doing their work at all. I saw 5 of them just talking about their lunch what they will eat for dinner for almost 1 & half hr. Now I know the meaning of free healthcare service. If i have option I would give 0 star.
https://lh3.googleusercontent.com/a/ACg8ocKzc_or-9EwRLCrldcZbDHF_PD-ZehV4JfMWVnISqi35eJuuQ=w43-h43-p-rp-mo-br100,Sam Lahu,4 months ago,"Me and my wife had an appointment today at the dental clinic on 6th floor. We both had an exceptional (I say that again) exceptional experience! The lady doctors and staff are fabulous, treated us with compassion, kindness and delightful …"
https://lh3.googleusercontent.com/a/ACg8ocIQicBgxO5Qnx76YcUqW9guJTe-B2Z9lwdk4uJOVXRc2Exjpg=w43-h43-p-rp-mo-ba3-br100,Suzanne Macnab,2 months ago,"If I could give a zero star I would. So unbelievably unprofessional, the girls ( not real women real women don't talk the way they did nor act the way they did) at the registration desk are so awful at their job and feel the need to make …"
https://lh3.googleusercontent.com/a-/ALV-UjV6tqJx3KWT2XN5klfEAlA6bJBuZycSQfKJ_WO2Psf027ELcjQ=w43-h43-p-rp-mo-br100,Roxanna Gomez,a month ago,I live 5 minutes away from the south campus hospital I was there lastnight with my daughter for 7 hours she sat in pain while people with minor issues were let in before her the staff are miserable and rude when asked how much longer so we …
