link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjWOvLYLwzswSXKpURCr4C1GLgN-43i5QmONa5i-Br6Mev-OJ2DaqQ=w43-h43-p-rp-mo-br100,kade hessian,2 weeks ago,"went into the ER on saturday at 4:30 with crushing chest pain, shortness of breath, heart palpitations, pain fatigue and nausea. waiting room was not that busy at all. had my ekg and blood work done at around 6:40 and the nurses were super nice, especially the lady who did my bloodwork. waited for around 9/10 hours to be seen and gave up and didn’t get seen at all. multiple patients who were being checked in 15 mins before we left got in before me . was shocked that apparently heart problems aren’t important and that it’s not a vital organ. would rather go to my local walk in then st b."
https://lh3.googleusercontent.com/a/ACg8ocJm1NdJJrQGBpY9RZL7s9Aj3vztOCcH_eqRIOLbeGfHCx9Wpw=w43-h43-p-rp-mo-ba3-br100,Mike Messner,a month ago,"In the cardiac ward on the 5th floor, temporary pacemaker put in until they could slot me in for a permanent one. The care from the nurses and doctors was amazing and professional. Only waited one full day and the next morning I was in.  They kept me comfortable and  on surgery day my nurse was Colleen. She was awesome and couldn't ask for better care. I am from the west coast and didn't travel expecting heart trouble. Thank you St. Boniface cardio department for looking after me."
https://lh3.googleusercontent.com/a/ACg8ocLyiCDyhNZOLk65woGEvlrWQVlvYYr2cDyNbTHfH85EWkmaFg=w43-h43-p-rp-mo-br100,Tammy Schmidt,a week ago,"Thank you to the amazing team at St
Boniface hospital. My care was exemplary. Was brought straight in, tests were done, everything was explained to  me, questions answered all the way through to surgery and recovery."
https://lh3.googleusercontent.com/a-/ALV-UjVx1SL_tJFoWv8lhT7BPrPCXnjWiZ6sW-JKiBashl0oJJuil8Ue=w43-h43-p-rp-mo-ba5-br100,JC,7 months ago,"Let me introduce you to the dream team at st Boniface Hospital. Had a procedure today and these two ladies were amazing. Their compassion and love for what they do is an example to anyone in Healthcare. They made me feel comfortable and that I mattered. Didn't even feel the iv administered, first time ever. They definitely deserve a raise! Thank you so much for making me feel comfortable. The most smoothest, welcoming and great experience I have ever had.

And thank you for your unwavering, dedicated service in health care. It's people like you that we need more of in the world. You truly make a difference and I that is what we need. We should clone you both.  Thank you."
https://lh3.googleusercontent.com/a/ACg8ocIvRfvooGIFME8JqFpoWvEK-_TUdnxm_kuF9iyQnXRmrDAhHg=w43-h43-p-rp-mo-ba4-br100,Beth Halibut,5 months ago,"Delivered my first baby at St Boniface Hospital and had the best team of doctors and nurses. They all had excellent bedside manners, were caring and made the whole experience much more relaxing and easy going than I felt.
Dr Evans is so experienced and well respected by his team and it shows. Despite having a relatively traumatizing birthing experience, I can say I was really well taken care of and made to feel comfortable and have my pain managed. Special thanks also to the postpartum nurses as well who all taught me various aspects to caring for a newborn."
https://lh3.googleusercontent.com/a/ACg8ocJ1JEELiwhBkURkKGZadHFV4FWq008EuDJonHCblmuaOjPTxA=w43-h43-p-rp-mo-ba2-br100,Yassine Tarras,4 months ago,"I recently had a very positive experience at Saint Boniface Hospital. From the moment I arrived, I was impressed by the professionalism and compassion of the staff. The nurses and doctors were attentive, knowledgeable, and always ready to answer any questions I had."
https://lh3.googleusercontent.com/a/ACg8ocKeoHOLoUmIiCCAB1MkPiKa4KjupNKLTaVKtVqJGwx2iASUXw=w43-h43-p-rp-mo-ba3-br100,Prisy “Cass”,5 months ago,"The maternity level is full of kind and compassionate people. Me and my little one were glad we chose this hospital. Doctors are professionals and kind, anaesthetist are awesome and nurses are very helpful, overall the best team you would want to be taken care of!"
https://lh3.googleusercontent.com/a-/ALV-UjWYa1fJh3PjTZqWA7-2BG1zKQYNKwVqPfVqEz83U9UwBiqyO37K=w43-h43-p-rp-mo-br100,Leo Lady Lin,2 months ago,"This is a horrible hospital. Nothing like it was 10 years ago.
No more respect or appreciation for life.
These doctors are heartless and unskilled.who now prefer to kill their patients rather than save them.
All I can say is....if you don't make a certain amount of money per year they will purposely make you worse.
As for them being the heart specialists in Winnipeg-- well frankly we could probably do just as good following  a damn U tube tutorial. How are these people even graduating.
After many months of observation I was witness to  absolute shameful and unethical conduct by doctors, nurses and medical staff.
Do not go to this hospital for even a paper cut because you just may not make it out."
https://lh3.googleusercontent.com/a-/ALV-UjVvkzZehB6Umijk8R-XLoLOt5kNAMRk72RzXfoex66tQh1KAZKk=w43-h43-p-rp-mo-br100,Susanjith Dilrockshan S,3 weeks ago,I admitted my wife today for a surgery. The entire crew at the hospital was really kind and helpful. I felt like I was at home. My wife received extreme care. Thanks and hats off to the team
https://lh3.googleusercontent.com/a-/ALV-UjX04KJww7rzF618qWSixx25KzJs1T2XgTAeifJSxt24HGO5Nsq2=w43-h43-p-rp-mo-br100,D Gaspar,2 months ago,We had our newborn delivered there. We got looked after immediately. The nurses were great the doctors were great. We felt very supported. Thank you to everyone on the medical team.
