link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjXgKRxLlh6vQ6ky5swW7Q3xZ_yab6_8jbpyg-liMalhuvpz1pvo=w43-h43-p-rp-mo-ba3-br100,Faye Cameron,4 months ago,"They question why you're coming in when you walk in the door by security people when you have appointments. Then you have the parking meters that people have trouble using, you can't use debit, just credit or have to use the change side, so not only do you have to find an ATM but you have to get change for a $20 bill. They need to update this system so people are able to use either credit or debit we are in 2024 not 1990s not impressed with this place. The good side tho is friendly people. I also noticed that they charge way more at this time than any other, and are not as friendly either."
https://lh3.googleusercontent.com/a/ACg8ocLeDs64jNfUTFBwyTvVOXAc4GFg2lwDx4GxIGdqNP7PAFgt=w43-h43-p-rp-mo-br100,Leanne Valiquette,a week ago,"Brought my son to this Urgent care because the clinic we went to took X-rays of my sons finger and then phoned to let us know that it was fractured and to go to Urgent care to get a splint or anything else he might need. So we came to urgent care and the nurse(Blonde, glasses) who triaged him was not very nice. When my son told her that he hurt his finger and how the clinic told him to come to urgent care she raised her eyebrows and questioned him as to why he came after he had just told her why. She made him feel like he shouldn't have come here.  My son sat down and said why did we come here. This is the worst interaction from a nurse we have ever received. We will not be coming back to this Urgent care hospital again. We come for care not to be made feel unwanted by nurses who obviously don't like their job."
https://lh3.googleusercontent.com/a/ACg8ocLLYGRsmnk-zIQltymVqMx0mcyXZUMwiq_2JFY6JS3PjJnRvQ=w43-h43-p-rp-mo-br100,Gursewak,3 weeks ago,"What kind of emergency or medical facility is it. Just one doctor in emergency ward during Night shifts. Do something better. People are sick, getting seizures while waiting. It’s more than 6 hours  while waiting to see doctor but nothing. It’s Canada we are getting worst medical services.
Doesn’t recommend this place. I think management doesn’t even care to put more doctors at emergency wards during nights. Shameful"
https://lh3.googleusercontent.com/a/ACg8ocJanvpoF1-48xKWX9XVfsbLcYrQdabJ1TqGxBSEr7qnmYZOJQ=w43-h43-p-rp-mo-br100,Michael Bear,a week ago,"Sitting in the back waiting for a doctor to come see me. After 45 minutes of waiting, they asked me to leave since I've been discharged. Wasn't registered in the back or seen a doctor. just nothing but attitude from the nurses and doctors. This hospital will always be known as 7 jokes. Winnipeg health care system is a joke."
https://lh3.googleusercontent.com/a/ACg8ocKpWr3j3a_L4U31EnAkRZ_uyGSa7weytKWfNP_lTeaYYluoCA=w43-h43-p-rp-mo-br100,MEHAKJOT AULAKH,a month ago,"Worst service!!!! This is called as urgent care but nothing here is considered as urgent. I have been waiting here for 6 hours and I haven’t been seen by doctor yet. The reason of my visit today was there were 4 stitches made on my finger due to a deep cut. It was done by two of the medical students without the supervision of doctor. I dont think that any experiments should be made on someone’s injury. Doctor should treat instead of medical students. One of my Sitches was placed wrong and I had to come again to get it placed right. This is totally unacceptable and if you go to triage nurses for asking wait time they would respond. I don’t know you have to wait beacuse you cut yourself. No, I didn’t cut myself it was an workplace accident. Treat someone with empathy and respect if you are frustrated with your job just leave…"
https://lh3.googleusercontent.com/a-/ALV-UjV6ZrtvgIrLPqwx2Vht7wpQ-tW_hWAPWJMcZ31TDhMSzvmf55Gj=w43-h43-p-rp-mo-br100,Kirandeep Matharoo,2 months ago,"Such a bad service!!! I have waited for 7 hours and still there was no doctor come to check me up. The nurses inside the patient ward were talking non stop and laughing while other people were suffering through their hard time. Also, they don’t have manners how to treat the patients. The screen was showing 5 hours wait time but nurses said sometimes it also takes up to 18 hours and nobody was telling us when the doctor will see us!! Her wording was that there is only one doctor right now and it’s very busy so no idea when she will see you, I don’t think so it’s a right way to tell your patients!!!!!!!"
https://lh3.googleusercontent.com/a/ACg8ocKzm-VyoEgwEecDDyf4I9VtUHTrLYsE2HkInlPjHvpSIeiDJA=w43-h43-p-rp-mo-br100,Donna Hora,4 months ago,"I had to bring my daughter for a procedure and had to use the public parking.
When we got inside and went to the pay station, a gentleman volunteer asked if I needed assistance.
He then asked if we knew where to register etc.  He actually showed us the way,all the while chatting with us.
All the volunteers are so friendly and helpful!
The Cafe makes a great clubhouse!"
https://lh3.googleusercontent.com/a/ACg8ocJe6GRniPcY_fl6-WlVVIumhluMeX5E-IWzFMHqkz59s7_3-Q=w43-h43-p-rp-mo-br100,Jaden Debeer,4 months ago,"Came to urgent care at 6:30 pm left at 3:30 am... when I came in I had trouble breathing because my tonsils were taking up most of my throat, nobody looked at my tonsils even after I asked and I got put behind many people and had to wait much longer than the posted time and I even asked multiple times where I was on the wait list and they said ""next"" then called multiple other people in first, even though they wouldn't even properly assess my issue at triage, and was told it  was because the other people needed beds and I needed a chair then I proceeded to get put into a bed for 3 hours, got told multiple times my condition was my own fault by nurses because I had eaten or drank something that affected the ""absorption of my medication"" which was antibiotics for a condition I didn't even actually have as I was misdiagnosed originally, and heard nurses make fun of other patients for being ""attention seeking"" or ""overdramatic""  after asking multiple times over the three hours I waited to see a doctor in the bed was told ""there's only one doctor but there's only 4 people ahead of you"" only got told right at 3am after i basically completely broke down crying because of how tired i was getting absolutely no help and no updates that I had mono, I was sent home.
Never coming back.

For some reason they keep deleting the review my girlfriend posts multiple times so maybe if you have shame over a true experience you should fix your system"
https://lh3.googleusercontent.com/a/ACg8ocI4LjTbwlUcI3vUS_I3dFVtXcmKaBZvXoQXOEojuHPPkURJ8Q=w43-h43-p-rp-mo-br100,A B,5 months ago,I went in for a painful abscess last year. I was assessed quickly & the wait was about 2.5 hours which isn’t too bad. I was offered Tylenol for the pain by the front desk. Dr. Hunt drained my abscess & he had great bedside manner. He made sure I was comfortable & answered all my questions. No issues!
https://lh3.googleusercontent.com/a/ACg8ocLS8bbMhysshX5j2o3qe0ZKpB2gJO0J1CkM1DySS6NcHuu5xg=w43-h43-p-rp-mo-br100,Bernadine Sirman,3 months ago,"This week I had a procedure with the Seven Oaks Endoscopy Unit! The team was fantastic. It started with me being greeted by Maria. I had not registered yet so Maria walked me back to the entrance to show me where to go to register. SO Nice!, then Connie got me ready and into my bed with a warm blanket! So darn nice, friendly and gracious. Next I got spicy Maria! I loved this lady! she was funny and caring and so darn thorough! Nothing was left undiscussed. (Her interaction with the gentleman next to me was equally wonderful and funny. Into the room exactly on time, my procedure nurse took me to Dr Muthias, I m sorry I forgot the in room nurse names..  Suffice to say they were equally amazing. 10 acres of grass!!! she will know!  Dr Muthias is a GEM! All Drs should copy him. Thank you Thank you Thank you Seven Oaks."
https://lh3.googleusercontent.com/a-/ALV-UjWojGS4ze1uzodBUPvkppffeeKsWMd0hiaZfzNsEEIllQKayMs=w43-h43-p-rp-mo-br100,Cory Macsymach,a year ago,I come here 4 days a week for dialysis. I usually try to arrive earlier to enjoy a Tms Coffee and Doughnut. I start my dialysis for 6pm. I usually arrive at SOGH around 4:30pm when Tim's is closing. I get a sandwich from the food dispenser. Problem is my sandwich was stale.  What is with that. I was looking forward to my sandwich for supper before my dialysis appointment. I cannot get coffee here without bringing my own cup first. Make sure you arrive here before Tim's closes at 4:30pm.z
https://lh3.googleusercontent.com/a-/ALV-UjXrXe4KLureH1HPjuhjqEWk7Bj2GSn5BQKIuCUdhgBzMArUdlfKgw=w43-h43-p-rp-mo-ba3-br100,Dayanna Cano,4 months ago,"I would have give 0 starts if possible.
Waiting time 12 hours, my husband got his ankle injured no fracture, the doctor even was not able to say how worse was the sprain, or what grade stage it was the injury.  His ankle got even more swollen and bruised. if you have something urgent do not come to this hospital. Attention it is a mess seems like just one doctor to see  critical patients  and the other ones at the same time."
https://lh3.googleusercontent.com/a-/ALV-UjVYv7cJJZXiw1bQjABsEZ-_3-w3z3lN2BBDL1PKiKLJCoWGZm-x_w=w43-h43-p-rp-mo-ba3-br100,S.L Hami,5 months ago,"Been here just over an hour now and so far so very good!
Nice, cheerful and professional nurses at the registration counters, and the nurse that did my bloodwork was very nice. I am thankful for the warm and caring atmosphere."
https://lh3.googleusercontent.com/a-/ALV-UjVTXesRI38ApqCQV0RFsV980ed_TyK5Rt-87t2T7ZlopVJqsN0=w43-h43-p-rp-mo-br100,Daniel Huen,4 months ago,"Arrived at 7pm with chest pain and difficulty breathing. It’s 3:15am and still have not seen a doctor. This place is an absolute joke.

Update: it’s now almost 6:30am and I’ve only had an X-ray and nobody has come to see me since. We are almost at 12 hours with no care provided."
https://lh3.googleusercontent.com/a/ACg8ocKVdsphdtskkIr3AgsUZRQ4fSKF_pUiJBIbr3bpR5vsl3CHrg=w43-h43-p-rp-mo-br100,KarenAriel Lee,4 months ago,"Not user friendly to those with mobility issues.  They refused to give me room number of a patient.  I said I needed to know how far I would have to walk to get there and they would not tell me.  So, if you have mobility issues, don't bother visiting people there."
https://lh3.googleusercontent.com/a/ACg8ocLAd3X-nFeLRWI7CkpN_cTWc0PhKk2cLtBwltaCdhduBD5REw=w43-h43-p-rp-mo-ba2-br100,Erica Perez,7 months ago,"I don’t normally take time out of my day to write reviews but this place is absolutely brutal. I arrived at 8 pm and the wait time stated 5.5 hours. I understand that higher priority patients exist but I was seen 13 hours later. After waiting way too long to be seen, the doctor (who just started at this time) walks in and her demeanour was terrible. She asked such strange and condescending questions. Barely acknowledged the pain I was in or offered anything helpful aside from strong pain medications and a shot. Any other solution that I left with were self led recommendations made by myself. I would highly suggest avoiding this place if you can."
https://lh3.googleusercontent.com/a/ACg8ocLNW2ohxykBh1anK2-gTSEmj1gEcGoAPqjHXRbOjMSrWslcSw=w43-h43-p-rp-mo-br100,Sindy Vaks,a month ago,"Staff were kind and patient (also apologetic for the wait)....other than enduring the 5 hours, I haven't had a terrible experience at this hospital 😊 …"
https://lh3.googleusercontent.com/a/ACg8ocJy4FvLsSkZ3ldZk3fyQT-EdjkeDljVYRsiEVdfurRQY-jURg=w43-h43-p-rp-mo-br100,Ryan Nordal,3 months ago,If you wanna die this is the place to come too. Slowest nurses and Dr's I've ever seen. No care or empathy for patients. Stay away from this monstrosity. Told the nurses multiple time of unbearable pain and they did nothing about it.
https://lh3.googleusercontent.com/a/ACg8ocKVfAN2AOBznlipE8BVzzaax6_GNrEWrxTrwyvScvZ0DhUAAw=w43-h43-p-rp-mo-br100,Aria Guenther- Hoorman,7 months ago,"Terrible service, after waiting hours my partners name was called to be helped and we got put in an open room in the back with multiple people laying on the floor and groaning. The doctors were sitting behind the desk laughing and making jokes about it saying they had no where else. Before calling patients back make sure you have space for them. It was so disappointing and disrespectful. Urgent care is an absolute joke."
https://lh3.googleusercontent.com/a/ACg8ocJ_CdpSNugVPWHUQKWpa5IITlN_5c3FNW7slx5GjmqRetJKrQ=w43-h43-p-rp-mo-br100,Tara Zrymiak,11 months ago,"Seven Oaks Urgent Care is a disgusting joke - I wish I could give it a zero rating. I saw nothing to give me any confidence that anyone here knows what they are doing - either the nurses or the security. All of them were nothing but rude and uncaring to the many patients that were made to wait for many hours. A large puddle of something (could have been anything!) was spilled from a bag being held by another patient right under the chair where my mother was left to sit uncomfortably for hours, and nobody made any effort to clean it up despite being notified about it being there. The entire waiting area was grungy and dirty; the pop machine was broken; the one treatment room off of the waiting room was freezing (and another patient was abandoned in there in a gown for about 20?minutes before they finally had to come out to warm up!). I’m glad I don’t live in Winnipeg so I will never need to come here again, and I’m sorry for any patients that do need to come here."
https://lh3.googleusercontent.com/a-/ALV-UjXfTlrfEHYHUsRbHTZcxEXM5c3skyC9kXlmPeSDuaraGEB2emc=w43-h43-p-rp-mo-br100,Tara Hill Haliuk,10 months ago,"The urgent care doctors were horrible, rude and disrespectful. I have never been treated that badly by two doctors in my entire life, I asked would you please listen to me and he said no you’re not listening to me a walked out of the room.   They expected to treat me with medication that would make my health worse and cause further problems. . The nursing staff were good except one who disagreed with a very viable fact several times.
Treated very poorly."
https://lh3.googleusercontent.com/a-/ALV-UjVJRTVt5pzSAEV8u8iGxELe3YBH94vjEfAyhvcCn3X_4J87Tec=w43-h43-p-rp-mo-br100,Marlowe Hiebert,8 months ago,"SOGH Urgent “Care” is an abysmal and soul crushing experience for people in pain. Go elsewhere. So far it has taken more than 8 hours for my daughter to be permitted entry into the patient care area only to discover she was only led to a second waiting room. How long she will have to yet wait to be seen by medical staff remains unclear. We asked two questions of registration staff during our more than 8 hours and each time we were met with snide looks and discourteous comments. Meanwhile we observed hospital staff engaging in PDA in the registration office area, in full view of waiting patients. What a horribly run and rude facility and staff. Every walk-in clinic experience I have had to date has provided a vastly superior experience to SOGH Urgent Care."
https://lh3.googleusercontent.com/a-/ALV-UjUmd-0TFhY0U28KGXJ17GA3hBSpDmZaD8UFW8tSferObKdrBE0m=w43-h43-p-rp-mo-br100,Courtney Joshua,3 months ago,After waiting 6 hours the nurse informed me they didnt have any womens health providers on site and only could offer blood tests for infection
https://lh3.googleusercontent.com/a-/ALV-UjXZz0NfvuKHrbPrm7kd3WaEVb9Aa3E-MSnlJSYpiCo93urp3yW2=w43-h43-p-rp-mo-br100,Tim Bahry,6 months ago,"Tried to park & Pay my Fee but parking machines don’t let you use coins. Tried yesterday as-well?
Security told me impark controls tickets, gave me a card to call. But I’m now trying to bust my uncle…
I will just park in the Malls across the street!"
https://lh3.googleusercontent.com/a/ACg8ocJhmoSdVUWuQtWX8lJHxRHuFOihFZbJqNRSwvw43_Sl0e_PgA=w43-h43-p-rp-mo-br100,NVY,11 months ago,"Staff is very rude. ( the front registration and nurses )

I mean patients need a bit of sympathy as they are already tensed. Staff here makes a person more sick, they are RUTHLESS.

They were literally laughing at patient. Made me so furious.

Go change your profession if you can’t do it properly.

I wish I had enough money to sue you all guys. But, dont worry folks GOD witnesses everything and actions accordingly"
https://lh3.googleusercontent.com/a/ACg8ocLNYIJf-L57T2ANJlye6H_QSxMXV3e3w8jSS7cCWFVD1gsXIg=w43-h43-p-rp-mo-br100,Rushikesh Parmar,3 months ago,"Worst experience! Sister MARY JANE was very rude, I don’t think they deserve to be nurse by the way they treating people, took 11 hrs just to see a doc. Sucked!"
https://lh3.googleusercontent.com/a/ACg8ocKBUDy9dgSZAroT9RHUipeBBKXVnCI3iucKRgUjvAylw1Thyg=w43-h43-p-rp-mo-br100,kelsey woychuk,10 months ago,DISGUSTING JOKE. If I could leave negative stars I WOULD!!! There was old pizza on the floor to start. Does seven oaks even have a cleaning staff??? Just absolutely disgusting environment. Worst of all they had 2 people in recliner chairs RIGHT by the door when you walk in. One of them was profusely coughing and dry heaving. This person they let sit there for HOURS. I’m now sick with the flu because of this and all I did was walk by them. Whose idea was  that to put those people there??? Seven oaks is not only disgusting but lacks any kind of empathy or care. If you cared you wouldn’t put 2 very sick people by the entry way where there are high risk people walking through?? I will be sharing my experience everywhere I can. DO NOT GO HERE.
