link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocIB0HgdyL3OLMkGcz3eiOurrfkT9XhJ0QExSGZC3aaFtOePQA=w43-h43-p-rp-mo-ba3-br100,ABC,2 weeks ago,"Brought my mom 2 weeks ago for severe leg swelling and difficulty breathing. She has leukemia, and we thought it was the chemo. Turns out she has heart failure, which the ER diagnosed immediately. She was admitted within 30 minutes, and the doctor said he would ""fix"" her.  2 weeks later, and she is doing amazing! The doctor did not lie. The rooms are impeccably clean and comfortable. The nurses do everything with a smile and are so caring. Cortellucci saved my mom's life, and we are forever grateful!"
https://lh3.googleusercontent.com/a-/ALV-UjWoTt3VYeqMY4EuZL17XDcB5TURoREyIjIbMRxroG8CWQnlHjGTeQ=w43-h43-p-rp-mo-ba3-br100,Rizwan Mamdani,a week ago,"We have been to the ER a few times. Although we get the right treatment eventually, I always notice that majority of the staff is so unfriendly and it seems like they are serving jail time and are forced to do the job. There are always some very nice people in the staff too.
Overall, there is room for improvement starting with training staff to be nice and empathetic to patients who come to ER."
https://lh3.googleusercontent.com/a/ACg8ocLjh0o9GeH3WL18biN7wQsvSvqtyBDx2BkXecsJEsRiixJyD4o=w43-h43-p-rp-mo-br100,john borraccia,a week ago,"This emergency department is terrible. I have had to go to this ER on 3 different occasions now for 3 different issues and the story is the same. The nurses lack any sort of compassion, seem to have little nursing experience and are very poorly trained. They are understaffed no matter what time of day you go into the department. Even though it is the closest emergency department for most people in the Vaughan area, you’re better off elsewhere. The nurses should not be in this line of work with the lack of human decency that 4/5 of them seem to have."
https://lh3.googleusercontent.com/a/ACg8ocK7d_uTWMRmXbVR-8UR3ht6ks-WDK8o77xRNNcA0X4XquXSQg=w43-h43-p-rp-mo-br100,Kiara Paylor,2 weeks ago,"Negative experience in the emergency room. My 2-year old was experiencing a severe infection in her mouth that prevented her from eating and drinking due to major pain and bleeding. After an initial misdiagnosis of strep throat, and 5 days of antibiotics that did not improve her conditions, I took her to this emergency. She was napping on the hospital bed when the doctor entered her room. He woke her up and immediately tried to pry open her mouth, which clearly startled her. No introductions, no explanation of what he was going to do, no trying to put her at ease. Nothing. She freaked out (which is understandable). He was clearly frustrated by her lack of cooperation (sighing, getting agitated in his tone and demeanor, etc.) and kept insisting that I hold her down or else he couldn't do his assessment. I was unable to calm her, so he recruited hospital staff to assist. He had us physically restrain her while she thrashed and screamed, which still didn't work. He didn't even clean up the blood that filled her mouth and was running down her chin from his forceful efforts - I had to request Kleenex and clean her up myself. In the end, I opted to sedate her because she was terrified of him. It was a trauma! He was arrogant, showed almost zero empathy or compassion, and clearly did not know how to make a child feel comfortable and safe in his care.

I give 2 stars here - one for the sweet and gentle nurse that did eventually come and prep my daughter for sedation. And the other for the fact that we got a proper diagnosis and she is getting better. Otherwise ... I would not recommend taking your small children here. Or at least, avoid Dr. Fu if you do have small kids. He needs some additional training in bedside manner and working with small children.

FYI I drove from Newmarket because I was told this hospital was ""state of the art"" and came highly recommended. I regret making the extra effort given the treatment we received."
https://lh3.googleusercontent.com/a/ACg8ocIlA689pU9bioAhT6iXoV2sonVRi6S3epWO7AS9U3yin94uXw=w43-h43-p-rp-mo-ba3-br100,lyndsie robichaud,a month ago,"The entitlement of people who complain about the ""service"" as if it's a restaurant.....you should be fortunate to have such an incredible facility to receive medical treatments. It's disgusting what people are expecting. Have some patience and respect, maybe you'll receive better care. I have received numerous treatments at Cortellucci and have been admitted here several times. This is the most advanced hospital I have seen. It should be utilized more. For this visit I was admitted to the Surgery Unit (8D) and had amazing nurses. Dr. Fiture performed surgery and although there were complications, I am very grateful to him and his team. He checked on me every day to make sure I was OK. Thank you to Vaughan Cortellucci for providing such great CARE. Please utilize this hospital more. It's a shame that other hospitals are packed and under-staffed when this seems almost the exact opposite. The amount of staff I saw just kind of walking around is kind of absurd but I'm glad to have such a nice hospital to visit."
https://lh3.googleusercontent.com/a/ACg8ocKPyjdWS3dVgy4yLtYxG9n_H8_vM56rRfeit4ON9W0P2648Pg=w43-h43-p-rp-mo-ba5-br100,Tommy Ong,4 months ago,Very nice hospital! The emergency was not busy at the time of visit. I was able to get in and out in a couple hours. Nice lobby!
https://lh3.googleusercontent.com/a/ACg8ocI4M5E8xFVb-AL1U_XW2uMLLnacsDKhZY5A2c6m9vwuakxqZg=w43-h43-p-rp-mo-br100,Patricia Jeffery,a month ago,"I attended the emergency department twice in 5 days and have only high praise for all the staff on both occasions. Professional, caring, pleasant. There are not enough words to describe my gratitude and gratefulness to these hardworking individuals."
https://lh3.googleusercontent.com/a/ACg8ocLPwepiJ1jll1dXrxXLDiGjniG4sOON5h3mQmNskCEghgEnjxE=w43-h43-p-rp-mo-br100,Sarah Sanclimenti,2 months ago,"I am caring for a family member in the mental health section of the hospital. I would like to say many of the nurses on this floor have a bad attitude. My first night on the floor I was approached by a nurse who was hostile and told me she would appreciate it if I left, telling me I need to answer her questions (I was answering), why am I still here etc. She was upset to see me there at a late hour when I was not yet told about the rules on this floor. Additionally while my family member was in the emergency room mental health section she was not allowed a table to feed herself/ drink, she has a disability and is half paralyzed. There are certain things she needs to aid herself with everyday tasks. There also isn’t a lift for people who need to be lifted into a wheelchair. There reasoning is “most people like my family member are in the medical part of the hospital” which is unacceptable because most people with disabilities also have mental health concerns. She shouldn’t have to be bed bound for three plus weeks while others get to walk around, talk with others, watch TV and get snacks. This section needs to be more inclusive, there is a duty to accommodate people with disabilities. It doesn’t help peoples mental health to take away their aids, ability to feed and drink on their own on top of the fact that she isn’t able to see the time in her room which would relieve anxiety for her as her bed is placed in the opposite direction of the time. Hopefully this hospital can consider being more inclusive in the mental health section of the hospital, as well as considering training for staff on interpersonal skills and communication."
https://lh3.googleusercontent.com/a/ACg8ocII3EXwCsNrH7DNXJVHrdv40a8Q-VeNQ5gi40swGWc_XuCs5w=w43-h43-p-rp-mo-ba3-br100,J B,3 months ago,"My aunt was admitted to the ICU. Although her prognosis was poor and we ended up withdrawing care, I am in awe of the care she received from the team. They gave us space and time to grieve. They were respectful and checked in on me. I am so grateful to each and every doctor, nurse, RT and allied healthcare worker that was involved in my aunt's care. Thank you for providing such kind and compassionate end of life care. You are so appreciated."
https://lh3.googleusercontent.com/a/ACg8ocISJD_4EHAocEbGMptf70yJpmTKN7p3a8bMdsJRZBu9h2OUDA=w43-h43-p-rp-mo-br100,Rocco Napoli,a month ago,"My wife and I just celebrated the birth of our baby boy. The postpartum team were amazing and made our stay over the past couple of days enjoyable and smooth. Big thanks to Jessica, Senna and Megan. They made us comfortable and gave us great advice. Big thanks to the team and anyone would be lucky to have them!!"
