link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocINfm2mal7whvgEBRNPMqbNSAQGQN3xA2BnglkBcn80KdQqQA=w43-h43-p-rp-mo-ba3-br100,Mani Sandhu,a week ago,I delivered my healthy baby here on 23 November after a stillbirth so surely I was worried and all but honestly all the doctors nurses here are godsend for me . I was admitted during day time nurse Eva was there. She was so kind and helpful. After her shift there were two nurses Nava and Saadat. Special shoutout to both of them. They were so knowledgeable and kind . Saadat is such a patient nurse felt like I was working with my sister. After their shift my nurse fely was like an experienced nurse she supported me a lot during my pushing. She is so good. And after that doctor tigert and some other doctors came to help me deliver and I am very thankful to them for giving me my bundle of joy safely . Post partum unit was also ok. Nd before I forget doctor who gave me anesthesia was also great …. Epidural worked really well for me
https://lh3.googleusercontent.com/a/ACg8ocI08T9_8MzSRBWgTCg8AymuhzPt75Gs-D4ijJP_n2uuuB6LZLI=w43-h43-p-rp-mo-br100,Laura Davies,a month ago,"I delivered my first baby Oct 22. Nurses were top notch. The two ladies on night shift and day shift nurse, Felicia were amazing. I think my birth experience was amazing because of them. Postpartum unit was ok. Pediatrics unit was extremely helpful and supportive. There were a few nurses that stuck out on day shift who went out of there way to show us a few tips and get me as much help as possibly with breastfeeding."
https://lh3.googleusercontent.com/a-/ALV-UjUzwUnJR25JFBzCdmUGzEs-QJ1xPOgCntxRKtN4Twd8InLhSUQ=w43-h43-p-rp-mo-br100,Ibty Haddad,a week ago,"I had an incredibly frustrating and disappointing experience with the hospitality service at this hospital. We brought my mother to the emergency department, and despite her obvious discomfort, she was left to wait in a hallway overnight. There was no sense of urgency, and no one seemed to care about her needs or well-being. My father had a similar experience in the past, so this is not an isolated issue—both times, the service was slow, inefficient, and downright disrespectful. The lack of compassion and professionalism was appalling. Honestly, I'd rather suffer at home than subject my loved ones to the terrible care we received here. It’s clear that this hospital needs a complete overhaul in how they treat patients and manage emergencies."
https://lh3.googleusercontent.com/a-/ALV-UjWyV7guDO5-ar-_xk7Ww1AyRMuJiXWdl8DaxGnMKkUBQ-a4aofF=w43-h43-p-rp-mo-ba2-br100,Jenny Rowan,4 months ago,"I cannot say enough good things about this hospital.  I delivered my first baby here on July 23. Aside from one nurse,  every person we met along the way was supportive and caring.  My nurse during labour and delivery was Hazel, and she was the biggest and best cheerleader I could have hoped for during that process.  She was also an advocate for me and got me the epidural as soon as I asked. Our first nurse in the mother baby unit was Sarah, and she was equally at amazing. She reassured me while starting to breastfeed and always had a smile on her face.  She repeatedly told us how great we were doing.

My one major complaint,  which patient relations are aware of,  was the nurse Joanne who was working in labour and delivery when admitted.  She was beyond rude and inappropriate,  and also judged the fact that I had to take antidepressants during my pregnancy.  Her conduct and behavior were unprofessional.  She could have really ruined the day had she been my nurse for the entire labour and delivery.  I hope that the hospital truly looks into her behavior,  because she is working with women who are experiencing the most vulnerable moments of their life, and the impact she has can be significant."
https://lh3.googleusercontent.com/a-/ALV-UjUg2j0cZikFbWV77uTTFR8bqua_UYId5sgswVJ0I3_b1XDAO2w2=w43-h43-p-rp-mo-ba2-br100,Brenda Mitchell,3 months ago,"Went to Emergency because I'd been throwing up for days non stop.  The triage wait was a little long but there were a lot of people there so it was expected.

Wait time to see a doctor wasn't terrible but what made this experience great was the fact that the nurses in the emergency department saw to it that I was given fluids and anti nausea medicine while I waited.

They checked on me often and I never once felt ignored or forgotten.  The doctor made the decision to bring me into the hospital as I wasn't able to keep anything down .

Spent 3 days in hospital and the care I was given was exemplary.  The nurses always greeted me cheerfully (I'm sure they were smiling under the mask you could hear it) and the listened to my questions.

I've been in emerge and in hospital multiple times and the level of care I get has always been wonderful.

I can't express how thankful I am for the care they showed me.  It's a great hospital with amazing nurses and doctors who genuinely care about the people in their care.

Wouldn't want to be anywhere else when I'm sick."
https://lh3.googleusercontent.com/a/ACg8ocLkcJ8RUy1u4TbwUb5i1OimHFd4AHeKcbSJCPMwbQAsWo6uAr9p=w43-h43-p-rp-mo-br100,Jamila Saify,a month ago,"A special shout out to Nurse Adriana for providing me with exceptional care! I gave birth to my baby boy last week and couldn’t have been more happy about my choice of hospital and the care provider I was assigned with!

However my postpartum nurse Jillian was beyond rude and obnoxious.
She had the attitude that she was the only one right in the room, everyone else was just stupid for even asking a question.
She got into constant arguments with my support person /family over frivolous things.
I went into sudden labour at 37 weeks so I was unprepared and  she judged me so hard for not having enough wet wipes. She really dampened my postpartum care & recovery."
https://lh3.googleusercontent.com/a/ACg8ocLtL4fEu7gaxunczKeANOCCyVO0nf7_70nF2-jdjr7YqCerPA=w43-h43-p-rp-mo-ba4-br100,F Gillani,11 months ago,"One of the worst things of this hospital is the wait times. Especially if you end up in the ER, be mentally prepared to spend 9-11 hours until you get the release papers from the doctor.

The good thing about this place is that there's a decent number of choices for food. There's also lots of food choices along with a decent number of shopping places at the northwest corner of Eglinton and Erin Mills Parkway (Erin Mills TownCentre). Such as The Bay, H&M, Lens Crafters, Old Navy, Natural Solutions, etc...

There's also a Canada Post in the same vicinity."
https://lh3.googleusercontent.com/a-/ALV-UjXA4T4ykW0gSusz4ULtIj096_SCXP8HCravAwgpptiBMln8G0g=w43-h43-p-rp-mo-ba4-br100,Ammar,4 months ago,"Nurses are nice, staff is good. The way this hospital runs is awful. No honesty. They tell you come for 6:45 am, only to wait 2-3 hours. Why not just be honest and say 9:45.

I would say the nurses are really nice and so are the staff, but I think they should vocalize and manage expectations better. As in, just be extra kind to patients and tell them of the pitfalls of the hospital and how it works. Tell us, “hey be here at 645 but expect to be seen at 945 am”

The staff is good, but to be great, they should be more compassionate to patients and go the extra step to manage expectations.

The wait times really tick everyone off."
https://lh3.googleusercontent.com/a/ACg8ocLuVY5BI7Z3kjYgzazytBUgHeSLnrX_bwvV1P6OveK-UQF_UQ=w43-h43-p-rp-mo-br100,Amanda,a month ago,"Been here as a patient in ER (both by walk in and via ambulance), as a child of an ER patient and for medical imaging (MRI's).

MRI department was professional and well laid out however I heard a nurse yelling at a patient for being deaf and not understanding the nurse. The nurse for my procedure inserting my IV was really patient with my anxiety.

When I came as a child and had to wait with my mum in the ER it was really scary and hard to find my mum had to beg a nurse to let me back in the ER, grateful I was able to find her and she was ok in the end

When I arrived by ambulance for an attempt in the middle of the night (with police) it was scary but a nurse took great care of me quickly. The nurses were really sweet and understanding when they moved me to the pediatric area of the ER all doctors and most nurses were nice. Did not appreciate nurses leaving me (a suicidal patient) alone in a room with so many potential weapons, attached to medical monitoring equipment (yet I was yelled at when I disconnected them to use the washroom), and a psychotic man running down the hallways yelling. They literally left me alone for hours upon hours with no help even when the equipment started beeping. I got little to no sleep as it was very loud even in the private room I had for a week. The mental health area of the ER is AWFUL. A girl was on the phone all night loudly complaining to a friend about her issue and the hospital being awful. She finally left but at least she had a choice. The washrooms were disgusting and I was stuck in a hallway on a bed with bright lights on at all times and loud noises everywhere. Psychotic people were hardly supervised and I was terrified as a child in that hallway. Nurses were a little rude there but otherwise good. I had to be transferred as credit valley doesn't treat pediatric mental health."
https://lh3.googleusercontent.com/a/ACg8ocIWaAYHY78pKtonNfn2nyXBRuRWyINx1ghlcnGkHHan-YxfLg=w43-h43-p-rp-mo-br100,Devon Rogers,a month ago,"My father was the chairman of this hospital in the early 2000’s.  He was responsible for the merge of the 3 hospitals.  He was someone great. He was someone important. He made great change. People respected him.

Now, he is older and suffering, and nobody cares about him at all.  Especially not the hospital he helped build.  He’s getting the worst treatment and neglected constantly. Makes me sick. As his daughter. My brother just passed away this year. And also got the same terrible treatment at credit valley that my dad is getting now. Makes me sick."
https://lh3.googleusercontent.com/a-/ALV-UjUjHeh_YCTnvLf6jMUE1pYYNC1SK-Ja62LwQ7yoqN-5EfO5IHyZ=w43-h43-p-rp-mo-br100,Jaqueline H. Shie,3 weeks ago,"I usually never write reviews but I had to write one for the awful experience I had at the hospital. Even though most of the staff is nice, the process the patient goes through is absolutely terrible. From waiting room to waiting room, me and my partner had to wait for more than 5 hours (when their estimates said we would wait for 2 and when they told us there were only 2 patients ahead of us waiting to see a doctor). It feels like the patient’s time is not respected at all which is really frustrating. I wouldn’t recommend it to anyone."
https://lh3.googleusercontent.com/a-/ALV-UjWHjRn8fp28ZYMVvQyIua8WS6BVs7x_jIJkBeQYe3sJjV9ISmcGwA=w43-h43-p-rp-mo-br100,Branko Bulic,2 months ago,"I recently had surgery at Credit Valley Hospital, and I cannot express enough gratitude for the exceptional care I received throughout my stay. Dr. Jamal and his surgical team were outstanding - they were not only skilled and professional but also compassionate, which helped ease my nerves before the procedure.

After surgery, I spent 5 hours trying to wake up in the recovery room. The nurse was incredibly patient with me, since 5 hours is an exceptionally long amount of time to become lucid. She even made sure to call my anxious family from the recovery room seeing as I had taken so long to wake up and be released. She came afterwards to see me in my regular room to ask how I am feeling.

Afterwards, I spent three days in the 1A surgery recovery unit, and the care I received was top-notch. The nurses and staff were attentive, friendly, and went out of their way to ensure my comfort and well-being. They consistently checked in on me, answered all my questions, and made me feel cared for during my recovery.

From the PA system I could tell that all the nurses were spread thin and constantly being pulled in all directions. (Especially day nurse Bravo) in spite of all that, they always found the time and means to take care of me in a professional and caring way.

I was in room A163, my nurses were Shanaz, Bravo, Joyce, and Cassandra (Who was a student and I met on my last day. She showed exceptional knowledge, gentleness and clearly communicative. I wish her all the best in her future endeavours. Based on what she demonstrated that day, I am sure she will succeed.)

Overall, my experience at Credit Valley Hospital was incredibly positive, and I am so thankful to Dr. Jamal and everyone involved in my care. I will highly recommend this hospital for anyone needing medical treatment."
https://lh3.googleusercontent.com/a-/ALV-UjUgxfKlCdgaHs8sa5fQyBCZu3ZCzkVTtAUGkaS6AyawMZJOmLso6A=w43-h43-p-rp-mo-ba4-br100,Muhammad Sarosh,2 months ago,"I recently had a frustrating experience at this hospital. I arrived for my appointment, which had been confirmed just two days prior, only to find out it had been changed without any notification.

To make matters worse, the nurses were not only rude but also complained to me about how overwhelmed they were with patients. It’s incredibly unprofessional to vent frustrations to patients, especially when we’re simply trying to receive care.

The lack of organization and communication at this facility is disappointing. I hope they can improve their systems and treat patients with the respect they deserve."
https://lh3.googleusercontent.com/a/ACg8ocJIRvkO-GpG_0j7Z2IoikdDSW6rA3TKsSaCZZKi-rskiAMDkns=w43-h43-p-rp-mo-br100,Sadia Chaudhry,3 months ago,"My experience was great the nurse are very sweet and caring.  I have been to many hospitals in my life but this time the experience was different amazingly. So first of all shout out to the nurses that took care of me. If you know you know. You guys are amazing..
Thanks you for your continued support.."
https://lh3.googleusercontent.com/a/ACg8ocLEiCC_8LjmvncBKJx_8GJapn9CmKwlKf9uOxvazHUNWq6KVQ=w43-h43-p-rp-mo-br100,Sofia Sarmiento,2 months ago,"My roommate passed out in our living room so the ambulance took her to this hospital, staff was quite rude and we waited all night, literally until the sun came out and no one would check in on her. I understand that the hospital was busy that night but when my friend’s eye started numbing again she started tearing a lot more than usual. I went to get the nurse and she said “well its not watering now”. Very rude and very dissapointing."
https://lh3.googleusercontent.com/a-/ALV-UjW5260oJKtcgjAqauNHrxWWxnlTEJjP_JtH89vJ6tQikd0JXm0g=w43-h43-p-rp-mo-br100,Mujtaba Rokay,a week ago,"I really want to take the time to give a review to one of your registered Nurses at Credit Valley Hospital named Alicia in the ICU division. She has gone above and beyond the call of duty for caring for my mother!

It is not easy being a nurse and taking care of individuals who has a chronic illness, but I pray and Thank God that Alicia was there to comfort my mother. She took care of my mother more than I could as her son, and I feel she must be recognized for this. I really hope that your hospital offers her a promotion or raise as she is an angel and should be acknowledged for her efforts in helping my mother heal at such a critical moment.

On behalf of myself, my family, and my mother we wish to acknowledge Alicia for her efforts!

Kindest Regards,

Mujtaba Rokay

NEW REVIEW-November 14th 2024

I wanted to take this time to give 2 reviews to two of your amazing nurses:

I wanted to Aknowledge Sunita who has been fantastic in caring for my mother. She has done an incredible job in making sure my mother is fully recovering.

I also wanted to Aknowledge Manjeet as well who has gone above and beyond the call of duty to ensure my mother is in a great state of mind. These two nurses have to be aknowledged and praised for their difficult and tremendous work.

NEW REVIEW-November 26th 2024

I want aknowledge HANA, today whom has assisted my mother. It is very rare to find such caring service in the healthcare sector and HANA has gone above and beyond for my mother as well as other patients. I really hope that you promote her to show her that her dedication and her work is not going unoticed. Thank you again so much HANA for taking care of my mother!

-Mujtaba. R

NEW REVIEW-November 28, 2024
******************************************
I wanted to aknowledge Surpreet for her amazing and stellar care of my mother. She took full responsibility for helping my mother regain her health, and showed genuine care and concern for my mother. She is also amazing in following up on my mother's medical records ensuring that my mother is being treated well. I hope that Surpreet's department really aknowledges her for her service.

NEW REVIEW-NOVEMBER 30TH 2024:
*****************************************
I wanted to take this time to write a review for MARICAR, She has taken care to a whole new level for her patients. Today MARICAR was nursing my mother. She did a phenomenal job in making sure my mother is receiving the utmost care possible. I wanted to acknowledge her for her efforts, and hope that your department acknowledges MARICAR as well, as she is an angel. THANK YOU NURSE MARICAR."
https://lh3.googleusercontent.com/a-/ALV-UjWOldy6dbEEx2nqeo6TJYSqRM34tBYKOmiZt-NySE20D0zEUM7Aug=w43-h43-p-rp-mo-ba3-br100,Mark Guirguis,2 months ago,"The fact that a person has to wait in an emergency room for 6 hours just to speak to a doctor here is absolutely insane. While many of the staff have been extremely helpful, it did nothing to alleviate what has been a very stressful time. This hospital DESPERATELY needs FAR more trained staff and doctors to be working in ER, especially at night."
https://lh3.googleusercontent.com/a/ACg8ocIqg3bNG2D6cR9mRloGANb01k07xoZNwjyDQ70HT5b57rkLow=w43-h43-p-rp-mo-br100,A I,a week ago,"Going to the hospital is like punishing yourself. They encourage you not to come next time. All the prominent political leaders promised to reduce the waiting, but still take as much as it used to be in 1990s"
https://lh3.googleusercontent.com/a-/ALV-UjVC4SOe4eeXoe1qewIlAO2SLSel1GpL6NvH4almrLGGsz5vNoLq=w43-h43-p-rp-mo-ba3-br100,Nadeem Lodhi,a month ago,"The ER nurses yell whenever a question was asked and one nurse yelled at my mom when she asked if she can move to the other side because she has been sitting on a wheelchair for over 6 hours and there are no chairs on the area she is in. Simply told this is the system and deal with it.

They ask to be treated with respect but are very rude themselves. I wish I could give zero stars."
https://lh3.googleusercontent.com/a/ACg8ocIqI9vYf1udsFO4gCpNlV5ltGRRiQqzWVA2Z0nRHqFed1l2Dw=w43-h43-p-rp-mo-br100,harpreet kaur,4 months ago,Would like to share my amazing experience with credit valley gynae department. I delivered my first baby in June 2024 and the whole process from pregnancy visits to delivery was wonderful. I am glad that our family physician suggested us right place for mother and baby. I really don’t have enough words to appreciate all the care department from doctors to nurses.Dr.Kanee was the first doc I met and I got the chance to meet the multiple doctors through out my pregnancy and they all were so humble and concerned. They took care of each and every little thing related to my health and made my pregnancy and delivery healthy. Like to recommend credit valley hospital to my near and dear ones. Every single staff has hold a special place in my heart bcz of their good behaviour and amazing service.
https://lh3.googleusercontent.com/a/ACg8ocJhLksVKfJnrSfl6a-C5UDdMQl2qBUWLBKNV8rHMR5YnUtTFA=w43-h43-p-rp-mo-br100,Cathie Gibbs,2 months ago,I had a hysterectomy done by Dr. Kate Pulman.  Amazing all the Drs. were very kind and explained everything.  I went to the recovery room for longer than normal and the nurses were a 5* particularly Katey.  Thank you for all your help Credit Valley is the best!
https://lh3.googleusercontent.com/a-/ALV-UjVDIoIRZQ_8d8twAeK49EKUPctEwT2k_PPUXmyTbBRTb42B484=w43-h43-p-rp-mo-ba3-br100,Vaibhav Kadian,2 years ago,"Got hospitalised due to Covid symptom, shortness of breath.  Waited for an hour at emergency before being put on oxygen support. Got a private room with big windows. As it was fourth week since the onset of symptoms, covid test came negative and doctors were not able to confirm if it was viral or bacterial infection.  On 3rd day I showed signs of recovery and got discharged a day later. Overall, I was monitored and treated very well. Most of the nurses were courteous and humble. The vegetarian meal wasnt good, but cant complain its a hospital and not restaurant. Speaking of food, timhortons is open 24*7 inside the hospital and easily accessiible. Giving one star less because I saw other elderly patients not being treated well and some other patients cramped up on stretchers in the hall way. Some of the rooms had foul smell when i walked through the corridor. The govt should catch up with the lack of infrastucture compared to growing population in GTA."
