link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjWdXB6QsuMhraAnSc7-J8bWtwS5Z_6VVxLF7cDn41VLW862udHa=w43-h43-p-rp-mo-br100,Dornalee Browne,5 months ago,"I am really disappointed once again in the service at this hospital. My advice is don’t go alone and always ask questions.

My family member came in at midnight did the usual checks and then required an ultrasound. Around 4am I asked what was happening with the test. It was only then that they informed me that there is NO ultrasound technician at night and we had to wait till 7am when they open. So if I had not asked I would not know this.

So at  7:45am we were still waiting in a VERY cold hallway, So I asked again and they said they don’t open till 8am and we wouldn’t see anybody till 9am.

I waited again and asked again at 9am and they FINALLY decided to call and said it’s another 30 mins!!!!  Keep in mind that they required a full bladder for this procedure and my family member was waiting since before 7am. How do they think it’s humanly possible to hold it this long???

Then next door to wear we were waiting is the X-ray office. People were coming from the fracture clinic and nobody knew where to go. They have  no clear distinct signs… just a small sign on a cart. I had to direct everyone where to put their files and where to wait. How is this efficient!?!

While I did meet one exceptional nurse, the experience here was less than pleasant.

We are starting not to feel well because they made us wait in the coldest area ever! I hear even the workers complain about it  but nobody did anything to change it!

Still waiting…. (And it’s after 10:30am!!!!!!!!!!!)😡😡😡😡😡😡😡😡

So much for coming for an emergency in an ambulance! We did not get emergency service!"
https://lh3.googleusercontent.com/a/ACg8ocIkyaR8Y-MWPuvoMG-L1kf2auqMX2oNUb0Hx86J8cVKcK3rLpE=w43-h43-p-rp-mo-ba4-br100,John R.,a month ago,"Great hospital and staff. Staff are open to helping you out in pointing you in the right direction. Nice, clean interior and exterior of building with a lot of stores and food stalls to choose from."
https://lh3.googleusercontent.com/a-/ALV-UjUdyUt8Mep_zn6MlRb8wEmjJh_5a9LZ27-Wc5OIhU6Ka5mtOQKC=w43-h43-p-rp-mo-ba6-br100,EelamRose Canada,6 months ago,"So much has changed in this hospital. Lots of upgrades, Looks great.

Friendly staff.

Paid parking, Hard to find parking at times.

Few Tim Hortons within hospital.

So much construction around the hospital area."
https://lh3.googleusercontent.com/a-/ALV-UjU9iOADdUBOHe7NBpmdCBgIOoFH5eU10-HDMRIFHJwmYZ-MS61S=w43-h43-p-rp-mo-ba8-br100,Villagemayor,a year ago,"Although an older hospital, the facility is still clean and bright. I want to thank the cardio team and J Wing for taking care of my mom before and after surgery. Surgeon checked up on my mom and the nurses were professional. The private rooms were large and fold out bed for a visitor. I hope no one needs to come here but the experience was top notch."
https://lh3.googleusercontent.com/a-/ALV-UjVAQp1sM-WD9O6nY4nRIRVd_Fu12SNDvgy5VgdMthCrcPxmZ4dd=w43-h43-p-rp-mo-br100,Jeanelle Belen,a month ago,"When I admitted my father to this hospital, I gave them very specific instructions for them to call me not his ex wife as she is no longer in the picture, she meddled my fathers money and life, we asked the emergency department not to contact his ex wife. Apparently my father’s emergency contact was never updated. And what’s funny, the emergency department even asked for my name and phone number, assuming they'll call me for updates. I remembered changing his emergency contact the last time he was here few years ago and they haven’t change it until he was admitted.

My father was taken well care however, my father complained to me couple times there were staff members who were not nice when his food was given. My father stated, they were “rude”.

I work seven days a week unable visit my father during the days and couldn’t be unable to speak with the doctors, I simply asked the nurses, the front desk to at least update me his conditions and I simply don’t understand why they could not call me as I am overwhelmed and frustrated by how the service went. I am unpleased by their customer service as it is quite poor.

The day of my father’s discharge, no doctors, no nurses and front desk did not bother calling me. And now, I am beginning to loose patience because no one did not call me/tell me what he is restricted of his diet and what he has to do to get better.

I HIGHLY recommend DO NOT bring yourself, family members nor loved ones because of my experiences here is horrible. I really do hope they get better."
https://lh3.googleusercontent.com/a/ACg8ocLpy7dbgZjkNmQ39_erSd-h9K2cON_HAs5nb30dlA-7OSVlwQ=w43-h43-p-rp-mo-br100,Pavlina Zhekova,a month ago,"Triage, ER doctors and nurses at RAFT were great. So nice, so helpful, and efficient. The doctor saw me 30 min after the triage and then 30 min after test results were ready and I was discharged. Not sure who is running this place, but for the 5 hours I spent there, I think there is a huge problem with the ultrasound and scan departments. I was waiting someone to take me to the ultrasound room over 3 hours, almost 4 hours. Someone came to take me for ultrasound only after the nurse called them to ask as I was waiting over 4 hours. There were people waiting for scanners over 4 hours. This is unacceptable and inefficient. I couldn't understand were there any technicians at all in the morning or they just work inefficiently as when I arrived early in the morning, there were only 5 other patients and wasn't busy at all."
https://lh3.googleusercontent.com/a/ACg8ocIgBQafkPyIOvtKiyApGMdcLDmXsqqlQcpWHZ_l1bI7Z_Jl-g=w43-h43-p-rp-mo-br100,Sue Z,a month ago,Wait time For a Doctor is so long. Good luck getting a bed there isn't any. Good luck getting into surgery if you're in an emergency situation.There's no surgeons.The place is just overloaded and nobody there cares. So you think our health care system is bad? You haven't seen anything until you go into this hospital and need help.
https://lh3.googleusercontent.com/a/ACg8ocJ9TvV2w04AWsB3HjX9AHhZYCR-bZOhy3gkbUrnsZwgrgTKwA=w43-h43-p-rp-mo-br100,vin vin,a month ago,"My spouse had a procedure done. The surgeon didn't even have the courtesy to come out and tell us what they did and if it was a success. The attending nurse was a little short on both the knowledge and information. In general the Ontario medical system has gone down. But, this was probably the worst I have seen so far."
https://lh3.googleusercontent.com/a-/ALV-UjW5lhsyfZTXOA0FKAszL3iMfIaD7vVim2r5IKZjd5kyzDCQRBfYEw=w43-h43-p-rp-mo-br100,Hurshitha Sv,2 months ago,"I can understand that the nurse doctor and the patient ratio is totally unmatched they made me go home at 3am in the night with almost 3cms dialated as there was no bed was available although i was induced and this was my 3rd visit to the hospital after induction.
Need to mention the nurse Molly, she was totally rude and pushing me to buy formula feed by scaring me with unnecessary details, and all these before even checking if I got milk or not and when I asked to meet lactation consultation she told me LC won't tell anything different from me and she said she'll write me an appointment with LC but she finished with shift and left home instead.
Although the birthing nurse was superrrrr damn friendly and helpful in so many ways."
https://lh3.googleusercontent.com/a-/ALV-UjWx15qT7ImbAUaMA4tE6jnuIFYTHA9OtpOspP67-s-vB_qFe1CO=w43-h43-p-rp-mo-ba4-br100,mandar kashikar,a month ago,"I have been going back and forth with this hospital regarding a diagnostic requisition. My doc said that they have faxed it and the MRI booking desk says they haven't received it. I have played this game 4 times over now. My doc keeps resending the requisition to trillium health and they keep denying it. On top of that, they are super rude about it. They have no concern about the patient and that the care is being delayed.

Avoid this place at all costs."
https://lh3.googleusercontent.com/a-/ALV-UjXBhEk07tJnqVLrDoNG_vZ3lswxSQ9g5ed7PC93SnktjfmsWc0=w43-h43-p-rp-mo-br100,2 Queenz,a month ago,If I could give a zero rating I would. Absolutely no care or concern for patients in emerge. They fill you up with IV fluids and make you sit in a cold chair for HOURS 9nly to tell you your results are fine and you can go home. I got better treatment at the Tim Hortons at the front of the hospital.
https://lh3.googleusercontent.com/a-/ALV-UjVCRRxgNdIcdl8xOUIRaRbvdnf-ta_Wcad3hsCUQAQCWjIT1caHqg=w43-h43-p-rp-mo-ba3-br100,Sarfaraz Ahmed,2 months ago,"I am amazed to see the way doctors and nurses in Mississauga Hospital are serving the humanity like angels. These people are highly professional, very polite, well trained and pure hearted souls. They are overburdened but still they are doing their best. They make you feel like your family members, listen you keenly and address your concerns in highly professional way."
https://lh3.googleusercontent.com/a-/ALV-UjUdTRWzvZZ3hR_-BW75t8HsMbIaeS5sF5eTk6BP3cwRhQENJYo=w43-h43-p-rp-mo-br100,P and T,2 months ago,"Before I gave a 2 star to the ED I had a look at other ratings and wondered why it had such low ratings. I believe there is a systemic issue to cause the extremely long wait time at the ED. Most of the doctors and nurses here did what they could. Expect being kept there for over 18 hrs, overnight. Even if your family physician called ahead of time and the hospital had confirmed that they had specialists on call, I just learned that “on-call” doesn’t mean he/she will come in the middle of the night. Very likely as a patient by the time when your results are back you are being kept in the ER for overnight as the specialists only come early in the morning. By the way, you don’t have a bed to lie down unless it’s a really really terrible situation- god forbid. Again, I think there is an issue in the Canadian healthcare system.

Some doctors and nurses here talk with an attitude, human flaws, we all have those in one way or another. However, what I’m trying to build up to is kudos to the triage nurse John - exceptional professional, calm, patient, attentive. You can see in his eyes that he truly puts the patients in front of himself. Also nurse Mei and Melanie. They deserve recognitions."
https://lh3.googleusercontent.com/a-/ALV-UjUn7CNj1e9APvbR-D7sjJy_YrJftfew_dWggSzyiYa5ly3o6448=w43-h43-p-rp-mo-br100,Giovanna D'Lucca,3 months ago,"The most inhumane treatment from a nurse I’ve ever seen. I’ve had my blood taken many times in my life from other clinics and nurses, but never has anyone jammed the needle into my arm with such brutal force, zero aim from a distance, zero gentleness or care. The amount I bled afterwards was insane, which never happened in all my life. It left a visible hole in my arm, enormous bruising, and a golf-ball sized lump. I came out of the hospital more stressed than when I went in. This place needs to be more careful of who they hire as nurses."
https://lh3.googleusercontent.com/a/ACg8ocISVXtx2JYiN2mStGBJRANC6vfmMPKvRO-DQf4FdMT79h7bvRw=w43-h43-p-rp-mo-br100,Lia Carinci,3 months ago,"If I could give zero stars, I would. As soon as you enter their doors expect to feel like a burden amongst immaturity, over-tiredness and ill thinking. I have been to this hospital several times over the course of the past six years and every single time has been an immensely disappointing experience. The nurses/intake just aren’t considerate and they prioritize their own state over patients. The only people I ever have thanks for is the paramedics. I was going in for a highly sensitive situation and there was 0 care in the world."
