link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjXnOrv9yTJIBD3_9M5LUE0s4aWaUWOi0-uMcwKrb8pLMuRs5Xyw=w43-h43-p-rp-mo-br100,Kool Cruzin,a week ago,"I recently underwent surgery (that I have been dreading) while being a patient in this hospital.
I’ve had many surgeries in my life, probably 10, plus family members who have been hospitalized for various reasons, ie, heart attacks etc., so I feel I am a decent judge of our local and downtown Toronto hospitals and the treatment received in them.
I felt compelled to write this review as I’ve never been treated so kindly, and with respect, as I was just now, by each and every staff member of this Hospital.  From volunteers to the Drs., everyone working there was smiling, enjoying their jobs and coworkers. It was such a refreshing change from my previous experiences elsewhere.
I was able to recover quickly, safely, while having the most wonderful team watching out for my best interests at all times.
My heartfelt thanks goes out to each and every single member of the staff that were involved in my surgery and 7th floor, recovery process afterwards."
https://lh3.googleusercontent.com/a/ACg8ocIzCILLbmkaw5UjTuvt0UiX4i2n09liU8XOrvhuV77VVrsgoA=w43-h43-p-rp-mo-br100,Kanika Miranda,2 weeks ago,"I was there today due my ankle fracture. Such helpful staff.
Elaine the volunteer -such a wonderful and helpful person. I don’t have enough words to describe her kindness I thank her so much for her kindness and helpfulness.People like her make the world a wonderful place."
https://lh3.googleusercontent.com/a-/ALV-UjW8b5KaSM5P_PWs41Qm2w1Ov0dp00v1kPPudavi7gFb6Q7msY7fuA=w43-h43-p-rp-mo-br100,Tim MacDonald,6 months ago,"I've had several experiences at Oakville Trafalgar Memorial Hospital, and each one has been exceptional. From the birth of my child to a surgery and a few ER visits, the staff has always been friendly, efficient, and professional.  It's also great that they now have ER wait times available online.  The level of care provided is outstanding, and I am incredibly thankful to have such a great hospital nearby when needed."
https://lh3.googleusercontent.com/a/ACg8ocKLVZxYlhG9SjUv6H2ACebunCzw7VBatMTC3JCwSupC5ilbvQ=w43-h43-p-rp-mo-ba4-br100,Miss Fitz,a month ago,"I've been to this hospital for a few tests now and wow am I impressed.  Starting with the appointment process; reachable by phone, detailed instructions given, friendly intake and the promptness, politeness and professionalism of all staff and volunteers.  10/10.  The hospital itself is gorgeous.  Clean, modern, ample affordable parking and filled with retail amenities.  Also 10/10.  The procedure rooms and procedures themselves.  Another 10!  The way this hospital treats patients like humans not cattle makes me never want to set foot in Jo Brant again.  Well done!"
https://lh3.googleusercontent.com/a/ACg8ocI9U4mdRGHV3Vz5d3dkq5qcADdyobSbek1sec3Bbm9zflbeQoo=w43-h43-p-rp-mo-br100,Frances Garganis,a month ago,"Deeply disappointed with how my mother was cared for. Was never told how serious it was until the end. Was told two days before my dear Mom passed that she ""may"" have Cancer. And why did the Dr wait until the day of her passing for the ultrasound on her leg when she was advised of how she had pain 2 days earlier, which turned out to be a blood clot. Some nurses complained about changing my mom as they were very short staffed. Sorry they were so inconvenienced. We're all just a number at this hospital. My beautiful Mom is gone. She deserved so much better and she should still be here. Heartbroken."
https://lh3.googleusercontent.com/a/ACg8ocLEFSMVuus3qTa0424V0rfLR-ITEG7fjoGKhhmYJlSOjA0VOg=w43-h43-p-rp-mo-br100,Carly Ess,4 weeks ago,"I spent two months in the mental health unit at this hospital and I was so happy and satisfied with the care I received. I was struggling immensely for 6 months and my psychiatrist suggested ECT and it honestly saved my life. I will forever be grateful for what this hospital did for me. The whole team was incredible; the nurses, etc. Words can’t express how thankful I am."
https://lh3.googleusercontent.com/a-/ALV-UjU5MTCj3dJd43IlF26clyCPrDF5z1uhwnwh87XwDPwKdgJkxdrJJg=w43-h43-p-rp-mo-ba5-br100,Carmine Ciriello,6 months ago,"Fantastic experience in the Imaging / MRI dept. I had some health issues prior, and the nurses / staff were amazing. Took care of me and kept me informed from start to finish. A big thank you!!"
https://lh3.googleusercontent.com/a-/ALV-UjVtdSaCLtjNA9hq_JoHsbWuzQWTyNpJedACJMbVFTmutBeZSjsT=w43-h43-p-rp-mo-br100,Catriona,a month ago,"Attended the ER last night as my daughter broke her arm. The staff were amazing, couldn’t have asked for better. They were efficient, professional and quick to give her pain relief.  I was only there 4 hours max. Thank you so much for the care you provided my daughter, will forever be grateful"
https://lh3.googleusercontent.com/a/ACg8ocKUyXv-uYTQBu90Z6TyztfrPIwLCEw8Y_8OLBmRmsjucPluSiE=w43-h43-p-rp-mo-ba5-br100,Anju Gowda,2 years ago,"I went here for ultrasound, it was a good experience. Everyone in the hospital was courteous, professional and helpful. There are people all over to guide if you get lost. The hospital looked squeaky clean, not crowded and structured well. Their washrooms were clean as well.

The ultrasound specialist was very kind and patient with my kid. She suggested what to do next and was helpful. Plenty of parking, so no need to waste time looking for a spot.

I am giving 4 stars because the lady who called me to book an appointment for an ultrasound, didn’t give me the address, didn’t give me the name of the place, didn’t give me any instructions on what to do, how to arrive and if there are any formalities to follow. She just rushed through a phone call saying your daughter has an appointment and then gave me time, disconnected before even I asked a question. They can be a little more patient and provide instructions for patients to come in.

They also have food court and gift shops which I found were very good. I would go back here again if there is a need."
https://lh3.googleusercontent.com/a-/ALV-UjWF-H5DnxiZG2ttrqpsracW1_cBJpfV9liTq4P-rLYvYPZlnjdD=w43-h43-p-rp-mo-ba6-br100,Hend H.,a month ago,I delivered my two daughters at OTMH and both experiences were wonderful overall. My doctor is Norgaard but he was never on call when I delivered because of the schedule yet he’s a great doctor. The only major difference in both deliveries is the epidural doctor (anesthesiologist) - the first time was a lady and to be honest it felt like I didn’t get one the pain was very strong but the second time it was a male doctor who was very tall and the epidural definitely made the whole difference. Unfortunately I forgot his name. Good luck to all mamas and congrats!
