link,writer,time,text
https://lh3.googleusercontent.com/a/ACg8ocLdr5X40DbRawpvZtZIbuugz8frdg3iwlKtOEgIGHGgc3WmcQ=w43-h43-p-rp-mo-ba6-br100,Subrata Kumar Saha,a month ago,"This world-class facility is the best for specialized treatment and care for kids. The state of the art care facility is 'research-intensive' for complex pediatric treatment. Well qualified and friendly doctors,  caring nurses, and staff, calm and welcoming kid friendly environment - all make this establishment the best of the best. It also has a small food court with a couple of  common fast food franchis and an adequate underground parking lot."
https://lh3.googleusercontent.com/a-/ALV-UjUUL21m46F8W-nH2R7d1Y42S1nkJZhA-2bYhO37oVzIvuM6luEE=w43-h43-p-rp-mo-br100,Krystyna Faroe,a month ago,"This is one of the nicest hospitals I've ever set foot into. With its beautiful atrium, food and drink facilities, it is unlike any other I've seen. The staff in NCIU are attentive and kind. Our lovely nurse was always gentle and respectful of us being there. Her lovely black hair was always kept tidy and her expression always carried a smile. Thank you for everything you did for Bianca. Your loving care helped her be able to move on to another hospital for further incubation."
https://lh3.googleusercontent.com/a/ACg8ocJpyHhyAqxkIsWXS3_Qen6P0rO_MicsDjYnKpixFVqJYz6v37aM=w43-h43-p-rp-mo-ba4-br100,Suhas B,3 weeks ago,"If your kid is facing a real emergency then this is the best hospital there is at least in Ontario if not in Canada. The Doctors are great but the real angels here are the nurses. Some of the most positive, warm and comforting nursing staff I have ever seen anywhere. They will literally go out of their way to ensure your kid does not have a miserable time here.
The hospital itself is absolutely beautiful and a lot of thought has gone into ensuring that it does not look nor feel depressing for parents, patients or visitors.

Special shout out to Lana and Jess, as well as Salma and Maria who were the amazing nursing staff at 7B65"
https://lh3.googleusercontent.com/a-/ALV-UjUjxCw8ZNzZKcLs4MAZyhb_h14pTER1j6MsootyX6_jJKtz1FXipg=w43-h43-p-rp-mo-ba5-br100,nafis habibi,7 months ago,"For Sunday morning, we had a quick check-in, but it still took more than 8 hours until the discharge! Anyway, it wasn't a bad experience. It's a clean and nice hospital with a lot of creative wall murals and pictures for kids. There are Shoppers Drog Mart, Starbucks, Timhortons, a Cafeteria, and some shops there that make it easy for you to buy food, coffee or any medicine. Doctors and nurses were kind and patient and did their best to make it a good day for my kids. They explained everything in detail for my son, but in a professional way, not to scare him or make him worried while distancing him and talking about school. They brought an IPad, some playdough, legos, and drawing sheets to entertain them. It's definitely better than other hosptials for kids. Thank you, SickKids team!"
https://lh3.googleusercontent.com/a/ACg8ocI8GiFWBn5tR2Y1vSnr3eNNC7Wl4-v7_gOoc9cWIWJ9MQy6EA=w43-h43-p-rp-mo-br100,Navi C,3 months ago,"Arrived at SickKids at 12.05am, it is now 8am and we still have not seen a doctor. Atleast my kid managed to sleep on the seat!
Between 4am and 8am I guess it is safe to assume no doctor is working as they have not called in any patient whatsoever.
Free health care they say? At what cost? Is this fair? 8 hours and counting! #MyKidIsSick

Update: we saw the Dr at 8.30am. Left the hospital at 10am. That was a whopping 10 hour hospital visit.

Care: the care received from the Dr was very thorough and the follow up with the Clinical Social Worker is a real blessing.

Conclusion: Excellent care but wait time is horrible."
https://lh3.googleusercontent.com/a/ACg8ocKTDoDsIzHYqLZ5JUhgoCx1ApXvaknDBVxhrTX5alsJHdaEiw=w43-h43-p-rp-mo-br100,Stella Kim,2 months ago,"It was the best experience although my kid visited for his broken arm,
Through the over night staying, he'd been so well cared by everyone who are in charged to take care of him.
I felt all of the staffs were so well care my kid, treat him like their son.
We felt very comfortable and relaxed by their care.
There was quite long wait time to get the surgery, to meet the doctor but I have to say because of the nurses well caring, it was all good."
https://lh3.googleusercontent.com/a/ACg8ocJspg7xWxGtzAxZ_lT_uekPiCaTl6Go7YJeIbcss33klKpYWw=w43-h43-p-rp-mo-br100,Jessica Payne,5 months ago,"I truly have no idea how the reviews are only 3.8 at my time of posting. My son was transferred to sick kids from another hospital. The ACTS team was PHENOMENAL and the paramedics/drivers were amazing. Once we got into sick kids he was seen immediately and assessed. We did have a long wait in the emergency department but they treated us with such compassion and kindness. They made sure we had anything we needed and the nurses were even kind enough to watch my son so I could go to the washroom or get a snack.
Once we were moved to a room we were treated so well by the nurses and doctors. The doctors were all amazing and the nurses were SO great. They would always answer any questions we had and treated my son so well. I obviously wish we didn’t need to attend but the hospital staff made the experience so wonderful.
We had various nurses once we were admitted and all of them were so wonderful. The meal train is an amazing addition too. I could order my son any food he may have liked and we weren’t limited to one option. The nurses even gave him a little stuffy on the way out once we were discharged!"
https://lh3.googleusercontent.com/a/ACg8ocKau4R6NgYmTd1q3a-Ze1bvMM7Fu2C6BWM879szARo9uL80R4-p=w43-h43-p-rp-mo-ba3-br100,Francine Gillis,a month ago,"We arrived via the emergency department after a long, stressful and confusing week of visiting other health practitioners trying to diagnose my son with what we now understand to be a bacterial infection.  Everyone has been so kind, professional and patient with my questions and anxieties.  From the lovely woman who registered us at the ER to the nurse, the cleaning staff to the ER doctors and staff to the various teams who attended to my son while admitted.  This hospital has a true wrap-around approach really attends to every detail including acute pain management, dermatology and Ophthalmology and the chaplaincy services.  A parent is allowed to stay overnight and it just feels like good quality care.  Thank you to the teams and all the staff.  I'm so pleased we have access to this kind of care.  They kept my son a priority but also supported worried parents.  Thank you Sick Kids - I am grateful for your service and professionalism."
https://lh3.googleusercontent.com/a-/ALV-UjVwbmLGQvpAVmJf7vEcAcjqNPED7x0Bj9sVi7tDIS1bpmlXNfWY=w43-h43-p-rp-mo-ba3-br100,L. V.,4 months ago,"There is so much care here at this hospital for your child - my son was admitted to a room upstairs and he was constantly checked on - right from the moment we got to the emergency - they listened, cared, were always friendly and patient with him. I appreciate all the care and support we got from the workers, nurses and doctors! Thank you for all the wonderful care. The food menu was amazing lots and lots of options my son was taken care of through every way! They were starting a new program for parents / guardians called wellness bags and it was a brown paper bag given to me filled with some healthy snacks which I appreciated more then ever because at times I didn’t want to leave my sons side to go eat and this bag was a very nice surprise - it was filled with a croissant, fruits ( banana and orange ) tuna-crackers and a granola bar. If you want the best care for your child I would highly suggest sick kids. I’m also a supporter of the sick kids foundation and donate to them monthly through an automatic service. One of my favourite hospitals and happy to help for the children in anyway 🩵"
https://lh3.googleusercontent.com/a-/ALV-UjUbK-sJd7kKfZ_hxmKj33dA7H93R-rhIBmANhg2tdLHrsyFE7E=w43-h43-p-rp-mo-br100,Lisa Whitten,3 weeks ago,"Emergency department is the worst each and every time it seems to get worse. Brought my daughter in due to extreme stomach pain and vomiting that had been going on for days without being about to hold food down. They did an ultrasound which apparently came back ok, did a consult with a surgeon and then left us waiting in the waiting room for hours only to discharge my daughter. They did not follow up prior to discharge nor did they do the basics such as bloodwork. Never mind my daughter is still in extreme pain and vomiting… oh but wait come back if it gets worse!"
