link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjWkRe4vYoOoBQcbcmRr67u-XiPjp1UfucetOoiBORnhoyCt1YYt=w43-h43-p-rp-mo-ba6-br100,E Sayed,a month ago,"I was here for the Arrival Location:
Norman Urquhart Wing, 12th and I entered from the street car , walked upto the main building the reception guided me to use the yellow line on the floor to go to the 12 floor

The elevator premises and the washroom are very clean , the guidance is nice !"
https://lh3.googleusercontent.com/a/ACg8ocJJJSvRuY50yXkeabjP7rP7FL5Lv_PXR8ACASy2jTl6u77wdQ=w43-h43-p-rp-mo-br100,Kari-Ann Goaziou,5 days ago,"I have received the best professional and medical attention throughout Canada at this facility. The care I received here should serve as a model for hospitals across the country. The staff were exceptionally kind, attentive, and truly listened to my concerns. I never once felt disrespected or condescended to. Their approach to patient care is how healthcare should be delivered—compassionate, respectful, and thorough. I am deeply grateful for the experience and the exceptional treatment I received. Dr Wong was my emergency doctor I believe. From the emergency clerk, to the triage nurse, to the doctor in residency to the trauma ER doc, all exceptional ! My long day didn't feel as strenuous due to their kind manners."
https://lh3.googleusercontent.com/a-/ALV-UjUCwz-wrzsCeM67lgEE1XYdxMSqgMGVFW4vcFjZ--Sl3oKyNeDp=w43-h43-p-rp-mo-ba5-br100,Tati Tad,2 months ago,"Great location, good hospital, very clean and for sure many fantastic Doctors 🥼 like to visit Gift shops …"
https://lh3.googleusercontent.com/a-/ALV-UjX4bWj0qfDhpEcpPdp3vEKwbZlp7ytTcDgsYHIA1piMudG5txU=w43-h43-p-rp-mo-ba2-br100,Sunnbuzz,6 days ago,"Unfortunately I've been to their ER 4 or 5 times over 12 yrs and they are amazing. I feel no Hospital is perfect but honestly I always feel they were kind and did what they could especially considering the growth of the Toronto population lately vs the amount of medical personnel to take care of us. They were very efficent and quick all things considered.
If our family Drs did better they could relieve the strain on our Toronto Hospitals."
https://lh3.googleusercontent.com/a-/ALV-UjVfnk2QTA38MMZXWqADCvDXi950kQgvm_INcJhYnQ9iJbNIKt_f=w43-h43-p-rp-mo-br100,谷中的百合花,5 months ago,"Today I went to visit a patient at TGH. I haven't been here for few years. I was very impressed by the MaRS with TGH. So I took the picture in front of the main entrance. Right after I took the picture, the security guy came to me said I'm not allowed to take pictures of the building outside since this is private property. He said I can take pictures on the side walk. I don't understand that who is the owner of this hospital?  Are people allowed to use this PRIVATE fertility as hospital was run by the government finding? I feel this security guy is discriminated to me."
https://lh3.googleusercontent.com/a-/ALV-UjVhUn15HoES0dacDuZ-NggSvW4Fq2FwfkWY-0Su5KGF2PVMkYM=w43-h43-p-rp-mo-br100,Fairy Dust,a month ago,"Had surgery on legs.  Fifth floor nurses were attentive and professional.  After a woman with a clipboard came in found I was not carrying personal health care coverage, I was shifted up to the ninth floor.  Party central for nurses here.  Professionalism is minimal.  Very disappointed with care on ninth floor.  When I try to convey my care issues around having been transferred , the response is to grumble , clear throat and look away.
There are a couple nurses which carry their profession with honour on the ninth but the level of care has become very low on the ninth.
I fell onto the toilet as my comode was removed without my knowledge, no one came to my assistance, i could not reach the cord. Covered in my urine, I managed with difficulty and pain to get myself up I am getting out before I die in here and mummify before they find my body."
https://lh3.googleusercontent.com/a/ACg8ocLCRD20is610NZFmXR0GGRvXVTJ21eqIxq_xcLhqg6-z5UjUA=w43-h43-p-rp-mo-br100,Traci Macfarlane,a month ago,"We had wonderful care at this facility- from the moment we entered to the moment we left. Everything is so efficient and organized, the space is calming with big windows and comfy waiting area, and the staff are all so warm and caring and explain everything so well, all the steps and what to expect. Was a great experience."
https://lh3.googleusercontent.com/a-/ALV-UjX5wm-NxXPp3BwzgZa7kfCYCEaJlK_ruMeeg8wMIYKVS1Qns2o=w43-h43-p-rp-mo-br100,Matthew Owen,a month ago,Let me make this very clear. No one wants a “phone call” from the surgeon who just operated on their family member. Come out and speak with them face to face. Phone calls about loved ones surgery are not appropriate. Face to face conversations actually hold weight.
https://lh3.googleusercontent.com/a-/ALV-UjU1hPyBwiYbKrRaYF_cgoBLfATTE5Bx42ONHqKebwx4GF7wU18uhw=w43-h43-p-rp-mo-br100,Lewei Er,4 months ago,"HORRENDOUS ER EXPERIENCE, AVOID AT ALL COSTS. If I could give 0 stars, I would. The doctors and nurses were dismissive and showed no empathy towards patients. My friend was admitted to the ER for excruciating pain in the abdominal area. ER Nurse Elaine told us “if you’re not losing a limb, we can take our time”. Many people in Toronto don’t have a family doctor and going to the ER is the last resort. If you can take your time, what is the point of an ER? Even though my friend almost fainted from the pain, the doctor discharged us and his notes indicated she had “mild pain”. My friend went to another hospital and the doctors there discovered she had a life threatening condition. The doctors were so much more caring and sympathetic at that hospital. This hospital and its staff could have killed my friend. I will never be back and I’ll be sure to tell my other friends and family members never to go to this hospital so they don’t die in the hands of its staff who do not treat their patients with the basic respect or compassion they deserve. Shame on you, you guys are not life savers, you guys are killers."
https://lh3.googleusercontent.com/a-/ALV-UjWRV0EtHFR3N4Rog4ffRibUySswi7Hy7yP9FULmJGQmyccGnE1I5Q=w43-h43-p-rp-mo-ba7-br100,Eileen Lau,a year ago,"I've had some appointments here with the Thoracic team, as well as emergency/and being admitted through emergency.
Staff are professional, the food is good compared to Women's College Hospital. My stay was mostly comfortable.

Fast wifi. My room was not cleaned everyday, maybe every second day

The hospital is quite old but with new technology."
https://lh3.googleusercontent.com/a-/ALV-UjWcFXMznCRfl3m5v1dW1gEzJ3mQJ8cSQZui2gcoQ7hpnraTGOc0zA=w43-h43-p-rp-mo-ba4-br100,Jennifer Pastore,a month ago,"The triage at this institution is below subpar. Over the years I've been here with sopping bleeding wounds to the chest, cancer complications, chest pain etc and each and every time I'm treated like a derelict of society. I understand the staff here see a lot of people at their lowest points with a community experiencing an unhousing crisis and opioid use disorder. However, today I came in with hyperemesis related to COVID and was so dehydrated I could barely stand and fell on my way to the bathroom. The staff left me sitting on the floor for 10 minutes laughing and talking and drinking their Timmies. I'm a pharmacist who treats sick people every single day of my life it would never occur to me to treat my patients the way the staff here treats patients. Not a shred of dignity, empathy or compassion afforded to the ill. I can only hope that one day the triage staff who treat their patients which such disdain will be treated with an equal amount the next time they need to seek urgent medical attention and that all the erroneous judgment they place on patients gets turned around on to them. Karma."
